"","lat","lon","elevation"
"1",89.5833358649167,-179.583328235916,0
"2",89.5833358649167,-178.749994877747,0
"3",89.5833358649167,-177.916661519578,0
"4",89.5833358649167,-177.083328161409,0
"5",89.5833358649167,-176.24999480324,0
"6",89.5833358649167,-175.416661445071,0
"7",89.5833358649167,-174.583328086902,0
"8",89.5833358649167,-173.749994728733,0
"9",89.5833358649167,-172.916661370564,0
"10",89.5833358649167,-172.083328012395,0
"11",89.5833358649167,-171.249994654226,0
"12",89.5833358649167,-170.416661296057,0
"13",89.5833358649167,-169.583327937888,0
"14",89.5833358649167,-168.749994579719,0
"15",89.5833358649167,-167.91666122155,0
"16",89.5833358649167,-167.083327863381,0
"17",89.5833358649167,-166.249994505212,0
"18",89.5833358649167,-165.416661147043,0
"19",89.5833358649167,-164.583327788874,0
"20",89.5833358649167,-163.749994430705,0
"21",89.5833358649167,-162.916661072536,0
"22",89.5833358649167,-162.083327714367,0
"23",89.5833358649167,-161.249994356198,0
"24",89.5833358649167,-160.416660998029,0
"25",89.5833358649167,-159.58332763986,0
"26",89.5833358649167,-158.749994281691,0
"27",89.5833358649167,-157.916660923522,0
"28",89.5833358649167,-157.083327565353,0
"29",89.5833358649167,-156.249994207184,0
"30",89.5833358649167,-155.416660849015,0
"31",89.5833358649167,-154.583327490846,0
"32",89.5833358649167,-153.749994132677,0
"33",89.5833358649167,-152.916660774508,0
"34",89.5833358649167,-152.083327416339,0
"35",89.5833358649167,-151.24999405817,0
"36",89.5833358649167,-150.416660700001,0
"37",89.5833358649167,-149.583327341832,0
"38",89.5833358649167,-148.749993983663,0
"39",89.5833358649167,-147.916660625494,0
"40",89.5833358649167,-147.083327267325,0
"41",89.5833358649167,-146.249993909156,0
"42",89.5833358649167,-145.416660550987,0
"43",89.5833358649167,-144.583327192818,0
"44",89.5833358649167,-143.749993834649,0
"45",89.5833358649167,-142.91666047648,0
"46",89.5833358649167,-142.083327118311,0
"47",89.5833358649167,-141.249993760142,0
"48",89.5833358649167,-140.416660401973,0
"49",89.5833358649167,-139.583327043804,0
"50",89.5833358649167,-138.749993685635,0
"51",89.5833358649167,-137.916660327466,0
"52",89.5833358649167,-137.083326969297,0
"53",89.5833358649167,-136.249993611128,0
"54",89.5833358649167,-135.41666025296,0
"55",89.5833358649167,-134.583326894791,0
"56",89.5833358649167,-133.749993536622,0
"57",89.5833358649167,-132.916660178453,0
"58",89.5833358649167,-132.083326820284,0
"59",89.5833358649167,-131.249993462115,0
"60",89.5833358649167,-130.416660103946,0
"61",89.5833358649167,-129.583326745777,0
"62",89.5833358649167,-128.749993387608,0
"63",89.5833358649167,-127.916660029439,0
"64",89.5833358649167,-127.08332667127,0
"65",89.5833358649167,-126.249993313101,0
"66",89.5833358649167,-125.416659954932,0
"67",89.5833358649167,-124.583326596763,0
"68",89.5833358649167,-123.749993238594,0
"69",89.5833358649167,-122.916659880425,0
"70",89.5833358649167,-122.083326522256,0
"71",89.5833358649167,-121.249993164087,0
"72",89.5833358649167,-120.416659805918,0
"73",89.5833358649167,-119.583326447749,0
"74",89.5833358649167,-118.74999308958,0
"75",89.5833358649167,-117.916659731411,0
"76",89.5833358649167,-117.083326373242,0
"77",89.5833358649167,-116.249993015073,0
"78",89.5833358649167,-115.416659656904,0
"79",89.5833358649167,-114.583326298735,0
"80",89.5833358649167,-113.749992940566,0
"81",89.5833358649167,-112.916659582397,0
"82",89.5833358649167,-112.083326224228,0
"83",89.5833358649167,-111.249992866059,0
"84",89.5833358649167,-110.41665950789,0
"85",89.5833358649167,-109.583326149721,0
"86",89.5833358649167,-108.749992791552,0
"87",89.5833358649167,-107.916659433383,0
"88",89.5833358649167,-107.083326075214,0
"89",89.5833358649167,-106.249992717045,0
"90",89.5833358649167,-105.416659358876,0
"91",89.5833358649167,-104.583326000707,0
"92",89.5833358649167,-103.749992642538,0
"93",89.5833358649167,-102.916659284369,0
"94",89.5833358649167,-102.0833259262,0
"95",89.5833358649167,-101.249992568031,0
"96",89.5833358649167,-100.416659209862,0
"97",89.5833358649167,-99.5833258516933,0
"98",89.5833358649167,-98.7499924935243,0
"99",89.5833358649167,-97.9166591353553,0
"100",89.5833358649167,-97.0833257771863,0
"101",89.5833358649167,-96.2499924190174,0
"102",89.5833358649167,-95.4166590608484,0
"103",89.5833358649167,-94.5833257026794,0
"104",89.5833358649167,-93.7499923445104,0
"105",89.5833358649167,-92.9166589863414,0
"106",89.5833358649167,-92.0833256281725,0
"107",89.5833358649167,-91.2499922700035,0
"108",89.5833358649167,-90.4166589118345,0
"109",89.5833358649167,-89.5833255536655,0
"110",89.5833358649167,-88.7499921954965,0
"111",89.5833358649167,-87.9166588373275,0
"112",89.5833358649167,-87.0833254791586,0
"113",89.5833358649167,-86.2499921209896,0
"114",89.5833358649167,-85.4166587628206,0
"115",89.5833358649167,-84.5833254046516,0
"116",89.5833358649167,-83.7499920464826,0
"117",89.5833358649167,-82.9166586883137,0
"118",89.5833358649167,-82.0833253301447,0
"119",89.5833358649167,-81.2499919719757,0
"120",89.5833358649167,-80.4166586138067,0
"121",89.5833358649167,-79.5833252556377,0
"122",89.5833358649167,-78.7499918974688,0
"123",89.5833358649167,-77.9166585392998,0
"124",89.5833358649167,-77.0833251811308,0
"125",89.5833358649167,-76.2499918229618,0
"126",89.5833358649167,-75.4166584647928,0
"127",89.5833358649167,-74.5833251066238,0
"128",89.5833358649167,-73.7499917484549,0
"129",89.5833358649167,-72.9166583902859,0
"130",89.5833358649167,-72.0833250321169,0
"131",89.5833358649167,-71.2499916739479,0
