position,lastWeek,title,artist,label
1,1,STAND BY YOUR MAN,TAMMY WYNETTE,EPIC
2,28,WHISPERING GRASS,WINDSOR DAVIES AND DON ESTELLE,EMI
3,2,OH BOY,MUD,RAK
4,3,LOVIN' YOU,MINNIE RIPERTON,EPIC
5,11,THE WAY WE WERE,GLADYS KNIGHT AND THE PIPS,BUDDAH
6,12,SING BABY SING,THE STYLISTICS,AVCO
7,5,LET ME TRY AGAIN,TAMMY JONES,EPIC
8,4,HURT SO GOOD,SUSAN CADOGAN,MAGNET
9,16,DON'T DO IT BABY,MAC AND KATIE KISSOON,STATE
10,7,ONLY YESTERDAY,THE CARPENTERS,A&M
11,6,I WANNA DANCE WIT CHOO,DISCO TEX AND THE SEX-O-LETTES,CHELSEA
12,14,THANKS FOR THE MEMORY,SLADE,POLYDOR
13,50,THREE STEPS TO HEAVEN,SHOWADDYWADDY,BELL
14,39,SEND IN THE CLOWNS,JUDY COLLINS,ELEKTRA
15,9,THE NIGHT,FRANKIE VALLI AND THE FOUR SEASONS,MOWEST
16,37,ROLL OVER LAY DOWN,STATUS QUO,VERTIGO
17,22,AUTOBAHN,KRAFTWERK,VERTIGO
18,25,ONCE BITTEN TWICE SHY,IAN HUNTER,CBS
19,21,THE ISRAELITES,DESMOND DEKKER,CACTUS
20,10,LOVE LIKE YOU AND ME,GARY GLITTER,BELL
21,13,A LITTLE LOVE AND UNDERSTANDING,GILBERT BECAUD,DECCA
22,23,WOMBLING WHITE TIE AND TAILS,WOMBLES,CBS
23,30,"IMAGINE ME, IMAGINE YOU",FOX,GTO
24,8,HONEY {1975},BOBBY GOLDSBORO,UNITED ARTISTS
25,29,I GET THE SWEETEST FEELING {1975},JACKIE WILSON,BRUNSWICK
26,17,WE'LL FIND OUR DAY,STEPHANIE DE SYKES,BRADLEY’S
27,15,TAKE GOOD CARE OF YOURSELF,THE THREE DEGREES,PHILADELPHIA INTERNATIONAL
28,19,BYE BYE BABY,BAY CITY ROLLERS,BELL
29,35,SWING LOW SWEET CHARIOT,ERIC CLAPTON,RSO
30,32,STAND BY ME,JOHN LENNON,APPLE
,,,,
31,38,SORRY DOESN'T ALWAYS MAKE IT RIGHT,DIANA ROSS,TAMLA MOTOWN
32,New,I'LL DO ANYTHING YOU WANT ME TO,BARRY WHITE,20TH CENTURY
33,47,HERE I GO AGAIN,GUYS AND DOLLS,MAGNET
34,New,THE PROUD ONE,THE OSMONDS,MGM
35,18,THE TEARS I CRIED,GLITTER BAND,BELL
36,36,I'M GONNA RUN AWAY FROM YOU {1975},TAMI LYNN,CONTEMPO RARIES
37,26,LOVE ME LOVE MY DOG,PETER SHELLEY,MAGNET
38,33,PAPA OOM MOW MOW,SHARONETTES,BLACK MAGIC
39,31,WHERE IS THE LOVE,BETTY WRIGHT,RCA
40,New,DISCO QUEEN,HOT CHOCOLATE,RAK
41,20,LIFE IS A MINESTRONE,10CC,MERCURY
42,New,TROUBLE,ELVIS PRESLEY,RCA
43,40,SWING YOUR DADDY,JIM GILSTRAP,CHELSEA
44,New,DISCO STOMP,HAMILTON BOHANNON,BRUNSWICK
45,27,HOLD ON TO LOVE,PETER SKELLERN,DECCA
46,44,GET DOWN TONIGHT,KC AND THE SUNSHINE BAND,JAYBOY
47,New,DON'T BE CRUEL,BILLY SWAN,MONUMENT
48,43,HASTA LA VISTA,SYLVIA,SONET
49,24,DING-A-DONG,TEACH-IN,POLYDOR
50,New,(SENDING OUT AN) S.O.S.,RETTA YOUNG,ALL PLATINUM
