position,lastWeek,title,artist,label
1,New,C'EST LA VIE,B'WITCHED,EPIC
2,New,THE BOY IS MINE,BRANDY & MONICA,ATLANTIC
3,New,HORNY,MOUSSE T VS HOT'N'JUICY,AM:PM
4,1,FEEL IT,TAMPERER FEAT MAYA,PEPPER
5,2,UNDER THE BRIDGE/LADY MARMALADE,ALL SAINTS,LONDON
6,New,COME BACK TO WHAT YOU KNOW,EMBRACE,HUT
7,4,DANCE THE NIGHT AWAY,MAVERICKS,MCA NASHVILLE
8,3,STRANDED,LUTRICIA MCNEAL,WILDSTAR
9,6,LAST THING ON MY MIND,STEPS,JIVE
10,9,HOW DO I LIVE,LEANN RIMES,CURB/THE HIT LABEL
11,12,KUNG FU FIGHTING,BUS STOP FT CARL DOUGLAS,ALL AROUND THE WORLD
12,New,ICE HOCKEY HAIR,SUPER FURRY ANIMALS,CREATION
13,5,GONE TILL NOVEMBER,WYCLEF JEAN,COLUMBIA
14,7,TURN BACK TIME,AQUA,UNIVERSAL
15,8,DREAMS,CORRS,ATLANTIC
16,New,HE GOT GAME,PUBLIC ENEMY,DEF JAM
17,New,HEAVEN'S WHAT I FEEL,GLORIA ESTEFAN,EPIC
18,New,BOOM BOOM,N-TYCE,TELSTAR
19,New,WISHING I WAS THERE,NATALIE IMBRUGLIA,RCA
20,17,TRULY MADLY DEEPLY,SAVAGE GARDEN,COLUMBIA
21,10,LIFE AIN'T EASY,CLEOPATRA,WEA
22,13,RAY OF LIGHT,MADONNA,MAVERICK
23,New,CURIOUS,LEVERT/SWEAT/GILL,EAST WEST
24,New,TOO CLOSE,NEXT,ARISTA
25,14,FIGHT FOR YOUR RIGHT (TO PARTY),N.Y.C.C.,CONTROL
26,23,IT'S LIKE THAT,RUN-D.M.C. VS JASON NEVINS,SM:)E COMMUNICATIONS
27,New,BEEN A LONG TIME,FOG,PUKKA
28,15,HOT STUFF,ARSENAL F.C.,GRAPEVINE
29,New,RUNAGROUND,JAMES,FONTANA
30,26,MY HEART WILL GO ON,CELINE DION,EPIC
,,,,
31,27,ALL MY LIFE,K-CI & JOJO,MCA
32,16,OOH LA LA,ROD STEWART,WARNER BROS
33,24,WHERE ARE YOU,IMAANI,EMI
34,New,DRINKING IN L.A.,BRAN VAN 3000,CAPITOL
35,22,SAY YOU LOVE ME,SIMPLY RED,EAST WEST
36,New,I WOULD FIX YOU,KENICKIE,EMI
37,18,EAT MY GOAL,COLLAPSED LUNG,DECEPTIVE
38,11,AVA ADORE,SMASHING PUMPKINS,HUT
39,New,THE ABBEY ROAD EP,SPIRITUALIZED,DEDICATED
40,20,DO YOU REALLY WANT ME,ROBYN,RCA
41,New,ANYTIME,NU-BIRTH,LOCKED ON
42,28,ROAD RAGE,CATATONIA,BLANCO Y NEGRO
43,New,EVERYBODY HERE WANTS YOU,JEFF BUCKLEY,COLUMBIA
44,31,ALL THAT I NEED,BOYZONE,POLYDOR
45,New,MAYBE I'M DEAD,MONEY MARK,MO WAX
46,19,DEEPER LOVE (SYMPHONIC PARADISE),B.B.E.,POSITIVA
47,30,NIGHT FEVER,ADAM GARCIA,POLYDOR
48,New,ANYTIME,BRIAN MCKNIGHT,MOTOWN
49,21,MADE IT BACK,BEVERLEY KNIGHT FT REDMAN,PARLOPHONE RHYTHM
50,New,ALL THE MAN THAT I NEED,SHERNETTE MAY,VIRGIN
51,New,THE BUSINESS,BRIAN MAY,PARLOPHONE
52,34,TURN IT UP/FIRE IT UP,BUSTA RHYMES,ELEKTRA
53,New,HOKUS POKUS,INSANE CLOWN POSSE,ISLAND
54,New,SCOTLAND BE GOOD,TARTAN ARMY,PRECIOUS ORGANISATIO
55,New,OOH LA LA,WISEGUYS,WALL OF SOUND
56,35,ALL MY LOVE,QUEEN PEN FT ERIC WILLIAMS,INTERSCOPE
57,29,SUNNY CAME HOME,SHAWN COLVIN,COLUMBIA
58,55,STOP,SPICE GIRLS,VIRGIN
59,37,TEARDROP,MASSIVE ATTACK,VIRGIN
60,New,SWEET JOHNNY,GORKY'S ZYGOTIC MYNCI,FONTANA
,,,,
61,40,YOU THINK YOU OWN ME,HINDA HICKS,ISLAND
62,33,DEEPER LOVE,RUFF DRIVERZ,INFERNO
63,New,SLAIN BY ELF,URUSEI YATSURA,CHE
64,44,PUSH IT,GARBAGE,MUSHROOM
65,36,IF...,BLUETONES,SUPERIOR QUALITY
66,39,THE HEROES,SHED SEVEN,POLYDOR
67,New,STOP LISTENING,TANITA TIKARAM,MOTHER
68,53,LET ME ENTERTAIN YOU,ROBBIE WILLIAMS,CHRYSALIS
69,New,SECRET LOVE,SHAH,EVOCATIVE
70,25,MONEY GREEDY/BROKEN HOMES,TRICKY,ISLAND
71,52,LA PRIMAVERA,SASH!,MULTIPLY
72,45,KISS THE RAIN,BILLIE MYERS,UNIVERSAL
73,62,TELETUBBIES SAY EH-OH!,TELETUBBIES,BBC WORLDWIDE MUSIC
