position,lastWeek,title,artist,label
1,1,I'M STILL WAITING,DIANA ROSS,TAMLA MOTOWN
2,2,NEVER ENDING SONG OF LOVE,THE NEW SEEKERS,PHILIPS
3,9,HEY GIRL DON'T BOTHER ME,THE TAMS,PROBE
4,5,IN MY OWN TIME,THE FAMILY,REPRISE
5,3,WHAT ARE YOU DOING SUNDAY,DAWN,BELL
6,6,LET YOUR YEAH BE YEAH,PIONEERS,TROJAN
7,8,SOLDIER BLUE,BUFFY SAINTE-MARIE,RCA
8,15,IT'S TOO LATE/I FEEL THE EARTH MOVE,CAROLE KING,A&M
9,7,DEVIL'S ANSWER,ATOMIC ROOSTER,B&C
10,4,GET IT ON,T. REX,FLY
11,10,BANGLA-DESH,GEORGE HARRISON,APPLE
12,21,BACK STREET LUV,CURVED AIR,WARNER BROTHERS
13,11,TOM-TOM TURNAROUND,NEW WORLD,RAK
14,12,MOVE ON UP,CURTIS MAYFIELD,BUDDAH
15,14,WON'T GET FOOLED AGAIN,THE WHO,TRACK
16,20,WE WILL,GILBERT O'SULLIVAN,MAM
17,25,DID YOU EVER,NANCY SINATRA AND LEE HAZLEWOOD,REPRISE
18,17,HEARTBREAK HOTEL/HOUND DOG,ELVIS PRESLEY,RCA MAXIMILLION
19,26,NATHAN JONES,THE SUPREMES,TAMLA MOTOWN
20,16,LEAP UP AND DOWN (WAVE YOUR KNICKERS IN THE AIR),ST. CECILIA,POLYDOR
21,18,GET DOWN AND GET WITH IT,SLADE,POLYDOR
22,13,CHIRPY CHIRPY CHEEP CHEEP,MIDDLE OF THE ROAD,RCA
23,22,CO-CO,THE SWEET,RCA
24,29,WHEN LOVE COMES ROUND AGAIN,KEN DODD,COLUMBIA
25,44,I BELIEVE (IN LOVE),HOT CHOCOLATE,RAK
26,32,FOR ALL WE KNOW,SHIRLEY BASSEY,UNITED ARTISTS
27,19,ME AND YOU AND A DOG NAMED BOO,LOBO,PHILIPS
28,33,DADDY DON'T YOU WALK SO FAST,DANIEL BOONE,PENNY FARTHING
29,31,AT THE TOP OF THE STAIRS,FORMATIONS,MOJO
30,24,MONKEY SPANNER,DAVE AND ANSEL COLLINS,TECHNIQUE
,,,,
31,New,MAGGIE MAY/REASON TO BELIEVE,ROD STEWART,MERCURY
32,23,LA-LA MEANS I LOVE YOU,THE DELFONICS,BELL
33,28,BLACK AND WHITE,GREYHOUND,TROJAN
34,34,THESE THINGS WILL KEEP ME LOVING YOU,VELVELETTES,TAMLA MOTOWN
35,30,KNOCK THREE TIMES,DAWN,BELL
36,39,YOU'VE GOT A FRIEND,JAMES TAYLOR,WARNER BROTHERS
37,New,COUSIN NORMAN,MARMALADE,DECCA
38,40,LITTLE DROPS OF SILVER,GERRY MONROE,CHAPTER ONE
39,New,TAP TURNS ON THE WATER,CCS,RAK
40,38,JUST MY IMAGINATION,THE TEMPTATIONS,TAMLA MOTOWN
41,27,WATCHING THE RIVER FLOW,BOB DYLAN,CBS
42,50,MOON SHADOW,CAT STEVENS,ISLAND
43,48,(FOR GOD'S SAKE) GIVE MORE POWER TO THE PEOPLE,THE CHI-LITES,MCA
44,36,SWEET HITCH-HIKER,CREEDENCE CLEARWATER REVIVAL,UNITED ARTISTS
45,42,BACK SEAT OF MY CAR,PAUL AND LINDA MCCARTNEY,APPLE
46,35,TONIGHT,THE MOVE,HARVEST
47,Re,AMAZING GRACE,JUDY COLLINS,ELEKTRA
48,New,CHAIRMAN OF THE BOARD,CHAIRMEN OF THE BOARD,INVICTUS
49,Re,MY WAY,FRANK SINATRA,REPRISE
50,New,"TWEEDLE DEE, TWEEDLE DUM",MIDDLE OF THE ROAD,RCA
