position,lastWeek,title,artist,label
1,1,SOMEWHERE ONLY WE KNOW,LILY ALLEN,PARLOPHONE
2,8,HEY BROTHER,AVICII,POSITIVA/PRMD
3,34,ONE MORE SLEEP,LEONA LEWIS,SYCO MUSIC
4,30,HAPPY,PHARRELL WILLIAMS,BACK LOT
5,7,HOW LONG WILL I LOVE YOU,ELLIE GOULDING,POLYDOR
6,3,OF THE NIGHT,BASTILLE,VIRGIN
7,12,TRUMPETS,JASON DERULO,WARNER BROS
8,5,LET ME GO,GARY BARLOW,POLYDOR
9,2,STORY OF MY LIFE,ONE DIRECTION,SYCO MUSIC
10,6,THE MONSTER,EMINEM FT RIHANNA,INTERSCOPE
11,4,UNDER CONTROL,CALVIN HARRIS/ALESSO/HURTS,COLUMBIA
12,14,ALL I WANT FOR CHRISTMAS IS YOU,MARIAH CAREY,COLUMBIA
13,9,ANIMALS,MARTIN GARRIX,POSITIVA/VIRGIN
14,10,DO WHAT U WANT,LADY GAGA & R KELLY,INTERSCOPE
15,16,FAIRYTALE OF NEW YORK,POGUES FT KIRSTY MACCOLL,WARNER BROS
16,15,I HOPE,REBECCA FERGUSON,RCA
17,13,MOVE,LITTLE MIX,SYCO MUSIC
18,31,THUNDER,JESSIE J,LAVA/REPUBLIC RECORDS
19,17,COUNTING STARS,ONEREPUBLIC,INTERSCOPE
20,23,SAIL,AWOLNATION,RED BULL
21,18,ROYALS,LORDE,VIRGIN
22,11,EVERYTHING YOU NEVER HAD (WE HAD IT ALL),BREACH FT ANDREYA TRIANA,ATLANTIC
23,24,ROAR,KATY PERRY,VIRGIN
24,21,THE SPARK,AFROJACK FT SPREE WILSON,PM AM RECORDINGS/UNIVERSAL
25,22,LOOK RIGHT THROUGH,STORM QUEEN,DEFECTED/MINISTRY OF SOUND
26,25,WHAT NOW,RIHANNA,DEF JAM
27,27,WAKE ME UP,AVICII,POSITIVA/PRMD
28,48,ALIVE,CHASE & STATUS FT JACOB BANKS,EMI
29,29,GO GENTLE,ROBBIE WILLIAMS,ISLAND
30,26,WRECKING BALL,MILEY CYRUS,RCA
,,,,
31,37,I WISH IT COULD BE CHRISTMAS EVERYDAY,WIZZARD,EMI
32,28,BURN,ELLIE GOULDING,POLYDOR
33,New,CONFIDENT,JUSTIN BIEBER FT CHANCE,DEF JAM
34,35,UNCONDITIONALLY,KATY PERRY,VIRGIN
35,45,SHOW ME,KID INK FT CHRIS BROWN,EPIC
36,85,TURN BACK TIME,SUB FOCUS,EMI
37,20,HIGHER (FREE),ALL ABOUT SHE,ATLANTIC
38,19,RECOVERY,JAMES ARTHUR,SYCO MUSIC
39,32,BONFIRE HEART,JAMES BLUNT,ATLANTIC
40,44,LAST CHRISTMAS,WHAM,RCA
41,38,BERLIN,RY X,DUMONT DUMONT
42,41,AFTERGLOW,WILKINSON,RAM/VIRGIN
43,43,TALK DIRTY,JASON DERULO FT 2 CHAINZ,WARNER BROS
44,91,LOVE ME AGAIN,JOHN NEWMAN,ISLAND
45,36,HOLD ON WE'RE GOING HOME,DRAKE FT MAJID JORDAN,CASH MONEY/REPUBLIC RECORDS
46,79,UNDERNEATH THE TREE,KELLY CLARKSON,RCA
47,Re,I SEE FIRE,ED SHEERAN,DECCA
48,New,O COME ALL YE FAITHFUL,SUSAN BOYLE & ELVIS PRESLEY,SYCO MUSIC
49,57,MERRY XMAS EVERYBODY,SLADE,UMTV
50,61,BLURRED LINES,ROBIN THICKE/TI/PHARRELL,INTERSCOPE
51,Re,LITTLE ME,LITTLE MIX,SYCO MUSIC
52,99,LOSING SLEEP,JOHN NEWMAN,ISLAND
53,New,NIGHTCALL,LONDON GRAMMAR,METAL & DUST RECORDINGS
54,56,MERRY CHRISTMAS EVERYONE,SHAKIN' STEVENS,RCA
55,53,SKIP TO THE GOOD BIT,RIZZLE KICKS,ISLAND
56,40,HAND ON HEART,OLLY MURS,EPIC
57,62,DO THEY KNOW IT'S CHRISTMAS,BAND AID,MERCURY
58,49,CAN WE DANCE,VAMPS,EMI
59,54,THE FOX,YLVIS,WM NORWAY
60,58,POMPEII,BASTILLE,VIRGIN
,,,,
61,72,DRIVING HOME FOR CHRISTMAS,CHRIS REA,WARNER BROS
62,New,SUPERLOVE,CHARLI XCX,EAST WEST
63,67,ROCKIN' AROUND THE CHRISTMAS TREE,BRENDA LEE,MCA
