position,lastWeek,title,artist,label
1,1,TWO LITTLE BOYS,ROLF HARRIS,COLUMBIA
2,4,RUBY DON'T TAKE YOUR LOVE TO TOWN,KENNY ROGERS AND THE FIRST EDITION,REPRISE
3,9,REFLECTIONS OF MY LIFE,MARMALADE,DECCA
4,3,ALL I HAVE TO DO IS DREAM,BOBBIE GENTRY & GLEN CAMPBELL,CAPITOL
5,5,TRACY,CUFFLINKS,MCA
6,2,SUSPICIOUS MINDS,ELVIS PRESLEY,RCA
7,8,GOOD OLD ROCK 'N' ROLL,THE DAVE CLARK FIVE,COLUMBIA
8,10,COME AND GET IT,BADFINGER,APPLE
9,6,"SUGAR, SUGAR",ARCHIES,RCA
10,7,MELTING POT,BLUE MINK,PHILIPS
11,18,FRIENDS,ARRIVAL,DECCA
12,New,LOVE GROWS (WHERE MY ROSEMARY GOES),EDISON LIGHTHOUSE,BELL
13,36,LEAVIN' ON A JET PLANE,"PETER, PAUL AND MARY",WARNER BROTHERS
14,13,SOMEDAY WE'LL BE TOGETHER,DIANA ROSS AND THE SUPREMES,TAMLA MOTOWN
15,17,THE LIQUIDATOR,HARRY J ALL STARS,TROJAN
16,21,COMIN' HOME,DELANEY AND BONNIE AND FRIENDS,ATLANTIC
17,11,WITHOUT LOVE (THERE IS NOTHING),TOM JONES,DECCA
18,15,BUT YOU LOVE ME DADDY,JIM REEVES,RCA
19,12,DURHAM TOWN (THE LEAVIN'),ROGER WHITTAKER,COLUMBIA
20,23,I'M A MAN,CHICAGO,CBS
21,27,IF I THOUGHT YOU'D EVER CHANGE YOUR MIND,CILLA BLACK,PARLOPHONE
22,16,WINTER WORLD OF LOVE,ENGELBERT HUMPERDINCK,DECCA
23,26,HITCHIN' A RIDE,VANITY FARE,PAGE ONE
24,14,"YESTER-ME, YESTER-YOU, YESTERDAY",STEVIE WONDER,TAMLA MOTOWN
25,30,SHE SOLD ME MAGIC,LOU CHRISTIE,BUDDAH
26,39,I CAN'T GET NEXT TO YOU,THE TEMPTATIONS,TAMLA MOTOWN
27,37,SEVENTH SON,GEORGIE FAME,CBS
28,19,THE ONION SONG,MARVIN GAYE AND TAMMI TERRELL,TAMLA MOTOWN
29,43,GOOD MORNING,LEAPY LEE,MCA
30,New,THE WITCH'S PROMISE/TEACHER,JETHRO TULL,CHRYSALIS
,,,,
31,32,LET IT ALL HANG OUT,JONATHAN KING,DECCA
32,28,HIGHWAY SONG,NANCY SINATRA,REPRISE
33,34,WEDDING BELL BLUES,THE FIFTH DIMENSION,LIBERTY
34,25,(CALL ME) NUMBER ONE,THE TREMELOES,CBS
35,33,VICTORIA,THE KINKS,PYE
36,24,LOVE IS ALL,MALCOLM ROBERTS,MAJOR MINOR
37,42,VENUS,SHOCKING BLUE,PENNY FARTHING
38,22,GREEN RIVER,CREEDENCE CLEARWATER REVIVAL,LIBERTY
39,41,RUB A DUB DUB,EQUALS,PRESIDENT
40,31,LONELINESS,DES O'CONNOR,COLUMBIA
41,20,WITH THE EYES OF A CHILD,CLIFF RICHARD,PARAMOUNT
42,New,JUST A LITTLE MISUNDERSTANDING,CONTOURS,TAMLA MOTOWN
43,44,BOTH SIDES NOW,JUDY COLLINS,ELEKTRA
44,47,LET'S WORK TOGETHER,CANNED HEAT,LIBERTY
45,40,SOMETHING/COME TOGETHER,THE BEATLES,APPLE
46,45,PICKNEY GAL,DESMOND DEKKER AND THE ACES,PYRAMID
47,Re,RAINDROPS KEEP FALLIN' ON MY HEAD,SACHA DISTEL,WARNER BROTHERS
48,29,LOVE'S BEEN GOOD TO ME,FRANK SINATRA,REPRISE
49,35,NOBODY'S CHILD,KAREN YOUNG,MAJOR MINOR
50,Re,GIN GAN GOOLIE,THE SCAFFOLD,PARLOPHONE
