position,lastWeek,title,artist,label
1,1,DON'T GIVE UP ON US,DAVID SOUL,PRIVATE STOCK
2,2,DON'T CRY FOR ME ARGENTINA,JULIE COVINGTON,MCA
3,3,SIDESHOW,BARRY BIGGS,DYNAMIC
4,4,ISN'T SHE LOVELY,DAVID PARTON,PYE
5,15,WHEN I NEED YOU,LEO SAYER,CHRYSALIS
6,8,DADDY COOL,BONEY M,ATLANTIC
7,5,YOU'RE MORE THAN A NUMBER IN MY LITTLE RED BOOK,THE DRIFTERS,ARISTA
8,7,THINGS WE DO FOR LOVE,10CC,MERCURY
9,13,SUSPICION,ELVIS PRESLEY,RCA
10,10,CAR WASH,ROSE ROYCE,MCA
11,9,WILD SIDE OF LIFE,STATUS QUO,VERTIGO
12,18,DON'T BELIEVE A WORD,THIN LIZZY,VERTIGO
13,6,I WISH,STEVIE WONDER,TAMLA MOTOWN
14,25,DON'T LEAVE ME THIS WAY,HAROLD MELVIN AND THE BLUENOTES,PHILADELPHIA INTERNATIONAL
15,12,DR. LOVE,TINA CHARLES,CBS
16,28,JACK IN THE BOX,MOMENTS,ALL PLATINUM
17,16,GRANDMA'S PARTY,PAUL NICHOLAS,RSO
18,19,PORTSMOUTH,MIKE OLDFIELD,VIRGIN
19,30,BOOGIE NIGHTS,HEATWAVE,GTO
20,23,NEW KID IN TOWN,EAGLES,ASYLUM
21,38,SING ME,BROTHERS,BUS STOP BUS
22,14,LIVING NEXT DOOR TO ALICE,SMOKIE,RAK
23,20,EVERY MAN MUST HAVE A DREAM,LIVERPOOL EXPRESS,WARNER BROTHERS
24,11,UNDER THE MOON OF LOVE,SHOWADDYWADDY,BELL
25,24,SMILE,PUSSYCAT,SONET
26,29,IT TAKES ALL NIGHT LONG,GARY GLITTER,ARISTA
27,32,WHAT CAN I SAY,BOZ SCAGGS,CBS
28,47,EVERYBODY'S TALKIN' 'BOUT LOVE,SILVER CONVENTION,MAGNET
29,New,MIGHTY POWER OF LOVE,TAVARES,CAPITOL
30,37,MORE THAN A FEELING,BOSTON,EPIC
,,,,
31,26,FLIP,JESSE GREEN,EMI
32,42,WAKE UP SUSAN,DETROIT SPINNERS,ATLANTIC
33,39,EVERY LITTLE TEARDROP,GALLAGHER AND LYLE,A&M
34,17,"MONEY, MONEY, MONEY",ABBA,EPIC
35,45,YEAR OF THE CAT,AL STEWART,RCA
36,27,LOST WITHOUT YOUR LOVE,BREAD,ELEKTRA
37,50,BODYHEAT,JAMES BROWN,POLYDOR
38,New,DON'T LEAVE ME THIS WAY,THELMA HOUSTON,MOTOWN
39,31,HAITIAN DIVORCE,STEELY DAN,ABC
40,New,CHANSON D'AMOUR,THE MANHATTAN TRANSFER,ATLANTIC
41,49,I WANNA GO BACK,THE NEW SEEKERS,CBS
42,41,SHAKE YOUR RUMP TO THE FUNK,THE BAR-KAYS,MERCURY
43,43,YOU + ME = LOVE,THE UNDISPUTED TRUTH,WARNER BROTHERS
44,New,DAZZ,BRICK,BANG
45,48,SING ME AN OLD FASHIONED SONG,BILLIE JO SPEARS,UNITED ARTISTS
46,New,HA CHA CHA (FUNKTION),BRASS CONSTRUCTION,UNITED ARTISTS
47,40,THE WRECK OF THE EDMUND FITZGERALD,GORDON LIGHTFOOT,REPRISE
48,New,GYPSY ROAD HOG,SLADE,BARN
49,44,PUT YOUR MONEY WHERE YOUR MOUTH IS,ROSE ROYCE,MCA
50,New,THIS IS TOMORROW,BRYAN FERRY,POLYDOR
