position,lastWeek,title,artist,label
1,New,MEN IN BLACK,WILL SMITH,COLUMBIA
2,1,I'LL BE MISSING YOU,PUFF DADDY & FAITH EVANS,PUFF DADDY
3,2,FREED FROM DESIRE,GALA,BIG LIFE
4,New,YESTERDAY,WET WET WET,PRECIOUS ORGANISATIO
5,4,EVERYBODY (BACKSTREET'S BACK),BACKSTREET BOYS,JIVE
6,New,EVERYTHING,MARY J BLIGE,MCA
7,6,MO MONEY MO PROBLEMS,NOTORIOUS B.I.G.,PUFF DADDY
8,8,BITCH,MEREDITH BROOKS,CAPITOL
9,9,C U WHEN U GET THERE,COOLIO FEAT 40 THEVZ,TOMMY BOY
10,7,PICTURE OF YOU,BOYZONE,POLYDOR
11,New,NOT TONIGHT,LIL' KIM,ATLANTIC
12,3,ALL ABOUT US,PETER ANDRE,MUSHROOM
13,11,FREE,ULTRA NATE,AM:PM
14,New,OUTLAW,OLIVE,RCA
15,5,BLACK EYED BOY,TEXAS,MERCURY
16,10,D'YOU KNOW WHAT I MEAN?,OASIS,CREATION
17,12,CALIFORNIA DREAMIN,MAMAS AND THE PAPAS,MCA
18,16,ECUADOR,SASH! FT RODRIGUEZ,MULTIPLY
19,13,WHAT A BEAUTIFUL DAY,LEVELLERS,CHINA
20,New,YOUNG HEARTS RUN FREE,KYM MAZELLE,EMI
21,New,ANTHEM,WILDHEARTS,MUSHROOM
22,17,GET UP! GO INSANE!,STRETCH 'N' VERN PTS MADDOG,FFRR
23,19,BITTER SWEET SYMPHONY,VERVE,HUT
24,18,TARANTINO'S NEW STAR,NORTH AND SOUTH,RCA
25,20,SOMETHING GOIN' ON,TODD TERRY,MANIFESTO
26,New,DO YOU KNOW (WHAT IT TAKES),ROBYN,RCA
27,21,GOTHAM CITY,R KELLY,JIVE
28,22,I WANNA BE THE ONLY ONE,ETERNAL FEATURING BEBE WINANS,EMI
29,37,ROCK ME GOOD,UNIVERSAL,LONDON
30,14,BRUSHED,PAUL WELLER,ISLAND
,,,,
31,23,PIECE OF MY HEART,SHAGGY FEATURING MARSHA,VIRGIN
32,15,TOSS IT UP,MAKAVELI,INTERSCOPE
33,New,HYPNOTIZE,D'INFLUENCE,ECHO
34,24,BLINDED BY THE SUN,SEAHORSES,GEFFEN
35,New,DISCOHOPPING,KLUBBHEADS,AM:PM
36,39,I'LL BE THERE FOR YOU,REMBRANDTS,ELEKTRA
37,New,MORE BEATS & PIECES,COLDCUT,NINJA TUNE
38,New,BEST REGRETS,GENEVA,NUDE
39,28,HISTORY/GHOSTS,MICHAEL JACKSON,EPIC
40,31,MMM BOP,HANSON,MERCURY
41,35,COCO JAMBOO,MR.PRESIDENT,WEA
42,36,MAGIC CARPET RIDE,MIGHTY DUB KATZ,FFRR
43,29,LAST NIGHT ON EARTH,U2,ISLAND
44,26,G.H.E.T.T.O.U.T.,CHANGING FACES,ATLANTIC
45,38,LAZY DAYS,ROBBIE WILLIAMS,CHRYSALIS
46,New,TRIUMPH,WU-TANG CLAN FT CAPPADONNA,LOUD
47,25,THE BIT GOES ON,SNAKEBITE,MULTIPLY
48,44,SO HELP ME GIRL,GARY BARLOW,RCA
49,New,COME ON Y'ALL,RHYTHM MASTERS,FAZE-2
50,New,PANTHER PARTY,MAD MOSES,HI-LIFE
51,New,LAST CUP OF SORROW,FAITH NO MORE,SLASH
52,34,IS THERE SOMEONE OUT THERE?,CODE RED,POLYDOR
53,33,LOVE LADY,DAMAGE,BIG LIFE
54,New,FLOWTATION,VINCENT DE MOOR,XL RECORDINGS
55,49,TIME TO SAY GOODBYE (CON TE PARTIRO),SARAH BRIGHTMAN/ANDREA BOCELLI,COALITION
56,New,SUMMER '89,CALIFORNIA SUNSHINE,PERFECTO
57,30,SPEAK TO ME SOMEONE,GENE,POLYDOR
58,42,BELO HORIZONTI,HEARTISTS,VC RECORDINGS
59,45,ALMA MATTERS,MORRISSEY,ISLAND
60,40,LOOK AT YOURSELF,DAVID MCALMONT,HUT
,,,,
61,New,DON'T WORRY,NEWTON,DOMINION
62,27,PACIFIC MELODY,AIRSCAPE,XTRAVAGANZA
63,47,JUST A GIRL,NO DOUBT,INTERSCOPE
64,46,"HOW COME, HOW LONG",BABYFACE FT STEVIE WONDER,EPIC
65,32,ELECTRICITY,SPIRITUALIZED,DEDICATED
66,51,THE JOURNEY,911,VIRGIN
67,48,YER OLD,REEF,SONY S2
68,50,CLOSER THAN CLOSE,ROSIE GAINES,BIG BANG
69,54,THE MAGIC PIPER (OF LOVE),EDWYN COLLINS,SETANTA
70,41,LAZY LINE PAINTER JANE,BELLE AND SEBASTIAN,JEEPSTER
71,New,CHEMICAL #1,JESUS JONES,FOOD
72,43,MOMENT OF MY LIFE,BOBBY D'AMBROSIO FT M WEEKS,MINISTRY OF SOUND
73,55,WHERE HAVE ALL THE COWBOYS GONE?,PAULA COLE,WARNER BROS
74,New,LUCHINI AKA (THIS IS IT),CAMP LO,FFRR
75,63,AIR WE BREATHE,ALISHA'S ATTIC,MERCURY
76,New,DIRTY WEEKEND,DANDYS,ARTIFICIAL
77,67,LOVE WONT WAIT,GARY BARLOW,RCA
78,New,RIP STOP,T.D.F.,REPRISE
79,New,TRIPPING,SMOOTH TOUCH,AM:PM
80,53,YOU WERE MEANT FOR ME,JEWEL,ATLANTIC
81,New,JUST AS YOU ARE,FELINE,CHRYSALIS
82,Re,STRANGE,WET WET WET,PRECIOUS ORGANISATIO
83,New,LUCKY,LEWIS TAYLOR,ISLAND
84,70,HUSH,KULA SHAKER,COLUMBIA
85,76,LOVE SHINE A LIGHT,KATRINA AND THE WAVES,ETERNAL
86,Re,MIDNIGHT IN CHELSEA,JON BON JOVI,MERCURY
87,66,HOW DO I LIVE,TRISHA YEARWOOD,MCA
88,61,COME GIVE ME YOUR LOVE,RICHIE STEPHENS/GENERAL DEGREE,DELIRIOUS
89,80,I COULD NOT LOVE YOU MORE,BEE GEES,POLYDOR
90,60,DON'T BE AFRAID,MOONMAN,HEAT RECORDINGS
,,,,
91,New,LOVE COME RESCUE ME,LOVESTATION,FRESH
92,92,WHATEVER,OASIS,CREATION
93,90,FIRESTARTER,PRODIGY,XL RECORDINGS
94,Re,PLEASE DON'T GO,NO MERCY,ARISTA
95,85,"NEVER, NEVER GONNA GIVE YOU UP",LISA STANSFIELD,ARISTA
96,New,SUPERCHARGED,ELCKA,ISLAND
97,Re,ALWAYS ON MY MIND,ELVIS PRESLEY,RCA
98,58,FEEL THE NEED,G NATION FEATURING ROSIE,COOLTEMPO
99,98,ON & ON,ERYKAH BADU,UNIVERSAL
100,65,FICTION OF LIFE,CHINA DRUM,MANTRA
