position,lastWeek,title,artist,label
1,27,SURRENDER,ELVIS PRESLEY,RCA
2,5,RUNAWAY,DEL SHANNON,LONDON
3,4,FRIGHTENED CITY,THE SHADOWS,COLUMBIA
4,6,MORE THAN I CAN SAY/STAYING IN,BOBBY VEE,LONDON
5,2,BLUE MOON,MARCELS,PYE INTERNATIONAL
6,3,ON THE REBOUND,FLOYD CRAMER,RCA
7,11,DON'T TREAT ME LIKE A CHILD,HELEN SHAPIRO,COLUMBIA
8,14,YOU'LL NEVER KNOW,SHIRLEY BASSEY,COLUMBIA
9,1,YOU'RE DRIVING ME CRAZY,TEMPERANCE SEVEN,PARLOPHONE
10,16,WHAT'D I SAY,JERRY LEE LEWIS,LONDON
11,19,BUT I DO,CLARENCE  'FROGMAN' HENRY,PYE INTERNATIONAL
12,17,HAVE A DRINK ON ME,LONNIE DONEGAN,PYE
13,9,WAR PAINT,BROOK BROTHERS,PYE
14,12,EASY GOING ME,ADAM FAITH,PARLOPHONE
15,13,GEE WHIZ IT'S YOU,CLIFF RICHARD,COLUMBIA
16,7,WOODEN HEART,ELVIS PRESLEY,RCA
17,8,THEME FROM DIXIE,DUANE EDDY,LONDON
18,30,LITTLE DEVIL,NEIL SEDAKA,RCA
19,15,AFRICAN WALTZ,JOHNNY DANKWORTH,COLUMBIA
20,18,THEME FROM 'EXODUS',FERRANTE AND TEICHER,LONDON
21,10,100 POUNDS OF CLAY,CRAIG DOUGLAS,TOP RANK
22,20,LITTLE BOY SAD,JOHNNY BURNETTE,LONDON
23,31,HALFWAY TO PARADISE,BILLY FURY,DECCA
24,34,WHY NOT NOW?/CAN THIS BE LOVE?,MATT MONRO,PARLOPHONE
25,36,I'VE TOLD EVERY LITTLE STAR,LINDA SCOTT,COLUMBIA
26,23,HOW WONDERFUL TO KNOW,PEARL CARR AND TEDDY JOHNSON,COLUMBIA
27,38,RUNNING SCARED,ROY ORBISON,LONDON
28,26,WHERE THE BOYS ARE/BABY ROO,CONNIE FRANCIS,MGM
29,29,A SCOTTISH SOLDIER,ANDY STEWART,TOP RANK
30,24,I STILL LOVE YOU ALL,KENNY BALL AND HIS JAZZMEN,PYE JAZZ
,,,,
31,40,MOTHER-IN-LAW,ERNIE K-DOE,LONDON
32,New,HELLO MARY LOU/TRAVELIN' MAN,RICKY NELSON,LONDON
33,22,FBI,THE SHADOWS,COLUMBIA
34,35,WORDS,ALLISONS,FONTANA
35,28,LAZY RIVER,BOBBY DARIN,LONDON
36,New,THE BATTLE'S O'ER,ANDY STEWART,TOP RANK
37,21,ARE YOU SURE,ALLISONS,FONTANA
38,42,(I WANNA) LOVE MY LIFE AWAY,GENE PITNEY,LONDON
39,New,TRANSISTOR RADIO,BENNY HILL,PYE
40,New,BELLS OF AVIGNON,MAX BYGRAVES,DECCA
41,37,THEME FOR A DREAM,CLIFF RICHARD,COLUMBIA
42,33,SAMANTHA,LONNIE DONEGAN PRESENTS KENNY BALL AND HIS JAZZMEN,PYE JAZZ TODAY
43,39,MY BLUE HEAVEN,FRANK SINATRA,CAPITOL
44,48,LULLABY OF THE LEAVES,THE VENTURES,LONDON
45,46,PABLO,RUSS CONWAY,COLUMBIA
46,New,SHE SHE LITTLE SHEILA,GENE VINCENT,CAPITOL
47,50,WE WILL NEVER BE AS YOUNG AS THIS AGAIN,DANNY WILLIAMS,HMV
48,New,WELL I ASK YOU,EDEN KANE,DECCA
49,45,WHEELS,STRING-A-LONGS,LONDON
50,25,AND THE HEAVENS CRIED,ANTHONY NEWLEY,DECCA
