position,lastWeek,title,artist,label
1,7,HOT LOVE,T. REX,FLY
2,1,BABY JUMP,MUNGO JERRY,DAWN
3,2,ANOTHER DAY,PAUL MCCARTNEY,APPLE
4,4,ROSE GARDEN,LYNN ANDERSON,CBS
5,5,IT'S IMPOSSIBLE,PERRY COMO,RCA
6,3,MY SWEET LORD,GEORGE HARRISON,APPLE
7,6,PUSHBIKE SONG,MIXTURES,POLYDOR
8,22,STRANGE KIND OF WOMAN,DEEP PURPLE,HARVEST
9,8,SWEET CAROLINE,NEIL DIAMOND,UNI
10,11,RESURRECTION SHUFFLE,"ASHTON, GARDNER AND DYKE",CAPITOL
11,13,TOMORROW NIGHT,ATOMIC ROOSTER,B&C
12,New,POWER TO THE PEOPLE,JOHN LENNON AND THE PLASTIC ONO BAND,APPLE
13,9,AMAZING GRACE,JUDY COLLINS,ELEKTRA
14,34,BRIDGET THE MIDGET (THE QUEEN OF THE BLUES),RAY STEVENS,CBS
15,17,ROSE GARDEN,NEW WORLD,RAK
16,14,WHO PUT THE LIGHTS OUT,DANA,REX
17,10,STONED LOVE,THE SUPREMES,TAMLA MOTOWN
18,12,EVERYTHING'S TUESDAY,CHAIRMEN OF THE BOARD,INVICTUS
19,25,I WILL DRINK THE WINE,FRANK SINATRA,REPRISE
20,27,RUPERT,JACKIE LEE,PYE
21,32,WALKIN',CCS,RAK
22,16,GRANDAD,CLIVE DUNN,COLUMBIA
23,New,JACK IN THE BOX,CLODAGH RODGERS,RCA
24,New,IF NOT FOR YOU,OLIVIA NEWTON-JOHN,PYE INTERNATIONAL
25,15,FORGET ME NOT,MARTHA REEVES AND THE VANDELLAS,TAMLA MOTOWN
26,20,YOUR SONG,ELTON JOHN,DJM
27,40,YOU COULD'VE BEEN A LADY,HOT CHOCOLATE,RAK
28,23,CHESTNUT MARE,THE BYRDS,CBS
29,New,THERE GOES MY EVERYTHING,ELVIS PRESLEY,RCA
30,21,CANDIDA,DAWN,BELL
,,,,
31,24,I THINK I LOVE YOU,THE PARTRIDGE FAMILY,BELL
32,18,(COME 'ROUND HERE) I'M THE ONE YOU NEED,SMOKEY ROBINSON AND THE MIRACLES,TAMLA MOTOWN
33,38,FUNNY FUNNY,THE SWEET,RCA
34,36,SONG OF MY LIFE,PETULA CLARK,PYE
35,19,NO MATTER WHAT,BADFINGER,APPLE
36,39,YOU DON'T HAVE TO SAY YOU LOVE ME,ELVIS PRESLEY,RCA
37,31,STONEY END,BARBRA STREISAND,CBS
38,37,LOVE THE ONE YOU'RE WITH,STEPHEN STILLS,ATLANTIC
39,New,(WHERE DO I BEGIN) LOVE STORY,ANDY WILLIAMS,CBS
40,New,HAVE YOU EVER SEEN THE RAIN?,CREEDENCE CLEARWATER REVIVAL,LIBERTY
