position,lastWeek,title,artist,label
1,1,MY OLD MAN'S A DUSTMAN,LONNIE DONEGAN,PYE
2,3,FALL IN LOVE WITH YOU,CLIFF RICHARD AND THE SHADOWS,COLUMBIA
3,12,HANDY MAN,JIMMY JONES,MGM
4,2,DO YOU MIND?,ANTHONY NEWLEY,DECCA
5,7,FINGS AIN'T WOT THEY USED T'BE,MAX BYGRAVES,DECCA
6,10,STUCK ON YOU,ELVIS PRESLEY,RCA
7,6,THEME FROM 'A SUMMER PLACE',PERCY FAITH,PHILIPS
8,14,BEATNIK FLY,JOHNNY AND THE HURRICANES,LONDON
9,4,RUNNING BEAR,JOHNNY PRESTON,MERCURY
10,8,YOU GOT WHAT IT TAKES,MARV JOHNSON,LONDON
11,17,CLEMENTINE,BOBBY DARIN,LONDON
12,13,HIT AND MISS,JOHN BARRY SEVEN,COLUMBIA
13,5,DELAWARE,PERRY COMO,RCA
14,9,WILD ONE,BOBBY RYDELL,COLUMBIA
15,11,WHAT IN THE WORLD'S COME OVER YOU,JACK SCOTT,CORAL
16,31,HE'LL HAVE TO GO,JIM REEVES,RCA
17,15,POOR ME,ADAM FAITH,PARLOPHONE
18,39,SWEET NOTHIN'S,BRENDA LEE,BRUNSWICK
19,25,COUNTRY BOY,FATS DOMINO,LONDON
20,21,LOOKING HIGH HIGH HIGH,BRYAN JOHNSON,DECCA
21,24,BE MINE,LANCE FORTUNE,PYE
22,New,CATHY'S CLOWN,THE EVERLY BROTHERS,WARNER BROTHERS
23,18,ON A SLOW BOAT TO CHINA,EMILE FORD AND THE CHECKMATES,PYE
24,New,SOMEONE ELSE'S BABY,ADAM FAITH,PARLOPHONE
25,26,BONNIE CAME BACK,DUANE EDDY AND THE REBELS,LONDON
26,28,WHO COULD BE BLUER,JERRY LORDAN,PARLOPHONE
27,32,VALENTINO,CONNIE FRANCIS,MGM
28,20,COLETTE,BILLY FURY,DECCA
29,27,PRETTY BLUE EYES,CRAIG DOUGLAS,TOP RANK
30,47,LET IT BE ME,THE EVERLY BROTHERS,LONDON
,,,,
31,22,VOICE IN THE WILDERNESS,CLIFF RICHARD AND THE SHADOWS,COLUMBIA
32,New,STANDING ON THE CORNER,KING BROTHERS,PARLOPHONE
33,34,WAY DOWN YONDER IN NEW ORLEANS,FREDDIE CANNON,TOP RANK
34,37,HARBOUR LIGHTS,PLATTERS,MERCURY
35,New,STAIRWAY TO HEAVEN,NEIL SEDAKA,RCA
36,40,FOOTSTEPS,RONNIE CARROLL,PHILIPS
37,45,DARK TOWN STRUTTER'S BALL,JOE BROWN,DECCA
38,16,WHY,ANTHONY NEWLEY,DECCA
39,23,ROYAL EVENT,RUSS CONWAY,COLUMBIA
40,19,SUMMER SET,MR. ACKER BILK AND HIS PARAMOUNT JAZZ BAND,COLUMBIA
41,29,MY HEART,GENE VINCENT,CAPITOL
42,33,LUCKY DEVIL,FRANK IFIELD,COLUMBIA
43,43,PUPPY LOVE,PAUL ANKA,COLUMBIA
44,50,YOU ARE BEAUTIFUL,JOHNNY MATHIS,FONTANA
45,35,WHAT DO YOU WANT TO MAKE THOSE EYES AT ME FOR?,EMILE FORD AND THE CHECKMATES,PYE
46,Re,MISTY,JOHNNY MATHIS,FONTANA
47,Re,IT'S TIME TO CRY,PAUL ANKA,COLUMBIA
48,48,IT'S NICE TO GO TRAV'LING,FRANK SINATRA,CAPITOL
49,New,I ENJOY BEING A GIRL,PAT SUZUKI,RCA
50,New,SKYLARK,MICHAEL HOLLIDAY,COLUMBIA
