position,lastWeek,title,artist,label
1,New,WHEN YOU BELIEVE,LEON JACKSON,SYCO MUSIC
2,1,WHAT A WONDERFUL WORLD,EVA CASSIDY & KATIE MELUA,DRAMATICO
3,2,BLEEDING LOVE,LEONA LEWIS,SYCO MUSIC
4,8,FAIRYTALE OF NEW YORK,POGUES FT KIRSTY MACCOLL,WARNER BROS
5,3,CRANK THAT (SOULJA BOY),SOULJA BOY TELLEM,INTERSCOPE
6,4,ALL I WANT FOR CHRISTMAS IS YOU,MARIAH CAREY,COLUMBIA
7,7,RULE THE WORLD,TAKE THAT,POLYDOR
8,11,VALERIE,MARK RONSON FT AMY WINEHOUSE,COLUMBIA
9,5,CALL THE SHOTS,GIRLS ALOUD,FASCINATION
10,6,APOLOGIZE,TIMBALAND PTS ONE REPUBLIC,BLACKGROUND/INTER
11,9,HEARTBROKEN,T2 FT JODIE AYSHA,AATW/MNB
12,10,WHAT HURTS THE MOST,CASCADA,ALL AROUND THE WORLD
13,26,CHANGE,SUGABABES,ISLAND
14,12,NO ONE,ALICIA KEYS,J
15,13,BREATHLESS,SHAYNE WARD,SYCO MUSIC
16,14,LAST CHRISTMAS,WHAM,SONY MUSIC
17,17,HOME,WESTLIFE,S
18,16,I WISH IT COULD BE CHRISTMAS EVERYDAY,WIZZARD,EMI
19,15,ABOUT YOU NOW,SUGABABES,ISLAND
20,22,MERRY XMAS EVERYBODY,SLADE,UMTV
21,21,IT'S THE MOST WONDERFUL TIME OF THE YEAR,ANDY WILLIAMS,SONY BMG
22,23,MERRY CHRISTMAS EVERYONE,SHAKIN' STEVENS,SONY MUSIC
23,19,LOST,MICHAEL BUBLE,REPRISE
24,27,DO THEY KNOW IT'S CHRISTMAS,BAND AID,MERCURY
25,25,ROCKSTAR,NICKELBACK,ROADRUNNER
26,18,2 HEARTS,KYLIE MINOGUE,PARLOPHONE
27,20,LIFE'S A TREAT,SHAUN THE SHEEP,TUG
28,33,ELVIS AIN'T DEAD,SCOUTING FOR GIRLS,EPIC
29,29,GOODBYE MR A,HOOSIERS,RCA
30,37,DON'T STOP THE MUSIC,RIHANNA,MERCURY
,,,,
31,New,WE'RE ALL GOING TO DIE,MALCOLM MIDDLETON,FULL TIME HOBBY
32,New,WOW,KYLIE MINOGUE,PARLOPHONE
33,35,DRIVING HOME FOR CHRISTMAS,CHRIS REA,ATLANTIC
34,43,DON'T SHOOT ME SANTA,KILLERS,MERCURY
35,28,THIS IS THE LIFE,AMY MACDONALD,VERTIGO
36,30,FLUX,BLOC PARTY,WICHITA RECORDINGS
37,24,HATE THAT I LOVE YOU,RIHANNA FT NE-YO,DEF JAM
38,38,UMBRELLA,RIHANNA FT JAY-Z,DEF JAM
39,62,ANTHEM,FILO & PERI FT ERIC LUMIERE,POSITIVA
40,58,PUMPKIN SOUP,KATE NASH,POLYDOR
41,40,HAPPY XMAS (WAR IS OVER),JOHN & YOKO/PLASTIC ONO BAND,CAPITOL
42,48,WHITE CHRISTMAS,BING CROSBY,MCA
43,44,HERE COME THE GIRLS,ERNIE K DOE,SOUL JAZZ
44,70,WONDERFUL CHRISTMASTIME,PAUL MCCARTNEY,PARLOPHONE
45,31,UNINVITED,FREEMASONS FT BAILEY TZUKE,LOADED
46,34,HOT STUFF (LET'S DANCE),CRAIG DAVID,WARNER BROS
47,61,MARY'S BOY CHILD/OH MY LORD,BONEY M,BMG
48,72,STOP THE CAVALRY,JONA LEWIE,STIFF
49,64,IT'S BEGINNING TO LOOK A LOT LIKE,PERRY COMO,RCA
50,36,AYO TECHNOLOGY,50 CENT/TIMBERLAKE/TIMBALAND,INTERSCOPE
51,76,THE CHRISTMAS SONG,NAT KING COLE,CAPITOL
52,78,1234,FEIST,POLYDOR
53,65,ELTON JOHN'S CHRISTMAS EP,ELTON JOHN,ROCKET
54,68,SOME KINDA RUSH,BOOTY LUV,HED KANDI
55,49,THE WAY I ARE,TIMBALAND FT KERI HILSON,INTERSCOPE
56,74,WORRIED ABOUT RAY,HOOSIERS,RCA
57,41,HAPPY ENDING,MIKA,CASABLANCA/ISLAND
58,45,HOME/SONG FOR YOU,MICHAEL BUBLE,REPRISE
59,66,STRONGER,KANYE WEST,ROC-A-FELLA
60,83,SANTA CLAUS IS COMIN' TO TOWN,BRUCE SPRINGSTEEN,SONY MUSIC
,,,,
61,46,LOVE IS A LOSING GAME,AMY WINEHOUSE,ISLAND
62,80,BACK TO BLACK,AMY WINEHOUSE,ISLAND
63,53,GIMME MORE,BRITNEY SPEARS,JIVE
64,42,TEDDY PICKER,ARCTIC MONKEYS,DOMINO RECORDINGS
65,Re,WHEN YOU BELIEVE,MARIAH CAREY & WHITNEY HOUSTON,COLUMBIA
66,52,SHE'S SO LOVELY,SCOUTING FOR GIRLS,EPIC
67,55,HEY THERE DELILAH,PLAIN WHITE T'S,ANGEL
68,82,MISTLETOE AND WINE,CLIFF RICHARD,EMI
69,Re,PIECE OF ME,BRITNEY SPEARS,JIVE
70,57,TEARDROP,NEWTON FAULKNER,UGLY TRUTH
71,59,LONG ROAD TO RUIN,FOO FIGHTERS,RCA
72,86,WALKING IN THE AIR,ALED JONES,EMI
73,97,PEACE ON EARTH LITTLE DRUMMER BOY,BING CROSBY & DAVID BOWIE,CAPITOL
74,71,THE PRETENDER,FOO FIGHTERS,RCA
75,Re,RELAX TAKE IT EASY,MIKA,CASABLANCA/ISLAND
76,93,SANTA BABY,KYLIE MINOGUE,PARLOPHONE
77,96,VALERIE,AMY WINEHOUSE,ISLAND
78,77,NO U HANG UP/IF THAT'S OK WITH YOU,SHAYNE WARD,SYCO MUSIC
79,63,GRANITE,PENDULUM,WEA
80,47,STAIRWAY TO HEAVEN,LED ZEPPELIN,ATLANTIC
81,94,SPACE PIRATES THEME,SPACE PIRATES,LITTLE DEMON
82,60,LET ME THINK ABOUT IT,IDA CORR VS FEDDE LE GRAND,DATA
83,50,BABY WHEN THE LIGHT,DAVID GUETTA FT COZI,CHARISMA
84,69,DREAM CATCH ME,NEWTON FAULKNER,UGLY TRUTH
85,Re,REHAB,AMY WINEHOUSE,ISLAND
86,85,SANTA BABY,EARTHA KITT,BMG
87,92,LET IT SNOW LET IT SNOW LET IT SNOW,DEAN MARTIN,CAPITOL
88,54,BED,J HOLIDAY,CHARISMA
89,67,IN THE AIR TONIGHT,PHIL COLLINS,VIRGIN
90,81,EVERYTHING,MICHAEL BUBLE,WARNER BROS
,,,,
91,Re,SHINE,TAKE THAT,POLYDOR
92,39,BALLOONS,FOALS,TRANSGRESSIVE
93,Re,PLEASE COME HOME FOR CHRISTMAS,EAGLES,RHINO
94,Re,ROCKIN' AROUND THE CHRISTMAS TREE,BRENDA LEE,MCA
95,87,SHUT UP AND DRIVE,RIHANNA,DEF JAM
96,84,GOOD LIFE,KANYE WEST FT T-PAIN,DEF JAM
97,75,WE'LL LIVE AND DIE IN THESE TOWNS,ENEMY,WARNER BROS
98,99,CHASING CARS,SNOW PATROL,FICTION
99,Re,TEARS DRY ON THEIR OWN,AMY WINEHOUSE,ISLAND
100,90,SAME MISTAKE,JAMES BLUNT,ATLANTIC/CUSTARD
