position,lastWeek,title,artist,label
1,1,LOOK AT THAT GIRL,GUY MITCHELL,PHILIPS
2,3,I BELIEVE,FRANKIE LAINE,PHILIPS
3,2,WHERE THE WINDS BLOW,FRANKIE LAINE,PHILIPS
4,4,LET'S WALK THAT-A-WAY,DORIS DAY AND JOHNNIE RAY,PHILIPS
5,5,TERRY'S THEME FROM 'LIMELIGHT',FRANK CHACKSFIELD,DECCA
6,10,CAN'T I?,NAT KING COLE,CAPITOL
7,6,THE SONG FROM THE MOULIN ROUGE,MANTOVANI,DECCA
8,7,KISS,DEAN MARTIN,CAPITOL
9,12,MOTHER NATURE AND FATHER TIME,NAT KING COLE,CAPITOL
10,Re,FLIRTATION WALTZ,WINIFRED ATWELL,DECCA
11,8,TERRY'S THEME FROM 'LIMELIGHT',RON GOODWIN,PARLOPHONE
12,11,ETERNALLY,JIMMY YOUNG,DECCA
