position,lastWeek,title,artist,label
1,2,THE CLIMB,JOE MCELDERRY,SYCO MUSIC
2,1,KILLING IN THE NAME,RAGE AGAINST THE MACHINE,EPIC
3,3,BAD ROMANCE,LADY GAGA,INTERSCOPE
4,7,3 WORDS,CHERYL COLE FT WILL I AM,FASCINATION
5,5,STARSTRUKK,3OH3 FT KATY PERRY,ASYLUM/PHOTO FINISH
6,10,MEET ME HALFWAY,BLACK EYED PEAS,INTERSCOPE
7,9,DON'T STOP BELIEVIN',JOURNEY,COLUMBIA
8,8,RUSSIAN ROULETTE,RIHANNA,DEF JAM
9,6,YOU KNOW ME,ROBBIE WILLIAMS,VIRGIN
10,11,TIK TOK,KESHA,COLUMBIA
11,4,THE OFFICIAL BBC CHILDREN IN NEED MEDLEY,PETER KAY'S ANIMATED ALL STAR,EPIC
12,18,FAIRYTALE OF NEW YORK,POGUES FT KIRSTY MACCOLL,WARNER BROS
13,20,LOOK FOR ME,CHIPMUNK FT TALAY RILEY,JIVE
14,17,FIGHT FOR THIS LOVE,CHERYL COLE,FASCINATION
15,16,MORNING AFTER DARK,TIMBALAND/NELLY FURTADO/SOSHY,INTERSCOPE
16,13,DOESN'T MEAN ANYTHING,ALICIA KEYS,J
17,19,WHATCHA SAY,JASON DERULO,WARNER BROS
18,21,ALL I WANT FOR CHRISTMAS IS YOU,MARIAH CAREY,COLUMBIA
19,28,PLAYING WITH FIRE,N-DUBZ FT MR HUDSON,AATW/UMTV
20,30,EGO,SATURDAYS,FASCINATION/GEFFEN
21,24,EMPIRE STATE OF MIND,JAY-Z FT ALICIA KEYS,ROC NATION
22,25,EVERYBODY IN LOVE,JLS,EPIC
23,36,BROKEN HEELS,ALEXANDRA BURKE,SYCO MUSIC
24,27,I GOTTA FEELING,BLACK EYED PEAS,INTERSCOPE
25,22,BAD BOYS,ALEXANDRA BURKE FT FLO RIDA,SYCO MUSIC
26,26,CRY ME OUT,PIXIE LOTT,MERCURY
27,15,LET THE BASS KICK IN MIAMI GIRL,CHUCKIE & LMFAO,CR2
28,23,HAVEN'T MET YOU YET,MICHAEL BUBLE,REPRISE
29,12,YOU ARE NOT ALONE,X FACTOR FINALISTS 2009,SYCO MUSIC
30,49,YOUNG FOREVER,JAY-Z FT MR HUDSON,ROC NATION
,,,,
31,35,YOU'VE GOT THE LOVE,FLORENCE & THE MACHINE,ISLAND
32,14,DECEMBER SONG (I DREAMED OF CHRISTMAS),GEORGE MICHAEL,ISLAND
33,37,DOWN,JAY SEAN FT LIL WAYNE,ISLAND
34,41,LAST CHRISTMAS,WHAM,RCA
35,45,MERRY XMAS EVERYBODY,SLADE,UMTV
36,42,PARTY IN THE USA,MILEY CYRUS,HOLLYWOOD
37,38,HAPPY,LEONA LEWIS,SYCO MUSIC
38,33,WHAT ABOUT NOW,WESTLIFE,S
39,39,BABY BY ME,50 CENT FT NE-YO,INTERSCOPE
40,63,DRIVING HOME FOR CHRISTMAS,CHRIS REA,ATLANTIC
41,96,MUST BE SANTA,BOB DYLAN,COLUMBIA
42,29,STOP CRYING YOUR HEART OUT,LEONA LEWIS,SYCO MUSIC
43,44,I NEED YOU,N-DUBZ,AATW/UMTV
44,47,WINTER WINDS,MUMFORD & SONS,ISLAND
45,58,FOREVER,DRAKE/KANYE/LIL WAYNE/EMINEM,INTERSCOPE
46,51,I WISH IT COULD BE CHRISTMAS EVERYDAY,WIZZARD,EMI
47,55,MERRY CHRISTMAS EVERYONE,SHAKIN' STEVENS,SONY BMG
48,52,EMPIRE STATE OF MIND (PART II),ALICIA KEYS,J
49,57,BEAT AGAIN,JLS,EPIC
50,61,DO THEY KNOW IT'S CHRISTMAS,BAND AID,MERCURY
51,69,POKER FACE,LADY GAGA,INTERSCOPE
52,59,SEXY CHICK,DAVID GUETTA FT AKON,POSITIVA/VIRGIN
53,31,THE CLIMB,MILEY CYRUS,POLYDOR
54,32,BOHEMIAN RHAPSODY,QUEEN & THE MUPPETS,WALT DISNEY
55,66,SEX ON FIRE,KINGS OF LEON,HAND ME DOWN
56,60,BREAK YOUR HEART,TAIO CRUZ,ISLAND
57,34,WILD HORSES,SUSAN BOYLE,SYCO MUSIC
58,53,I CAN TRANSFORM YA,CHRIS BROWN FT LIL WAYNE,ZOMBA
59,43,KINGS AND QUEENS,30 SECONDS TO MARS,VIRGIN
60,56,3,BRITNEY SPEARS,JIVE
,,,,
61,74,PAPARAZZI,LADY GAGA,INTERSCOPE
62,64,MILLION DOLLAR BILL,WHITNEY HOUSTON,ARISTA
63,Re,VIDEO PHONE,BEYONCE,COLUMBIA
64,67,END CREDITS,CHASE & STATUS FT PLAN B,VERTIGO
65,54,DID IT AGAIN,SHAKIRA,EPIC
66,62,ABOUT A GIRL,SUGABABES,ISLAND
67,90,JUST DANCE,LADY GAGA,INTERSCOPE
68,68,PENCIL FULL OF LEAD,PAOLO NUTINI,ATLANTIC
69,76,OOPSY DAISY,CHIPMUNK,JIVE
70,80,ROCKIN' AROUND THE CHRISTMAS TREE,BRENDA LEE,MCA
71,81,BOYS & GIRLS,PIXIE LOTT,MERCURY
72,70,DOMINOS,BIG PINK,4AD
73,87,BOOM BOOM POW,BLACK EYED PEAS,INTERSCOPE
74,82,TELEPHONE,LADY GAGA,INTERSCOPE
75,50,SWEET CHILD O' MINE,TAKEN BY TREES,ROUGH TRADE
76,97,HAPPY XMAS (WAR IS OVER),JOHN & YOKO/PLASTIC ONO BAND,CAPITOL
77,91,RULE THE WORLD,TAKE THAT,POLYDOR
78,77,SWEET DISPOSITION,TEMPER TRAP,INFECTIOUS MUSIC
79,46,SILVER BELLS/ME AND MY TEDDY BEAR,SIR TERRY WOGAN & ALED JONES,BANDAGED
80,85,IN FOR THE KILL,LA ROUX,POLYDOR
