position,lastWeek,title,artist,label
1,1,GIVE ME YOUR WORD,TENNESSEE ERNIE FORD,CAPITOL
2,2,SOFTLY SOFTLY,RUBY MURRAY,COLUMBIA
3,12,CHERRY PINK AND APPLE BLOSSOM WHITE,PEREZ 'PREZ' PRADO AND HIS ORCHESTRA,HMV
4,4,A BLOSSOM FELL,NAT 'KING' COLE,CAPITOL
5,7,(I'M ALWAYS HEARING) WEDDING BELLS,EDDIE FISHER,HMV
6,10,IF ANYONE FINDS THIS I LOVE YOU,RUBY MURRAY WITH ANNE WARREN,COLUMBIA
7,5,MOBILE,RAY BURNS,COLUMBIA
8,3,LET ME GO LOVER,DEAN MARTIN,CAPITOL
9,20,PRIZE OF GOLD,JOAN REGAN,DECCA
10,8,TOMORROW,JOHNNY BRANDON AND THE PHANTOMS,POLYGON
11,New,UNDER THE BRIDGES OF PARIS,EARTHA KITT,HMV
12,6,LET ME GO LOVER,RUBY MURRAY,COLUMBIA
13,New,UNDER THE BRIDGES OF PARIS,DEAN MARTIN,CAPITOL
14,11,THE NAUGHTY LADY OF SHADY LANE,DEAN MARTIN,CAPITOL
15,16,MAMBO ITALIANO,ROSEMARY CLOONEY AND THE MELLOMEN,PHILIPS
15,14,LET ME GO LOVER,TERESA BREWER WITH THE LANCERS,VOGUE CORAL
15,13,BEYOND THE STARS,DAVID WHITFIELD WITH MANTOVANI AND HIS ORCHESTRA,DECCA
18,9,A BLOSSOM FELL,DICKIE VALENTINE,DECCA
19,15,A BLOSSOM FELL,RONNIE HILTON,HMV
20,New,NO MORE,MCGUIRE SISTERS,VOGUE CORAL
