position,lastWeek,title,artist,label
1,1,LET IT BE,FERRY AID,THE SUN
2,2,RESPECTABLE,MEL AND KIM,SUPREME
3,5,LA ISLA BONITA,MADONNA,SIRE
4,3,LET'S WAIT A WHILE,JANET JACKSON,BREAKOUT
5,4,WITH OR WITHOUT YOU,U2,ISLAND
6,7,LEAN ON ME,CLUB NOUVEAU,KING JAY
7,15,IF YOU LET ME STAY,TERENCE TRENT D'ARBY,CBS
8,21,THE IRISH ROVER,THE POGUES AND THE DUBLINERS,STIFF
9,8,WEAK IN THE PRESENCE OF BEAUTY,ALISON MOYET,CBS
10,17,EVER FALLEN IN LOVE,FINE YOUNG CANNIBALS,LONDON
11,22,ORDINARY DAY,CURIOSITY KILLED THE CAT,MERCURY
12,9,I GET THE SWEETEST FEELING {1987},JACKIE WILSON,SMP
13,6,EVERYTHING I OWN,BOY GEORGE,VIRGIN
14,37,CAN'T BE WITH YOU TONIGHT,JUDY BOUCHER,ORBITONE
15,12,SIGN 'O' THE TIMES,PRINCE,PAISLEY PARK
16,13,BIG TIME,PETER GABRIEL,VIRGIN
17,New,WANTED DEAD OR ALIVE,BON JOVI,VERTIGO
18,11,RESPECT YOURSELF,BRUCE WILLIS,MOTOWN
19,30,DAY-IN DAY-OUT,DAVID BOWIE,EMI AMERICA
20,10,THE GREAT PRETENDER,FREDDIE MERCURY,PARLOPHONE
21,14,LIVE IT UP,MENTAL AS ANYTHING,EPIC
22,27,STILL OF THE NIGHT,WHITESNAKE,EMI
23,42,LIVING IN A BOX,LIVING IN A BOX,CHRYSALIS
24,24,I'D RATHER GO BLIND,RUBY TURNER,JIVE
25,16,(YOU GOTTA) FIGHT FOR YOUR RIGHT (TO PARTY),BEASTIE BOYS,DEF JAM
26,33,KEEP YOUR EYE ON ME,HERB ALPERT,BREAKOUT
27,18,LOVING YOU IS SWEETER THAN EVER,NICK KAMEN,WEA
28,34,LET MY PEOPLE GO-GO,RAINMAKERS,MERCURY
29,19,IT DOESN'T HAVE TO BE,ERASURE,MUTE
30,38,OUT WITH HER,BLOW MONKEYS,RCA
,,,,
31,26,SEXY GIRL,LILLO THOMAS,CAPITOL
32,52,ANOTHER STEP (CLOSER TO YOU),KIM WILDE AND JUNIOR,MCA
33,28,MALE STRIPPER {1987},MAN 2 MAN MEETS MAN PARRISH,BOLTS
34,20,MOONLIGHTING 'THEME',AL JARREAU,WEA
35,25,"TONIGHT, TONIGHT, TONIGHT",GENESIS,VIRGIN
36,46,RADIO HEART FT GARY NUMAN,RADIO HEART FEATURING GARY NUMAN,GFM
37,23,STAND BY ME {1987},BEN E KING,ATLANTIC
38,32,WHAT YOU GET IS WHAT YOU SEE,TINA TURNER,CAPITOL
39,31,CRUSH ON YOU,JETS {US},MCA
40,29,WHEN A MAN LOVES A WOMAN {1987},PERCY SLEDGE,ATLANTIC
41,44,THE PASSENGER,SIOUXSIE AND THE BANSHEES,WONDERLAND
42,36,RUNNING IN THE FAMILY,LEVEL 42,POLYDOR
43,49,NEVER TAKE ME ALIVE,SPEAR OF DESTINY,10
44,70,BIG LOVE,FLEETWOOD MAC,WARNER BROTHERS
45,40,THE RIGHT THING,SIMPLY RED,WEA
46,65,(SOMETHING INSIDE) SO STRONG,LABI SIFFRE,CHINA
47,73,BOOPS (HERE TO GO),SLY AND ROBBIE,4TH & BROADWAY
48,45,AND THE BEAT GOES ON {1987},THE WHISPERS,SOLAR
49,67,LET ME KNOW,MAXI PRIEST,10
50,82,NOTHING'S GONNA STOP US NOW,STARSHIP,GRUNT
51,35,FORGOTTEN TOWN,THE CHRISTIANS,ISLAND
52,64,JUST TO SEE HER,SMOKEY ROBINSON,MOTOWN
53,48,SIMPLE AS THAT,HUEY LEWIS AND THE NEWS,CHRYSALIS
54,43,COMING AROUND AGAIN,CARLY SIMON,ARISTA
55,58,BREAK THE CHAIN,ELKIE BROOKS,LEGEND
56,New,AIN'T THAT LOVIN' YOU BABY,ELVIS PRESLEY,RCA
57,39,SEVERINA,THE MISSION,MERCURY
58,54,SELA,LIONEL RICHIE,MOTOWN
59,41,SAILING {1987},ROD STEWART,WARNER BROTHERS
60,61,SEE ME,LUTHER VANDROSS,EPIC
,,,,
61,New,EVE'S VOLCANO (COVERED IN SIN),JULIAN COPE,ISLAND
62,68,HOW MANY TIMES,BROTHER BEYOND,EMI
63,66,SUPER POPOID GROOVE,WIN,SWAMPLANDS
64,57,WHAT'S GOING ON,CYNDI LAUPER,PORTRAIT
65,71,LOVE REMOVAL MACHINE,THE CULT,BEGGARS BANQUET
66,Re,GET THAT LOVE,THE THOMPSON TWINS,ARISTA
67,51,DOWN TO EARTH,CURIOSITY KILLED THE CAT,MERCURY
68,New,BIG DECISION,THAT PETROL EMOTION,POLYDOR
69,75,EVERY 1'S A WINNER {1987},HOT CHOCOLATE,EMI
70,59,STONE LOVE,KOOL AND THE GANG,CLUB
71,69,HOOKED ON LOVE,DEAD OR ALIVE,EPIC
72,47,WATCHING THE WILDLIFE,FRANKIE GOES TO HOLLYWOOD,ZTT
73,New,CAN U DANCE,KENNY JASON AND EDDIE SMITH,CHAMPION
74,84,SHATTERED DREAMS,JOHNNY HATES JAZZ,VIRGIN
75,78,WISHING I WAS LUCKY,WET WET WET,PRECIOUS ORGANISATION
76,62,SHE COMES FROM THE RAIN,WEATHER PROPHETS,ELEVATION
77,50,HEAT OF THE NIGHT,BRYAN ADAMS,A&M
78,New,WATCH OUT,PATRICE RUSHEN,NO-LABEL
79,77,IT'S IN THE WAY THAT YOU USE IT,ERIC CLAPTON,NO-LABEL
80,New,MYFANWY,DAVID ESSEX,ARISTA
81,New,PRIDE OF MERSEYSIDE,JOE FAGIN,NO-LABEL
82,New,MIDNIGHT BLUE,LOU GRAMM,NO-LABEL
83,95,A BOY FROM NOWHERE,TOM JONES,EPIC
84,85,CRAZY,PATSY CLINE,MCA
85,New,NO LIES,THE SOS BAND,TABU
86,89,DOMINOES,ROBBIE NEVIL,MANHATTAN
87,86,WANT TO MAKE THE WORLD TURN AROUND,THE STEVE MILLER BAND,NO-LABEL
88,New,I WANT YOUR GUY,SOUL CLUB,NO-LABEL
89,81,WHY DO YOU RUN,WARD BROTHERS,NO-LABEL
90,99,WHO KNOWS WHAT EVIL,MAN 2 MAN,NO-LABEL
,,,,
91,Re,THE MAGICIAN,SECESSION,NO-LABEL
92,83,SCREAMING AT THE MOON,PHYLLIS HYMAN,NO-LABEL
93,100,SEXY,MASTERS OF CEREMONY,CAPITOL
94,New,SERIOUS,DONNA ALLEN,PORTRAIT
95,80,TEENAGE FRANKENSTEIN,ALICE COOPER,NO-LABEL
96,97,I FOUND LOVIN' {1987},THE FATBACK BAND,MASTER MIX
97,Re,JACK YOUR BODY,STEVE 'SILK' HURLEY,DJ INTERNATIONAL
98,New,THIS IS THE SHIRT {1987},TWO PEOPLE,NO-LABEL
99,91,BRING HIM BACK HOME,HUGH MASAKELA,NO-LABEL
100,92,U + ME,LEE PRENTISS,NO-LABEL
