position,lastWeek,title,artist,label
1,1,DANCING QUEEN,ABBA,EPIC
2,2,LET 'EM IN,WINGS,PARLOPHONE
3,9,YOU DON'T HAVE TO GO,THE CHI-LITES,BRUNSWICK
4,3,DON'T GO BREAKING MY HEART,ELTON JOHN AND KIKI DEE,ROCKET
5,13,YOU SHOULD BE DANCING,THE BEE GEES,RSO
6,8,THE KILLING OF GEORGIE,ROD STEWART,RIVA
7,11,16 BARS,THE STYLISTICS,H&L
8,16,(LIGHT OF EXPERIENCE) DOINA DE JALE,GEORGHE ZAMFIR,EPIC
9,4,WHAT I'VE GOT IN MIND,BILLIE JO SPEARS,UNITED ARTISTS
10,12,YOU'LL NEVER FIND ANOTHER LOVE LIKE MINE,LOU RAWLS,PHILADELPHIA INTERNATIONAL
11,7,EXTENDED PLAY,BRYAN FERRY,ISLAND
12,5,A LITTLE BIT MORE,DR. HOOK,CAPITOL
13,37,CAN'T GET BY WITHOUT YOU,REAL THING,PYE
14,26,BLINDED BY THE LIGHT,MANFRED MANN'S EARTH BAND,BRONZE
15,21,"BABY, WE BETTER TRY AND GET IT TOGETHER",BARRY WHITE,20TH CENTURY
16,14,DR. KISS KISS,5000 VOLTS,PHILIPS
17,22,ARIA,MR. ACKER BILK,PYE
18,6,IN ZAIRE,JOHNNY WAKELIN,PYE
19,24,HERE I GO AGAIN,TWIGGY,MERCURY
20,23,I CAN'T ASK FOR ANYTHING MORE THAN YOU BABE,CLIFF RICHARD,EMI
21,29,MISSISSIPPI,PUSSYCAT,SONET
22,27,DANCE LITTLE LADY DANCE,TINA CHARLES,CBS
23,New,I AM A CIDER DRINKER,THE WURZELS,EMI
24,10,JEANS ON,DAVID DUNDAS,AIR
25,New,I ONLY WANNA BE WITH YOU,BAY CITY ROLLERS,BELL
26,19,HEAVEN MUST BE MISSING AN ANGEL,TAVARES,CAPITOL
27,34,Y VIVA SUSPENDERS,JUDGE DREAD,CACTUS
28,25,HEAVEN IS IN THE BACK SEAT OF MY CADILLAC,HOT CHOCOLATE,RAK
29,30,LOVING ON THE LOSING SIDE,TOMMY HUNT,SPARK
30,15,HERE COMES THE SUN,STEVE HARLEY AND COCKNEY REBEL,EMI
,,,,
31,18,AFTERNOON DELIGHT,STARLAND VOCAL BAND,RCA
32,32,SHANNON,HENRY GROSS,LIFE SONG
33,17,NICE AND SLOW,JESSE GREEN,EMI
34,20,NOW IS THE TIME,JIMMY JAMES AND THE VAGABONDS,PYE
35,41,I WANT MORE,CAN,VIRGIN
36,50,SAILING {1976},ROD STEWART,WARNER BROTHERS
37,33,MORNING GLORY,JAMES AND BOBBY PURIFY,MERCURY
38,46,GIRL OF MY BEST FRIEND,ELVIS PRESLEY,RCA
39,35,I NEED IT,JOHNNY 'GUITAR' WATSON,DJM
40,31,THE ROUSSOS PHENOMENON,DEMIS ROUSSOS,PHILIPS
41,38,WORK ALL DAY,BARRY BIGGS,DYNAMIC
42,39,MAKE YOURS A HAPPY HOME,GLADYS KNIGHT AND THE PIPS,BUDDAH
43,New,BREAKAWAY,GALLAGHER AND LYLE,A&M
44,New,SWEET HOME ALABAMA/DOUBLE TROUBLE,LYNYRD SKYNYRD,MCA
45,New,LOVING AND FREE,KIKI DEE,ROCKET
46,New,LIVE AT THE MARQUEE,EDDIE AND THE HOTRODS,ISLAND
47,New,EVERY NITE'S A SATURDAY NIGHT WITH YOU,THE DRIFTERS,BELL
48,New,BABY I LOVE YOUR WAY,PETER FRAMPTON,A&M
49,New,THE RUBBERBAND MAN,DETROIT SPINNERS,ATLANTIC
50,New,DISCO MUSIC-I LIKE IT,J.A.L.N. BAND,MAGNET
