position,lastWeek,title,artist,label
1,4,I CAN'T STOP LOVING YOU,RAY CHARLES,HMV
2,1,COME OUTSIDE,MIKE SARNE WITH WENDY RICHARD,PARLOPHONE
3,2,A PICTURE OF YOU,JOE BROWN,PICCADILLY
4,3,GOOD LUCK CHARM,ELVIS PRESLEY,RCA
5,5,GINNY COME LATELY,BRIAN HYLAND,HMV
6,6,DO YOU WANT TO DANCE/I'M LOOKING OUT THE WINDOW,CLIFF RICHARD,COLUMBIA
7,14,HERE COMES THAT FEELING,BRENDA LEE,BRUNSWICK
8,12,ENGLISH COUNTRY GARDEN,JIMMY RODGERS,COLUMBIA
9,8,AIN'T THAT FUNNY,JIMMY JUSTICE,PYE
10,16,YES MY DARLING DAUGHTER,EYDIE GORME,CBS
11,36,I REMEMBER YOU,FRANK IFIELD,COLUMBIA
12,11,LAST NIGHT WAS MADE FOR LOVE,BILLY FURY,DECCA
13,10,SHARING YOU,BOBBY VEE,LIBERTY
14,18,DON'T EVER CHANGE,CRICKETS,LIBERTY
15,7,GREEN LEAVES OF SUMMER,KENNY BALL AND HIS JAZZMEN,PYE JAZZ
16,21,OUR FAVOURITE MELODIES,CRAIG DOUGLAS,COLUMBIA
17,9,STRANGER ON THE SHORE,MR. ACKER BILK,COLUMBIA
18,15,I DON'T KNOW WHY,EDEN KANE,DECCA
19,13,AS YOU LIKE IT,ADAM FAITH,PARLOPHONE
20,25,PALISADES PARK,FREDDIE CANNON,STATESIDE
21,46,"RIGHT, SAID FRED",BERNARD CRIBBINS,PARLOPHONE
22,20,A LITTLE LOVE A LITTLE KISS,KARL DENVER,DECCA
23,32,YA YA TWIST,PETULA CLARK,PYE
24,17,THEME FROM 'DR. KILDARE' (THREE STARS WILL SHINE TONIGHT),RICHARD CHAMBERLAIN,MGM
25,38,TEARS,DANNY WILLIAMS,HMV
26,19,NUT ROCKER,B. BUMBLE AND THE STINGERS,TOP RANK
27,24,UNSQUARE DANCE,DAVE BRUBECK,CBS
28,27,FAR AWAY,SHIRLEY BASSEY,COLUMBIA
29,29,ORANGE BLOSSOM SPECIAL,SPOTNICKS,ORIOLE
30,45,I'M JUST A BABY,LOUISE CORDET,DECCA
,,,,
31,30,CONSCIENCE,JAMES DARREN,PYE INTERNATIONAL
32,50,JOHNNY GET ANGRY,CAROL DEENE,HMV
33,23,JEZEBEL,MARTY WILDE,PHILIPS
34,37,ADIOS AMIGO,JIM REEVES,RCA
35,35,AL DI LA,EMILIO PERICOLI,WARNER BROTHERS
36,26,SOLDIER BOY,SHIRELLES,HMV
37,22,HOW CAN I MEET HER,THE EVERLY BROTHERS,WARNER BROTHERS
38,43,OLD RIVERS,WALTER BRENNAN,LIBERTY
39,New,IT KEEPS RIGHT ON A HURTIN',JOHNNY TILLOTSON,LONDON
40,New,SPEEDY GONZALES,PAT BOONE,LONDON
41,44,DRUMMIN' UP A STORM,SANDY NELSON,LONDON
42,40,THE CROWD,ROY ORBISON,LONDON
43,28,LONELY CITY,JOHN LEYTON,HMV
44,31,STRANGER ON THE SHORE,ANDY WILLIAMS,CBS
45,New,CINDY'S BIRTHDAY,SHANE FENTON AND THE FENTONES,PARLOPHONE
46,34,LOVER PLEASE/YOU KNOW WHAT I MEAN,VERNONS GIRLS,DECCA
47,41,FUNNY WAY OF LAUGHIN',BURL IVES,BRUNSWICK
48,New,LITTLE MISS LONELY,HELEN SHAPIRO,COLUMBIA
49,42,DEEP IN THE HEART OF TEXAS,DUANE EDDY,RCA
50,48,CRAZY WORDS CRAZY TUNE,DOROTHY PROVINE,WARNER BROTHERS
