position,lastWeek,title,artist,label
1,New,CHANGING,SIGMA FT PALOMA FAITH,3 BEAT/AATW
2,1,BLAME,CALVIN HARRIS FT JOHN NEWMAN,COLUMBIA
3,2,PRAYER IN C,LILLY WOOD & ROBIN SCHULZ,ATLANTIC
4,New,LULLABY,PROFESSOR GREEN FT TORI KELLY,VIRGIN
5,4,SHAKE IT OFF,TAYLOR SWIFT,EMI
6,3,I'M NOT THE ONLY ONE,SAM SMITH,CAPITOL
7,5,BLACK WIDOW,IGGY AZALEA FT RITA ORA,EMI
8,8,SUPERHEROES,SCRIPT,COLUMBIA
9,9,RUDE,MAGIC,SONY MUSIC
10,20,BLAME IT ON ME,GEORGE EZRA,COLUMBIA
11,19,BUDAPEST,GEORGE EZRA,COLUMBIA
12,15,STAY WITH ME,SAM SMITH,CAPITOL
13,11,AM I WRONG,NICO & VINZ,WARNER BROS
14,12,MAPS,MAROON 5,A&M
15,14,LOVERS ON THE SUN,DAVID GUETTA FT SAM MARTIN,PARLOPHONE
16,17,DON'T,ED SHEERAN,ASYLUM
17,18,GHOST,ELLA HENDERSON,SYCO MUSIC
18,21,UGLY HEART,GRL,KEMOSABE/RCA
19,24,THINKING OUT LOUD,ED SHEERAN,ASYLUM
20,6,WALKING WITH ELEPHANTS,TEN WALLS,BOSO
21,13,WON'T LOOK BACK,DUKE DUMONT,EMI
22,23,ALL OF ME,JOHN LEGEND,COLUMBIA
23,7,AMNESIA,5 SECONDS OF SUMMER,CAPITOL
24,16,WAVES,MR PROBZ,LEFT LANE RECORDINGS
25,25,MY HEAD IS A JUNGLE,WANKELMUT & EMMA LOUISE,POSITIVA
26,27,SING,ED SHEERAN,ASYLUM
27,10,NEW FLAME,CHRIS BROWN/USHER/RICK ROSS,RCA
28,28,BREAK FREE,ARIANA GRANDE FT ZEDD,REPUBLIC RECORDS
29,30,CHANDELIER,SIA,MONKEY PUZZLE/RCA
30,29,RATHER BE,CLEAN BANDIT FT JESS GLYNNE,ATLANTIC
,,,,
31,36,LOVE RUNS OUT,ONEREPUBLIC,INTERSCOPE
32,33,HAPPY,PHARRELL WILLIAMS,BACK LOT
33,32,CRAZY STUPID LOVE,CHERYL COLE FT TINIE TEMPAH,POLYDOR
34,31,PROBLEM,ARIANA GRANDE FT IGGY AZALEA,REPUBLIC RECORDS
35,49,TAKE ME TO CHURCH,HOZIER,ISLAND
36,34,GECKO (OVERDRIVE),OLIVER HELDENS & BECKY HILL,FFRR/MUSICAL FREEDOM
37,22,CENTURIES,FALL OUT BOY,ISLAND
38,26,SAY SOMETHING,A GREAT BIG WORLD/AGUILERA,RCA
39,38,BOOM CLAP,CHARLI XCX,ASYLUM
40,37,THIS IS HOW WE DO,KATY PERRY,VIRGIN
41,35,FADED,ZHU,POLYDOR
