position,lastWeek,title,artist,label
1,1,TRAVELLIN' LIGHT,CLIFF RICHARD AND THE SHADOWS,COLUMBIA
2,2,MACK THE KNIFE,BOBBY DARIN,LONDON
3,3,SEA OF LOVE,MARTY WILDE,PHILIPS
4,5,RED RIVER ROCK,JOHNNY AND THE HURRICANES,LONDON
5,4,('TIL) I KISSED YOU,THE EVERLY BROTHERS,LONDON
6,9,HIGH HOPES,FRANK SINATRA,CAPITOL
7,12,WHAT DO YOU WANT TO MAKE THOSE EYES AT ME FOR?,EMILE FORD AND THE CHECKMATES,PYE
8,10,THE THREE BELLS,BROWNS,RCA
9,11,PUT YOUR HEAD ON MY SHOULDER,PAUL ANKA,COLUMBIA
10,7,BROKEN HEARTED MELODY,SARAH VAUGHAN,MERCURY
11,13,MAKIN' LOVE,FLOYD ROBINSON,RCA
12,6,HERE COMES SUMMER,JERRY KELLER,LONDON
13,8,ONLY SIXTEEN,CRAIG DOUGLAS,TOP RANK
14,19,I WANT TO WALK YOU HOME,FATS DOMINO,LONDON
14,14,MONA LISA,CONWAY TWITTY,MGM
16,17,ONE MORE SUNRISE (MORGEN),DICKIE VALENTINE,PYE
17,15,LIVING DOLL,CLIFF RICHARD AND THE DRIFTERS,COLUMBIA
18,30,MR BLUE,DAVID MACBETH,PYE
19,22,SOMEONE,JOHNNY MATHIS,FONTANA
20,30,CHINA TEA,RUSS CONWAY,COLUMBIA
20,29,MR BLUE,MIKE PRESTON,DECCA
22,23,SLEEP WALK,SANTO AND JOHNNY,PYE INTERNATIONAL
23,New,MORGEN,IVO ROBIC,POLYDOR
24,Re,A THEME FROM 'THE THREEPENNY OPERA' (MACK THE KNIFE),LOUIS ARMSTRONG WITH HIS ALL-STARS,PHILIPS
25,17,PEGGY SUE GOT MARRIED,BUDDY HOLLY,CORAL
26,21,DYNAMITE,CLIFF RICHARD AND THE SHADOWS,COLUMBIA
27,Re,THE HONEYMOON SONG,MANUEL AND THE MUSIC OF THE MOUNTAINS,COLUMBIA
28,New,TEEN BEAT,SANDY NELSON,TOP RANK
29,24,POISON IVY,COASTERS,LONDON
30,New,LITTLE DONKEY,GRACIE FIELDS,COLUMBIA
