position,lastWeek,title,artist,label
1,1,YOUNG AT HEART {1993},THE BLUEBELLS,LONDON
2,2,INFORMER,SNOW,EAST WEST AMERICA
3,4,AIN'T NO LOVE (AIN'T NO USE) FT MELANIE WILLIAMS,SUB SUB FEATURING MELANIE WILLIAMS,ROB’S
4,11,REGRET,NEW ORDER,CENTREDATE CO
5,5,WHEN I'M GOOD AND READY,SYBIL,PWL INTERNATIONAL
6,9,U GOT 2 KNOW,CAPPELLA,INTERNAL DANCE
7,8,DON'T WALK AWAY,JADE,GIANT
8,3,OH CAROLINA,SHAGGY,GREENSLEEVES
9,New,I HAVE NOTHING,WHITNEY HOUSTON,ARISTA
10,6,SHOW ME LOVE,ROBIN S,CHAMPION
11,12,WIND IT UP (REWOUND),THE PRODIGY,XL RECORDINGS
12,7,MR LOVERMAN {1993},SHABBA RANKS,EPIC
13,15,SLOW IT DOWN,EAST 17,LONDON
14,17,DO YOU LOVE ME LIKE YOU SAY?,TERENCE TRENT D'ARBY,COLUMBIA
15,27,EVERYBODY HURTS,R.E.M.,WARNER BROTHERS
16,16,GO AWAY,GLORIA ESTEFAN,EPIC
17,13,COME UNDONE,DURAN DURAN,PARLOPHONE
18,10,NO LIMIT,2 UNLIMITED,PWL CONTINENTAL
19,14,CATS IN THE CRADLE,UGLY KID JOE,MERCURY
20,22,SING HALLELUJAH,DR. ALBAN,LOGIC
21,25,SHOTGUN WEDDING,ROD STEWART,WARNER BROTHERS
22,New,ONLY TENDER LOVE,DEACON BLUE,COLUMBIA
23,New,GIMME SHELTER (EP),VARIOUS ARTISTS,FOOD
24,New,U R THE BEST THING {1993},D:REAM,MAGNET
25,New,SEVEN DAYS,STING,A&M
26,New,P.OWER OF A.MERICAN N.ATIVES,DANCE 2 TRANCE,LOGIC
27,19,IS IT LIKE TODAY?,WORLD PARTY,ENSIGN
28,20,WRESTLEMANIA,WWF SUPERSTARS,ARISTA
29,39,TRUGANINI,MIDNIGHT OIL,COLUMBIA
30,18,FEVER,MADONNA,MAVERICK
,,,,
31,21,TENNESSEE {1993},ARRESTED DEVELOPMENT,COOLTEMPO
32,New,UNTIL YOU SUFFER SOME (FIRE AND ICE),POISON,CAPITOL
33,24,LIVIN' ON THE EDGE,AEROSMITH,GEFFEN
34,36,SWEET FREEDOM,POSITIVE GANG,PWL CONTINENTAL
35,41,SLOW EMOTION REPLAY,THE THE,EPIC
36,28,YOU'VE GOT ME THINKING,THE BELOVED,EAST WEST
37,26,I NEVER FELT LIKE THIS BEFORE,MICA PARIS,4TH & BROADWAY
38,New,WE GOT THE LOVE,LINDY LAYTON,PWL INTERNATIONAL
39,New,SOAPBOX,LITTLE ANGELS,POLYDOR
40,35,JAMAICAN IN NEW YORK,SHINEHEAD,ELEKTRA
41,29,LITTLE BIRD/LOVE SONG FOR A VAMPIRE,ANNIE LENNOX,RCA
42,23,COPACABANA (AT THE COPA) (REMIX),BARRY MANILOW,ARISTA
43,34,I'M BACK FOR MORE,LULU AND BOBBY WOMACK,DOME
44,30,ARE YOU GONNA GO MY WAY,LENNY KRAVITZ,VIRGIN AMERICA
45,New,CRAZY FOR YOU,LET LOOSE,VERTIGO
46,33,GIVE IN TO ME,MICHAEL JACKSON,EPIC
47,38,BROWN GIRL IN THE RING,BONEY M,ARISTA
48,New,FOREVER IN LOVE,KENNY G,ARISTA
49,42,FASHION CRISIS HITS NEW YORK,THE FRANK AND WALTERS,SETANTA
50,60,THE BELL (MC VIV STANSHALL),MIKE OLDFIELD,WEA
51,37,JUMP THEY SAY,DAVID BOWIE,ARISTA
52,40,I'M EVERY WOMAN,WHITNEY HOUSTON,ARISTA
53,31,IT'S A SHAME ABOUT RAY {1993},THE LEMONHEADS,ATLANTIC
54,New,ARMS OF SOLITUDE,OUI 3,MCA
55,32,ONE VOICE,BILL TARMEY,ARISTA
56,55,CHILD OF LOVE,LEMON TREES,OXYGEN
57,47,TOO YOUNG TO DIE,JAMIROQUAI,SONY
58,New,VOID,EXOTERIX,POSITIVA
59,57,WHY CAN'T I WAKE UP WITH YOU,TAKE THAT,RCA
60,45,LOOKING THROUGH PATIENT EYES,PM DAWN,GEE STREET
,,,,
61,New,HAYFEVER,TRASH CAN SINATRAS,GO! DISCS
62,49,THE SUPREME EP,SINITTA,ARISTA
63,New,NIGHT CRAWLER,JUDAS PRIEST,COLUMBIA
64,New,JOHNNY MATHIS' FEET,AMERICAN MUSIC CLUB,VIRGIN
65,46,PRESSURE US,SUNSCREEM,SONY
66,56,PEACE IN OUR TIME,CLIFF RICHARD,EMI
67,48,LUCKY TOWN (LIVE),BRUCE SPRINGSTEEN,COLUMBIA
68,50,HANGOVER,BETTY BOO,WEA
69,59,CAN'T GET ANY HARDER,JAMES BROWN,POLYDOR
70,New,THE ONLY LIVING BOY IN NEW YORK (EP),EVERYTHING BUT THE GIRL,BLANCO
71,44,THE RIGHT DECISION,JESUS JONES,FOOD
71,58,CANDY EVERYBODY WANTS,"10,000 MANIACS",ELEKTRA
73,New,NEVER AGAIN,JC-001,ANXIOUS
74,New,FREAK ME,SILK,ELEKTRA
75,71,BLOOD OF EDEN,PETER GABRIEL,REALWORLD
