position,lastWeek,title,artist,label
1,5,FIRST TIME,ROBIN BECK,MERCURY
2,3,STAND UP FOR YOUR LOVE RIGHTS,YAZZ,BIG LIFE
3,2,JE NE SAIS PAS POURQUOI,KYLIE MINOGUE,PWL
4,18,NEED YOU TONIGHT,INXS,MERCURY
5,1,ORINOCO FLOW,ENYA,WEA
6,8,HE AIN'T NO COMPETITION,BROTHER BEYOND,PARLOPHONE
7,4,GIRL YOU KNOW IT'S TRUE,MILLI VANILLI,COOLTEMPO
8,15,MISSING YOU,CHRIS DE BURGH,A&M
9,6,SHE MAKES MY DAY,ROBERT PALMER,EMI
10,10,REAL GONE KID,DEACON BLUE,CBS
11,9,1-2-3,GLORIA ESTEFAN AND MIAMI SOUND MACHINE,EPIC
12,22,TWIST AND SHOUT,SALT-N-PEPA,FFRR
13,New,THE CLAIRVOYANT,IRON MAIDEN,EMI
14,12,LET'S STICK TOGETHER '88,BRYAN FERRY,EG
15,7,KISS FT TOM JONES,ART OF NOISE FEATURING TOM JONES,CHINA
16,32,TILL I LOVED YOU,BARBRA STREISAND AND DON JOHNSON,CBS
17,11,WE CALL IT ACIEED FT GARY HAISMAN,D MOB FEATURING GARY HAISMAN,FFRR
18,17,CAN YOU PARTY,ROYAL HOUSE,CHAMPION
19,13,ONE MOMENT IN TIME,WHITNEY HOUSTON,ARISTA
20,14,A LITTLE RESPECT,ERASURE,MUTE
21,37,HANDLE WITH CARE,TRAVELING WILBURYS,WILBURY
22,23,TWIST IN MY SOBRIETY,TANITA TIKARAM,WEA
23,20,NEVER TRUST A STRANGER,KIM WILDE,MCA
24,26,I WISH U HEAVEN,PRINCE,PAISLEY PARK
25,21,DON'T WORRY BE HAPPY,BOBBY MCFERRIN,MANHATTAN
26,16,HARVEST FOR THE WORLD,THE CHRISTIANS,ISLAND
27,19,WEE RULE,WEE PAPA GIRL RAPPERS,JIVE
28,36,BREATHE LIFE INTO ME,MICA PARIS,4TH & BROADWAY
29,34,WHAT KIND OF FOOL,ALL ABOUT EVE,MERCURY
30,New,NATHAN JONES,BANANARAMA,LONDON
,,,,
31,New,SUCCESS,SIGUE SIGUE SPUTNIK,PARLOPHONE
32,44,RADIO ROMANCE,TIFFANY,MCA
33,41,LIFE'S JUST A BALLGAME,WOMACK AND WOMACK,4TH & BROADWAY
34,24,WELCOME TO THE JUNGLE/NIGHTRAIN,GUNS N' ROSES,GEFFEN
35,25,ACID MAN,JOLLY ROGER,10
36,29,BIG FUN,INNER CITY,10
37,28,GROOVY KIND OF LOVE,PHIL COLLINS,VIRGIN
38,46,JACK TO THE SOUND OF THE UNDERGROUND,HITHOUSE,SUPREME
39,48,IN YOUR ROOM,THE BANGLES,CBS
40,31,TEARDROPS,WOMACK AND WOMACK,4TH & BROADWAY
41,39,NOTHING CAN DIVIDE US,JASON DONOVAN,PWL
42,53,THE WAY YOU LOVE ME,KARYN WHITE,WARNER BROTHERS
43,New,LOVE HOUSE,SAMANTHA FOX,JIVE
44,40,BITTER SWEET,MARC ALMOND,SOME BIZZARE
45,54,SUNSHINE ON LEITH,THE PROCLAIMERS,CHRYSALIS
46,51,"LOUIE, LOUIE",THE FAT BOYS,URBAN
47,27,BURN IT UP,THE BEATMASTERS WITH PP ARNOLD,RHYTHM KING
48,42,ORDINARY ANGEL,HUE AND CRY,CIRCA
49,30,SHE WANTS TO DANCE WITH ME,RICK ASTLEY,RCA
50,New,SISTER MOON,TRANSVISION VAMP,MCA
51,New,SUDDENLY,ANGRY ANDERSON,FOOD FOR THOUGHT
52,33,THE PARTY,KRAZE,MCA
53,57,USELESS,KYM MAZELLE,SYNCOPATE
54,New,LET ME BE YOURS,FIVE STAR,TENT
55,67,BOOM! THERE SHE WAS,SCRITTI POLITTI,VIRGIN
56,61,WEEKEND,TODD TERRY PROJECT,SLEEPING BAG
57,38,HERE COMES THAT SOUND,SIMON HARRIS,FFRR
58,50,HEART OF STONE,BUCKS FIZZ,RCA
59,49,DECEMBER '63 {1988},THE FOUR SEASONS,BR
60,47,BROKEN HEART,BIG COUNTRY,MERCURY
,,,,
61,69,DIAL MY HEART,BOYS,MOTOWN
62,45,COPPERHEAD ROAD,STEVE EARLE,MCA
63,58,DESIRE,U2,ISLAND
64,35,TAKE A LOOK,LEVEL 42,POLYDOR
65,73,DANCE OUT OF MY HEAD,PIA,EPIC
66,43,I'LL HOUSE YOU,RICHIE RICH MEETS THE JUNGLE BROTHERS,GEE STREET
67,84,MINNIE THE MOOCHER,REGGAE PHILHARMONIC ORCHESTRA,MANGO
