position,lastWeek,title,artist,label
1,New,ROUND ROUND,SUGABABES,ISLAND
2,1,COLOURBLIND,DARIUS,MERCURY
3,New,ROMEO DUNN,ROMEO,RELENTLESS
4,New,JAMES DEAN (I WANNA KNOW),DANIEL BEDINGFIELD,POLYDOR
5,3,LIKE A PRAYER,MADHOUSE,SERIOUS
6,New,LOVIN' IS EASY,HEARSAY,POLYDOR
7,New,ALONE,LASGO,POSITIVA
8,New,HALF A HEART,H & CLAIRE,WEA
9,4,ANYONE OF US (STUPID MISTAKE),GARETH GATES,S
10,5,BLACK SUITS COMIN' (NOD YA HEAD),WILL SMITH FT TRA-KNOX,COLUMBIA
11,7,UNDERNEATH YOUR CLOTHES,SHAKIRA,EPIC
12,6,I NEED A GIRL/U DON'T HAVE TO CALL,P. DIDDY/USHER,PUFF DADDY
13,2,IN MY PLACE,COLDPLAY,PARLOPHONE
14,New,DO YOU SEE THE LIGHT,SNAP VS PLAYTHING,DATA/MOS
15,9,AUTOMATIC HIGH,S CLUB JUNIORS,POLYDOR
16,11,A THOUSAND MILES,VANESSA CARLTON,A&M
17,New,RAINY DAYZ,MARY J BLIGE FT JA RULE,MCA
18,10,THE LOGICAL SONG,SCOOTER,SHEFFIELD TUNES
19,8,GIRL ALL THE BAD GUYS WANT,BOWLING FOR SOUP,MUSIC FOR NATIONS
20,12,HOT IN HERRE,NELLY,UNIVERSAL
21,13,OH BOY,CAM'RON FT JUELZ SANTANA,ROCAFELLA
22,16,LIVIN' IT UP,JA RULE FT CASE,DEF JAM
23,15,AROUND THE WORLD,ATC,LIBERTY
24,14,BOYS,BRITNEY SPEARS FT P WILLIAMS,JIVE
25,17,JAM SIDE DOWN,STATUS QUO,UMTV
26,19,FOOLISH,ASHANTI,MURDER INC/MERCURY
27,20,WHEREVER YOU WILL GO,CALLING,RCA
28,25,I'M GONNA BE ALRIGHT,JENNIFER LOPEZ,EPIC
29,24,HERO,CHAD KROEGER FT JOSEY SCOTT,ROADRUNNER
30,28,WITHOUT ME,EMINEM,INTERSCOPE
,,,,
31,26,WORK IT OUT,BEYONCE,COLUMBIA
32,30,A LITTLE LESS CONVERSATION,ELVIS VS JXL,RCA
33,18,TIME OF MY LIFE,TOPLOADER,SONY S2
34,27,SHOOTING STAR,FLIP & FILL,ALL AROUND THE WORLD
35,New,UH HUH,B2K,EPIC
36,29,JUST A LITTLE,LIBERTY X,V2
37,32,BY THE WAY,RED HOT CHILI PEPPERS,WARNER BROS
38,21,REMIND ME/SO EASY,ROYKSOPP,WALL OF SOUND
39,New,MISTI BLU,AMILLIONSONS,LONDON
40,New,NUKLEUZ DJ'S,DJ NATION,NUKLEUZ
41,New,YOU KNOW THAT I LOVE YOU,DONELL JONES,ARISTA
42,48,LIGHT MY FIRE,WILL YOUNG,S
43,33,HERE I AM,BRYAN ADAMS,A&M
44,34,WHEN YOU LOOK AT ME,CHRISTINA MILIAN,DEF SOUL
45,31,ROCK STAR,NERD,VIRGIN
46,51,LOVE AT FIRST SIGHT,KYLIE MINOGUE,PARLOPHONE
47,22,LUV DA SUNSHINE,INTENSO PROJECT,INFERNO
48,New,TROY (THE PHOENIX FROM THE FLAME),SINEAD O'CONNOR,DEVOLUTION
49,36,HIGH VOLTAGE/POINTS OF AUTHORITY,LINKIN PARK,WARNER BROS
50,38,FOREVER,DEE DEE,INCENTIVE
51,39,FALLING,MCALMONT & BUTLER,CHRYSALIS
52,New,ROOTS,SPUNGE,B UNIQUE
53,23,NOW,DEF LEPPARD,BLUDGEON RIFFOLA
54,35,SHOOT THE DOG,GEORGE MICHAEL,POLYDOR
55,54,STRANGE RELATIONSHIP,DARREN HAYES,COLUMBIA
56,42,IT JUST WON'T DO,TIM DELUXE FT SAM OBERNIK,UNDERWATER
57,40,SAFE FROM HARM,NARCOTIC THRUST,FFRR
58,46,IF TOMORROW NEVER COMES,RONAN KEATING,POLYDOR
59,37,FASCINATED,RAVEN MAIZE,MOS/RULIN
60,44,YOUR SONG,ELTON JOHN & ALESSANDRO SAFINA,MERCURY
,,,,
61,61,GET OVER YOU/MOVE THIS MOUNTAIN,SOPHIE ELLIS BEXTOR,POLYDOR
62,56,STOP CRYING YOUR HEART OUT,OASIS,BIG BROTHER
63,45,LK (CAROLINA CAROL BELA),DJ MARKY AND XRS FT STAMINA MC,V RECORDINGS
64,49,TELL IT TO MY HEART,KELLY LLORENNA,ALL AROUND THE WORLD
65,47,IT'S OK,ATOMIC KITTEN,INNOCENT
66,50,KISS KISS,HOLLY VALANCE,LONDON
67,New,SATISFY MY LOVE,PESHAY VS FLYTRONIX,CUBIK MUSIC
68,64,UNCHAINED MELODY,GARETH GATES,S
69,41,I CAN CLIMB MOUNTAINS,HELL IS FOR HEROES,CHRYSALIS
70,65,ESCAPE,ENRIQUE IGLESIAS,INTERSCOPE
71,57,MOVE IT LIKE THIS,BAHA MEN,EMI/S-CURVE
72,55,FULL MOON,BRANDY,ATLANTIC
73,63,AMERICAN ENGLISH,IDLEWILD,PARLOPHONE
74,New,PAPA DON'T PREACH,KELLY OSBOURNE,EPIC
75,60,WISH I DIDN'T MISS YOU,ANGIE STONE,J
76,43,JOY AND PAIN,ANGELLE,INNOVATION
77,76,FREAK LIKE ME,SUGABABES,ISLAND
78,77,DOVE (I'LL BE LOVING YOU),MOONY,POSITIVA/CREAM
79,New,GET A LIFE (FRANTIC THEME),PHLASH FT STEVE HILL,TRIPOLI TRAX
80,52,BEAUTIFUL,BIGFELLA FT NOEL MCCALLA,NULIFE
81,Re,DJ,H & CLAIRE,WEA
82,New,IT'S ABOUT MUSIC,JEZ & CHARLIE,TIDY TRAX
83,53,PRECIOUS ILLUSIONS,ALANIS MORISSETTE,MAVERICK
84,New,LA BOMBA,JUMP,MICHAELA
85,89,IN YOUR EYES,KYLIE MINOGUE,PARLOPHONE
86,New,STUX (TELL ME IT'S ALRIGHT),REUBEN,BOSS MUSIC
87,78,STANDARD FLOW,BLAZIN' SQUAD,WEIGHTY PLATES
88,New,THAT LATIN TRACK,DJ VITAMIN D FT MISS AUDRY,LOADED
89,86,AT NIGHT,SHAKEDOWN,DEFECTED
90,72,FEELIN' THE SAME WAY,NORAH JONES,PARLOPHONE
,,,,
91,New,ALL FOR LOVE,TOMMY KNOCKER,INTERCOM
92,New,LOVE TO SEE YOU CRY,ENRIQUE IGLESIAS,POLYDOR
93,85,FLOBBADANCE,BILL & BEN,BBC MUSIC
94,Re,MAKE IT GOOD,A1,COLUMBIA
95,New,FENATON,UMEK,BUGGED OUT
96,93,LOVE STORY,LAYO & BUSHWACKA,XL RECORDINGS
97,New,MUSIC ALL AROUND,KOLABORATORS,FUTURE GROOVE
98,67,STRUNG OUT,DOT ALLISON,MANTRA
99,79,JOY DON'T STOP,JOY KITIKONTI,BXR
100,91,REACH,LIL' MO' YIN YANG,STRICTLY RHYTHM
