position,lastWeek,title,artist,label
1,1,THE NEXT TIME/BACHELOR BOY,CLIFF RICHARD,COLUMBIA
2,3,DANCE ON!,THE SHADOWS,COLUMBIA
3,2,RETURN TO SENDER,ELVIS PRESLEY,RCA
4,5,LOVESICK BLUES,FRANK IFIELD,COLUMBIA
5,10,LIKE I DO,MAUREEN EVANS,ORIOLE
6,8,GO AWAY LITTLE GIRL,MARK WYNTER,PYE
7,4,DANCE WITH THE GUITAR MAN,DUANE EDDY,RCA
8,7,SUN ARISE,ROLF HARRIS,COLUMBIA
9,28,GLOBETROTTER,TORNADOS,DECCA
10,11,TELSTAR,TORNADOS,DECCA
11,6,IT ONLY TOOK A MINUTE,JOE BROWN,PICCADILLY
12,45,DIAMONDS,JET HARRIS AND TONY MEEHAN,DECCA
13,12,UP ON THE ROOF,KENNY LYNCH,HMV
14,9,BOBBY'S GIRL,SUSAN MAUGHAN,PHILIPS
15,21,DON'T YOU THINK IT'S TIME,MIKE BERRY AND THE OUTLAWS,HMV
16,13,LET'S DANCE,CHRIS MONTEZ,LONDON
17,16,YOUR CHEATING HEART,RAY CHARLES,HMV
18,24,COMING HOME BABY,MEL TORME,LONDON
19,26,ISLAND OF DREAMS,SPRINGFIELDS,PHILIPS
20,14,SWISS MAID,DEL SHANNON,LONDON
21,19,HE'S A REBEL,CRYSTALS,LONDON
22,35,JUST FOR KICKS,MIKE SARNE,PARLOPHONE
23,15,DESAFINADO,STAN GETZ AND CHARLIE BYRD,HMV
24,18,A FOREVER KIND OF LOVE,BOBBY VEE,LIBERTY
25,20,THE MAIN ATTRACTION,PAT BOONE,LONDON
26,22,THE LONELY BULL (EL SOLO TORRO),TIJUANA BRASS,STATESIDE
27,25,DEVIL WOMAN,MARTY ROBBINS,CBS
28,17,LOVE ME DO,THE BEATLES,PARLOPHONE
29,23,ME AND MY SHADOW,FRANK SINATRA AND SAMMY DAVIS JR,REPRISE
30,32,WE'RE GONNA GO FISHIN',HANK LOCKLIN,RCA
,,,,
31,39,FUNNY ALL OVER,VERNONS GIRLS,DECCA
32,New,RUBY ANN,MARTY ROBBINS,CBS
33,33,LET'S GO,ROUTERS,WARNER BROTHERS
34,30,KEEP YOUR HANDS OFF MY BABY,LITTLE EVA,LONDON
35,42,BECAUSE OF LOVE,BILLY FURY,DECCA
36,27,MUST BE MADISON,JOE LOSS ORCHESTRA,HMV
37,New,IT'S UP TO YOU,RICK NELSON,LONDON
38,31,GOSSIP CALYPSO,BERNARD CRIBBINS,PARLOPHONE
39,41,DON'T HANG UP,ORLONS,CAMEO PARKWAY
40,New,ALL ALONE AM I,BRENDA LEE,BRUNSWICK
41,New,LITTLE TOWN FLIRT,DEL SHANNON,LONDON
42,New,SOME KINDA FUN,CHRIS MONTEZ,LONDON
43,34,UP ON THE ROOF,JULIE GRANT,PYE
44,49,ALWAYS YOU AND ME,RUSS CONWAY,COLUMBIA
45,New,PLEASE PLEASE ME,THE BEATLES,PARLOPHONE
46,New,SUKIYAKI,KENNY BALL AND HIS JAZZMEN,PYE JAZZ
47,29,BABY TAKE A BOW,ADAM FAITH,PARLOPHONE
48,New,BIG GIRLS DON'T CRY,THE FOUR SEASONS,STATESIDE
49,40,CAN CAN '62,PETER JAY AND THE JAYWALKERS,DECCA
50,38,SHERRY,THE FOUR SEASONS,STATESIDE
