position,lastWeek,title,artist,label
1,1,SHAPE OF YOU,ED SHEERAN,ASYLUM
2,New,GALWAY GIRL,ED SHEERAN,ASYLUM
3,3,CASTLE ON THE HILL,ED SHEERAN,ASYLUM
4,New,PERFECT,ED SHEERAN,ASYLUM
5,New,NEW MAN,ED SHEERAN,ASYLUM
6,New,HAPPIER,ED SHEERAN,ASYLUM
7,2,SOMETHING JUST LIKE THIS,CHAINSMOKERS & COLDPLAY,DISRUPTOR
8,New,DIVE,ED SHEERAN,ASYLUM
9,New,SUPERMARKET FLOWERS,ED SHEERAN,ASYLUM
10,New,WHAT DO I KNOW,ED SHEERAN,ASYLUM
11,11,HOW WOULD YOU FEEL (PAEAN),ED SHEERAN,ASYLUM
12,New,BARCELONA,ED SHEERAN,ASYLUM
13,New,NANCY MULLIGAN,ED SHEERAN,ASYLUM
14,New,ERASER,ED SHEERAN,ASYLUM
15,New,HEARTS DON'T BREAK AROUND HERE,ED SHEERAN,ASYLUM
16,4,HUMAN,RAG'N'BONE MAN,BEST LAID PLANS/COLUMBIA
17,5,CHAINED TO THE RHYTHM,KATY PERRY FT SKIP MARLEY,CAPITOL
18,New,BIBIA BE YE YE,ED SHEERAN,ASYLUM
19,New,SAVE MYSELF,ED SHEERAN,ASYLUM
20,6,BIG FOR YOUR BOOTS,STORMZY,MERKY
21,7,IT AIN'T ME,KYGO & SELENA GOMEZ,COLUMBIA
22,8,YOU DON'T KNOW ME,JAX JONES FT RAYE,POLYDOR
23,10,SLIDE,CALVIN HARRIS/OCEAN/MIGOS,COLUMBIA
24,19,CIAO ADIOS,ANNE-MARIE,ASYLUM/MAJOR TOM’S
25,39,SOLO DANCE,MARTIN JENSEN,DISCOWAX
26,9,PARIS,CHAINSMOKERS,DISRUPTOR
27,15,SCARED TO BE LONELY,MARTIN GARRIX & DUA LIPA,COLUMBIA
28,New,GREEN LIGHT,LORDE,VIRGIN
29,12,TOUCH,LITTLE MIX,SYCO MUSIC
30,14,I DON'T WANNA LIVE FOREVER (FIFTY SHADES,ZAYN/TAYLOR SWIFT,RCA/REPUBLIC RECORDS
,,,,
31,17,SEPTEMBER SONG,JP COOPER,ISLAND
32,16,CALL ON ME,STARLEY,AATW
33,13,BE THE ONE,DUA LIPA,WARNER BROS
34,24,COLD,MAROON 5 FT FUTURE,INTERSCOPE
35,20,ROCKABYE,CLEAN BANDIT,ATLANTIC
36,27,PLAY THAT SONG,TRAIN,COLUMBIA
37,18,SKIN,RAG'N'BONE MAN,BEST LAID PLANS/COLUMBIA
38,33,STAY,ZEDD & ALESSIA CARA,INTERSCOPE
39,New,NO MORE SAD SONGS,LITTLE MIX,SYCO MUSIC
40,28,RUN UP,MAJORLAZER/PARTYNEXTDOOR/MINAJ,BECAUSE MUSIC
41,23,I FEEL IT COMING,WEEKND FT DAFT PUNK,REPUBLIC RECORDS/XO
42,47,THAT'S WHAT I LIKE,BRUNO MARS,ATLANTIC
43,26,NO LIE,SEAN PAUL FT DUA LIPA,ISLAND
44,54,ISSUES,JULIA MICHAELS,POLYDOR
45,31,SAY YOU WON'T LET GO,JAMES ARTHUR,COLUMBIA
46,41,STARBOY,WEEKND FT DAFT PUNK,REPUBLIC RECORDS/XO
47,34,TEXT FROM YOUR EX,TINIE TEMPAH FT TINASHE,PARLOPHONE
48,35,I WOULD LIKE,ZARA LARSSON,BLACK BUTTER/EPIC/TEN
49,40,CLOSER,CHAINSMOKERS FT HALSEY,DISRUPTOR
50,36,SAFE INSIDE,JAMES ARTHUR,SYCO MUSIC
51,32,SHOUT OUT TO MY EX,LITTLE MIX,SYCO MUSIC
52,30,CIGARETTES & CUSH,STORMZY FT KEHLANI,MERKY
53,44,SEXUAL,NEIKED,NEIKED COLLECTIVE
54,38,DON'T LEAVE,SNAKEHIPS & MO,HOFFMAN WEST
55,49,JUST HOLD ON,LOUIS TOMLINSON & STEVE AOKI,SYCO MUSIC
56,21,COLD,STORMZY,MERKY
57,45,BELIEVER,IMAGINE DRAGONS,INTERSCOPE
58,37,SHUT UP,STORMZY,STORMZY
59,57,CAN'T STOP THE FEELING,JUSTIN TIMBERLAKE,RCA
60,55,BLINDED BY YOUR GRACE - PT 2,STORMZY FT MNEK,MERKY
,,,,
61,61,ALL NIGHT,VAMPS FT MATOMA,EMI
62,46,BAD AND BOUJEE,MIGOS,QUALITY CONTROL MUSIC
63,New,DID YOU SEE,J HUS,BLACK BUTTER
64,51,NOW AND LATER,SAGE THE GEMINI,ATLANTIC
65,29,MR SKENG,STORMZY,MERKY
66,22,BAD BOYS,STORMZY FT GHETTS & J HUS,MERKY
67,50,BAD THINGS,MACHINE GUN KELLY/CABELLO,INTERSCOPE
68,25,FIRST THINGS FIRST,STORMZY,MERKY
69,71,THINKING OUT LOUD,ED SHEERAN,ASYLUM
70,New,HYPNOTISED,COLDPLAY,PARLOPHONE
71,60,ONE DANCE,DRAKE FT WIZKID & KYLA,CASH MONEY/REPUBLIC RECORDS
72,43,SWALLA,JASON DERULO/NICKI MINAJ/TY,WARNER BROS
73,66,WATER UNDER THE BRIDGE,ADELE,XL RECORDINGS
74,52,SHED A LIGHT,SCHULZ/GUETTA/CHEAT CODES,PARLOPHONE
75,67,YOU WANT ME,TOM ZANETTI FT SADIE AMA,PITCHED UP
76,62,FAKE LOVE,DRAKE,CASH MONEY/REPUBLIC RECORDS
77,42,LOVE,LANA DEL REY,POLYDOR
78,64,24K MAGIC,BRUNO MARS,ATLANTIC
79,70,STARVING,HAILEE STEINFELD/GREY/ZEDD,REPUBLIC RECORDS
80,81,PHOTOGRAPH,ED SHEERAN,ASYLUM
81,76,SAMANTHA,DAVE & J HUS,TROPICS
82,74,BY YOUR SIDE,JONAS BLUE FT RAYE,POSITIVA
83,New,MASK OFF,FUTURE,RCA
84,48,VELVET/JENNY FRANCIS,STORMZY,MERKY
85,73,HOW FAR I'LL GO,ALESSIA CARA,WALT DISNEY
