position,lastWeek,title,artist,label
1,1,IGNITION REMIX,R KELLY,JIVE
2,New,SAY GOODBYE/LOVE AIN'T GONNA WAIT FOR,S CLUB,POLYDOR
3,New,I KNOW WHAT YOU WANT,BUSTA RHYMES AND MARIAH CAREY,J
4,New,THERE THERE,RADIOHEAD,PARLOPHONE
5,New,FREE ME,EMMA,19
6,2,ROCK YOUR BODY,JUSTIN TIMBERLAKE,JIVE
7,6,GET BUSY,SEAN PAUL,ATLANTIC/VP
8,3,FAVOURITE THINGS,BIG BROVAZ,EPIC
9,New,FLY ON THE WINGS OF LOVE,XTM & DJ CHUCKY PTS ANNIA,SERIOUS
10,New,STOP SIGN,ABS,BMG
11,5,NO GOOD ADVICE,GIRLS ALOUD,POLYDOR
12,13,IN DA CLUB,50 CENT,INTERSCOPE
13,9,LONELINESS,TOMCRAFT,DATA/MOS
14,7,NOT GONNA GET US,TATU,INTERSCOPE
15,New,CRY BABY,JEMINI,INTEGRAL
16,8,BROKEN BONES,LOVE INC,NULIFE
17,11,TAKE YOUR SHOES OFF,CHEEKY GIRLS,MULTIPLY
18,New,DIRTY STICKY FLOORS,DAVE GAHAN,MUTE
19,10,RISE & FALL,CRAIG DAVID FT STING,WILDSTAR
20,16,X GON' GIVE IT TO YA,DMX,DEF JAM
21,4,MADAME HELGA,STEREOPHONICS,V2
22,12,HUSAN,BHANGRA KNIGHTS VS HUSAN,POSITIVA
23,15,GIRLS AND BOYS,GOOD CHARLOTTE,EPIC
24,14,LATELY,LISA SCOTT-LEE,FONTANA
25,19,YOU SAID NO,BUSTED,UNIVERSAL
26,New,QUESTIONS & ANSWERS,BIFFY CLYRO,BEGGARS BANQUET
27,New,HELL YEAH,GINUWINE,EPIC
28,20,EVERYBODY COME ON (CAN U FEEL IT),MR REDZ VS DJ SKRIBBLE,FFRR
29,New,I LUV U,DIZZEE RASCAL,XL RECORDINGS
30,New,TRASHED,SKIN,EMI
,,,,
