position,lastWeek,title,artist,label
1,1,"WHEN THE GOING GETS TOUGH, THE TOUGH GET GOING",BILLY OCEAN,JIVE
2,4,CHAIN REACTION,DIANA ROSS,CAPITOL
3,2,STARTING TOGETHER,SU POLLARD,RAINBOW
4,3,ELOISE,THE DAMNED,MCA
5,8,BURNING HEART,SURVIVOR,SCOTTI BROTHERS
6,5,HOW WILL I KNOW,WHITNEY HOUSTON,ARISTA
7,New,LOVE MISSILE F1-11,SIGUE SIGUE SPUTNIK,PARLOPHONE
8,13,DON'T WASTE MY TIME,PAUL HARDCASTLE,CHRYSALIS
9,7,SYSTEM ADDICT,FIVE STAR,TENT
10,24,MANIC MONDAY,THE BANGLES,CBS
11,6,BORDERLINE {1986},MADONNA,SIRE
12,11,RISE,PUBLIC IMAGE LIMITED,VIRGIN
13,9,LIVING IN AMERICA,JAMES BROWN,SCOTTI BROTHERS
14,12,ONLY LOVE,NANA MOUSKOURI,PHILIPS
15,23,STRIPPED,DEPECHE MODE,MUTE
16,15,TURNING AWAY,SHAKIN' STEVENS,EPIC
17,10,THE CAPTAIN OF HER HEART,DOUBLE,POLYDOR
18,36,POWER OF LOVE/DO YOU BELIEVE IN LOVE,HUEY LEWIS AND THE NEWS,CHRYSALIS
19,20,AND SHE WAS,TALKING HEADS,EMI
20,17,IMAGINATION {1986},BELOUIS SOME,PARLOPHONE
21,19,RADIO AFRICA {1986},LATIN QUARTER,ROCKIN' HORSE
22,16,THE SUN ALWAYS SHINES ON TV,A-HA,WARNER BROTHERS
23,14,WALK OF LIFE,DIRE STRAITS,VERTIGO
24,34,IF YOU WERE HERE TONIGHT,ALEXANDER O'NEAL,TABU
25,39,HEAVEN MUST BE MISSING AN ANGEL {1986},TAVARES,CAPITOL
26,New,HOUNDS OF LOVE,KATE BUSH,EMI
27,27,ONE DANCE WON'T DO,AUDREY HALL,GERMAIN
28,41,"THEME FROM NEW YORK, NEW YORK",FRANK SINATRA,REPRISE
29,30,I'M NOT GOING TO LET YOU,COLONEL ABRAMS,MCA
30,18,THE PHANTOM OF THE OPERA,SARAH BRIGHTMAN AND STEVE HARLEY,POLYDOR
,,,,
31,25,SANCTIFY YOURSELF,SIMPLE MINDS,VIRGIN
32,21,PULL UP TO THE BUMPER/LA VIE EN ROSE,GRACE JONES,ISLAND
33,22,LIFE'S WHAT YOU MAKE IT,TALK TALK,EMI
34,New,(NOTHING SERIOUS) JUST BUGGIN',WHISTLE,CHAMPION
35,35,THE SWEETEST GIRL,MADNESS,ZARJAZZ
36,29,BROKEN WINGS,MR MISTER,RCA
37,51,HI HO SILVER,JIM DIAMOND,A&M
38,28,SHOT IN THE DARK,OZZY OSBOURNE,EPIC
39,48,SILENT RUNNING (ON DANGEROUS GROUND),MIKE AND THE MECHANICS,WEA
40,33,MY MAGIC MAN,ROCHELLE,WARNER BROTHERS
41,57,ROCK ME TONIGHT (FOR OLD TIME'S SAKE) {1986},FREDDIE JACKSON,CAPITOL
42,New,CALLING AMERICA,ELECTRIC LIGHT ORCHESTRA,EPIC
43,New,LOVE IS THE DRUG,GRACE JONES,ISLAND
44,26,SUSPICIOUS MINDS,FINE YOUNG CANNIBALS,LONDON
45,63,THE HONEYTHIEF,HIPSWAY,MERCURY
46,55,SUGAR FREE,JUICY,EPIC
47,31,IF YOU'RE READY (COME GO WITH ME) FT JONATHAN BUTLER,RUBY TURNER FEATURING JONATHAN BUTLER,JIVE
48,81,DIGGING YOUR SCENE,BLOW MONKEYS,RCA
49,32,IF I RULED THE WORLD,KURTIS BLOW,CLUB
50,New,KYRIE,MR MISTER,RCA
51,Re,GET UP (I FEEL LIKE BEING A SEX MACHINE) {1986},JAMES BROWN,BOILING POINT
52,37,SATURDAY LOVE,CHERRELLE WITH ALEXANDER O'NEAL,TABU
53,New,CRY TO HEAVEN,ELTON JOHN,ROCKET
54,40,IT'S ALL RIGHT (BABY'S COMING BACK),EURYTHMICS,RCA
55,59,LADIES,MANTRONIX,10
56,44,MOON OVER BOURBON STREET,STING,A&M
57,43,STAGES,ZZ TOP,WARNER BROTHERS
58,60,THIS TIME,BRYAN ADAMS,A&M
59,68,THE POWER IS YOURS,REDSKINS,DECCA
60,45,PAIN,BETTY WRIGHT,COOLTEMPO
,,,,
61,38,YOU LITTLE THIEF,FEARGAL SHARKEY,VIRGIN
62,74,DON'T YOU (FORGET ABOUT ME),SIMPLE MINDS,VIRGIN
63,42,WEST END GIRLS,PET SHOP BOYS,PARLOPHONE
64,62,ANOTHER NIGHT,ARETHA FRANKLIN,ARISTA
65,56,WE CAN MAKE IT HAPPEN,PRINCE CHARLES AND THE CITY BEAT BAND,PRT
66,54,FEMALE INTUITION,MAI TAI,VIRGIN
67,New,THE RIVER,TOTAL CONTRAST,LONDON
68,77,WILL YOU SATISFY?,CHERRELLE,TABU
69,58,HIT THAT PERFECT BEAT,BRONSKI BEAT,FORBIDDEN FRUIT
70,46,"ALICE, I WANT YOU JUST FOR ME",FULL FORCE,CBS
71,Re,RUSSIANS,STING,A&M
72,71,SAVING ALL MY LOVE FOR YOU,WHITNEY HOUSTON,ARISTA
73,67,SEX AS A WEAPON,PAT BENATAR,CHRYSALIS
74,61,UNCHAINED MELODY,LEO SAYER,CHRYSALIS
75,79,JUST CAN'T STAND IT,MATT BIANCO,WEA
76,76,HERE COMES THE MAN,BOOM BOOM ROOM,FUN AFTER ALL
77,73,EVERYBODY WANTS TO RULE THE WORLD,TEARS FOR FEARS,MERCURY
78,Re,SEPARATE LIVES,PHIL COLLINS AND MARILYN MARTIN,VIRGIN
79,83,MY CLEOPATRA,FLAMING MUSSOLINIS,NO-LABEL
80,82,DON'T TELL ME LIES,BREATHE,SIREN
81,70,LIVING IN THE PAST,DRUM THEATRE,EPIC
82,New,HEARTACHE NO 9,HOT CHOCOLATE,NO-LABEL
83,50,HOLD ME,TEDDY PENDERGRASS WITH WHITNEY HOUSTON,ASYLUM
84,69,SARA,STARSHIP,RCA
85,Re,DRESS YOU UP,MADONNA,SIRE
86,90,SHOULDN'T HAVE BEEN LIKE THAT,FRA LIPPO LIPPI,NO-LABEL
87,Re,WALKING IN THE AIR,ALED JONES,HMV
88,84,HOLD ON TO YOUR LOVE,SMOKEY ROBINSON,NO-LABEL
89,53,SHE'S ALWAYS A WOMAN/JUST THE WAY YOU ARE,BILLY JOEL,CBS
90,Re,SPIRIT OF '76,THE ALARM,IRS
,,,,
91,New,MADONNA'S EYES,JENNIFER RUSH,NO-LABEL
92,Re,RING OF ICE,JENNIFER RUSH,CBS
93,Re,HOLD ON (TO WHAT YOU'VE GOT),DANSE SOCIETY,NO-LABEL
94,66,YEARS LATER,CACTUS WORLD NEWS,MCA
95,New,VOICES,RUSS BALLARD,NO-LABEL
96,98,ONE STEP,KISSING THE PINK,NO-LABEL
97,78,ON THE TRAIL,PRIME MOVERS,ISLAND
98,91,I KNOW THAT MOOD,SHOOTING PARTY,NO-LABEL
99,86,I LOVE YOU,STEPHEN DUFFY,NO-LABEL
100,Re,MERRY CHRISTMAS EVERYONE,SHAKIN' STEVENS,EPIC
