position,lastWeek,title,artist,label
1,1,NOTHING COMPARES 2 U,SINEAD O'CONNOR,ENSIGN
2,2,GET UP (BEFORE THE NIGHT IS OVER) FT YA KID K,TECHNOTRONIC FEATURING YA KID K,SWANYARD
3,15,DUB BE GOOD TO ME FT LINDY LAYTON,BEATS INTERNATIONAL FEATURING LINDY LAYTON,GO! BEAT
4,4,HAPPENIN' ALL OVER AGAIN,LONNIE GORDON,SUPREME
5,New,I DON'T KNOW ANYBODY ELSE,BLACK BOX,DECONSTRUCTION
6,9,WALK ON BY,SYBIL,PWL
7,7,I WISH IT WOULD RAIN DOWN,PHIL COLLINS,VIRGIN
8,5,GOT TO HAVE YOUR LOVE FT WONDRESS,MANTRONIX FEATURING WONDRESS,CAPITOL
9,3,TEARS ON MY PILLOW,KYLIE MINOGUE,PWL
10,19,LIVE TOGETHER,LISA STANSFIELD,ARISTA
11,10,INSTANT REPLAY,YELL!,FANFARE
12,6,TOUCH ME,49ERS,4TH & BROADWAY
13,12,18 AND LIFE,SKID ROW,ATLANTIC
14,11,NOTHING EVER HAPPENS,DEL AMITRI,A&M
15,18,JUST LIKE JESSE JAMES,CHER,GEFFEN
16,13,THE FACE,AND WHY NOT?,ISLAND
17,New,ENJOY THE SILENCE,DEPECHE MODE,MUTE
18,8,COULD HAVE TOLD YOU SO,HALO JAMES,EPIC
19,24,HELLO,THE BELOVED,WEA
20,27,COME BACK TO ME,JANET JACKSON,BREAKOUT
21,32,DOWNTOWN TRAIN,ROD STEWART,WARNER BROTHERS
22,New,HOW AM I SUPPOSED TO LIVE WITHOUT YOU,MICHAEL BOLTON,CBS
23,17,WELCOME,GINO LATINO,FFRR
24,New,BRASSNECK,THE WEDDING PRESENT,RCA
25,33,BAD LOVE,ERIC CLAPTON,DUCK
26,14,HANGIN' TOUGH {1990},NEW KIDS ON THE BLOCK,CBS
27,New,STEAMY WINDOWS,TINA TURNER,CAPITOL
28,20,SHINE ON,HOUSE OF LOVE,FONTANA
29,25,MORE THAN YOU KNOW,MARTIKA,CBS
30,16,YOU MAKE ME FEEL (MIGHTY REAL),JIMMY SOMERVILLE,LONDON
,,,,
31,New,96 TEARS,THE STRANGLERS,EPIC
32,New,PUT IT THERE,PAUL MCCARTNEY,PARLOPHONE
33,29,THE KING AND QUEEN OF AMERICA,EURYTHMICS,RCA
34,26,I'LL BE GOOD TO YOU FT RAY CHARLES AND CHAKA KHAN,QUINCY JONES FEATURING RAY CHARLES AND CHAKA KHAN,QWEST
35,47,TELL ME THERE'S A HEAVEN,CHRIS REA,EAST WEST
36,21,GOING BACK TO MY ROOTS/RICH IN PARADISE,FPI PROJECT,RUMOUR
37,38,EPIC,FAITH NO MORE,SLASH
38,New,ROOM AT THE TOP,ADAM ANT,MCA
39,41,PROBABLY A ROBBERY,RENEGADE SOUNDWAVE,MUTE
40,New,DIRTY LOVE,THUNDER,EMI
41,35,BIKINI GIRLS WITH MACHINE GUNS,CRAMPS,ENIGMA
42,22,N-R-G,ADAMSKI,MCA
43,New,BLACK BETTY (BEN LIEBRAND REMIX),RAM JAM,EPIC
44,30,JUICY,WRECKX-N-EFFECT,MOTOWN
45,42,NO BLUE SKIES,LLOYD COLE,POLYDOR
46,23,PUT YOUR HANDS TOGETHER,D MOB,FFRR
47,28,GOT TO GET FT LEILA K,ROB 'N' RAZ FEATURING LEILA K,ARISTA
48,31,ALL 4 LOVE (BREAK 4 LOVE 1990),RAZE,CHAMPION
49,68,WALK ON THE WILD SIDE,JAMIE J. MORGAN,TABU
50,61,TAKING ON THE WORLD,GUN,A&M
51,36,WAS THAT ALL IT WAS,KYM MAZELLE,SYNCOPATE
52,34,GET A LIFE,SOUL II SOUL,10
53,53,HIGHER THAN HEAVEN,AGE OF CHANCE,VIRGIN
54,67,LIVIN' ON THE EDGE OF THE NIGHT,IGGY POP,VIRGIN AMERICA
55,66,HIGHER GROUND,RED HOT CHILI PEPPERS,EMI-USA
56,55,CHERRY LIPS (DER ERDBEERMUND),CULTURE BEAT,EPIC
57,52,BELFAST,ENERGY ORCHARD,MCA
58,New,PRINCIPAL'S OFFICE,YOUNG MC,DELICIOUS VINYL
59,New,SOMETIMES,MAX Q,MERCURY
60,49,MADCHESTER RAVE ON (EP),HAPPY MONDAYS,FACTORY
,,,,
61,37,HEY YOU,QUIREBOYS,PARLOPHONE
62,40,NO MORE MR. NICE GUY,MEGADETH,SBK
63,48,LOVE DON'T COME EASY,THE ALARM,IRS
64,New,YOU PLAYED YOURSELF,ICE-T,SIRE
65,63,GET INTO IT/THAT'S HOW I'M LIVING,TONY SCOTT,CHAMPION
66,70,BLUE SKY MINE,MIDNIGHT OIL,CBS
67,65,FOOL'S GOLD/WHAT THE WORLD IS WAITING FOR,THE STONE ROSES,SILVERTONE
68,New,BEACH BUMP,BABY FORD,RHYTHM KING
69,43,SLEEP WITH ME,BIRDLAND,LAZY
70,39,I CALLED YOU,LIL' LOUIS AND THE WORLD,FFRR
71,45,LAMBADA,KAOMA,CBS
72,83,JACKET HANGS,BLUE AEROPLANES,ENSIGN
73,69,SPIN THAT WHEEL (TURTLES GET REAL) FT YA KID K,HI-TEK 3 FEATURING YA KID K,BROTHERS ORGANISATION
74,74,EVERYTHING,JODY WATLEY,MCA
75,46,WHEN YOU COME BACK TO ME,JASON DONOVAN,PWL
76,62,CAN YOU FEEL IT,CHAMPION LEGEND AND RAZE,CHAMPION
77,57,MOTHERLAND-A-FRI-CA,TRIBAL HOUSE,COOLTEMPO
78,71,THE GAS FACE,3RD BASS,DEF JAM
79,99,TWO TO MAKE IT RIGHT,SEDUCTION,NO-LABEL
80,New,SPACE SHUTTLE,GIL SCOTT-HERON,NO-LABEL
81,77,ULTRA MODERN NURSERY RHYME,TERRY BLAIR AND ANOUCHKA,NO-LABEL
82,73,EVERYTIME I THINK OF YOU,FM,EPIC
83,89,I BUILD THIS GARDEN FOR US,LENNY KRAVITZ,NO-LABEL
84,87,BABY YOU'RE MINE,BASIA,NO-LABEL
85,New,TEST ONE,SWEET EXORCIST,NO-LABEL
86,78,RIDE (EP),RIDE,CREATION
87,75,DOWN THE WIRE,ASAP,EMI
88,New,TURN IT OUT (GO BASE),ROB BASE,NO-LABEL
89,90,INDIAN ROPE,THE CHARLATANS,DEAD DEAD GOOD
90,New,STILL TOO YOUNG TO REMEMBER {1990},IT BITES,VIRGIN
,,,,
91,New,PAIN,LEE MARROW,NO-LABEL
92,New,RED TOP HOT SHOT,QUEEN B,NO-LABEL
93,New,MAN MACHINE,MAN MACHINE,NO-LABEL
94,91,DEXTROUS,NIGHTMARES ON WAX,NO-LABEL
95,New,ALL NIGHT LONG,MAFIA INTRODUCING LISA BARON,NO-LABEL
96,82,POWER,ALMIGHTY,NO-LABEL
97,New,THE BLUE THUNDER EP,GALAXIE 500,NO-LABEL
98,81,IF I CAN DREAM,BARRY MANILOW,NO-LABEL
99,New,LIGHTNING MAN,NITZER EBB,NO-LABEL
100,79,DON'T YOU WANT MY LOVE,JOMANDA,NO-LABEL
