position,lastWeek,title,artist,label
1,New,BELIEVE,CHER,WEA
2,New,OUTSIDE,GEORGE MICHAEL,EPIC
3,New,SWEETEST THING,U2,ISLAND
4,New,I JUST WANNA BE LOVED,CULTURE CLUB,VIRGIN
5,New,THANK U,ALANIS MORISSETTE,MAVERICK
6,1,GYM AND TONIC,SPACEDUST,EAST WEST
7,5,I DON'T WANT TO MISS A THING,AEROSMITH,COLUMBIA
8,New,LITTLE BIT OF LOVIN',KELE LE ROC,WILD CARD
9,2,MORE THAN A WOMAN,911,VIRGIN
10,3,GIRLFRIEND,BILLIE,INNOCENT
11,8,PERFECT 10,BEAUTIFUL SOUTH,GO! DISCS/MERCURY
12,4,ROLLERCOASTER,B'WITCHED,EPIC
13,7,GANGSTER TRIPPIN,FATBOY SLIM,SKINT
14,9,HOW DEEP IS YOUR LOVE,DRU HILL,ISLAND BLACK MUSIC
15,19,MY FAVOURITE GAME,CARDIGANS,STOCKHOLM
16,11,SEX ON THE BEACH,T-SPOON,CONTROL
17,New,SEXY CINDERELLA,LYNDEN DAVID HALL,COOLTEMPO
18,New,CAR WASH,ROSE ROYCE FT GWEN DICKEY,MCA
19,12,ALL 'BOUT THE MONEY,MEJA,COLUMBIA
20,10,CAN'T KEEP THIS FEELING IN,CLIFF RICHARD,EMI
21,20,MUSIC SOUNDS BETTER WITH YOU,STARDUST,VIRGIN
22,14,STAND BY ME,4 THE CAUSE,RCA
23,6,DAYSLEEPER,REM,WARNER BROS
24,13,DOO WOP (THAT THING),LAURYN HILL,COLUMBIA
25,23,NO MATTER WHAT,BOYZONE,POLYDOR
26,21,MILLENNIUM,ROBBIE WILLIAMS,CHRYSALIS
27,17,SMOKE,NATALIE IMBRUGLIA,RCA
28,New,I GOT 5 ON IT,LUNIZ,VC RECORDINGS
29,15,THE FIRST NIGHT,MONICA,ARISTA
30,18,TOP OF THE WORLD,BRANDY FT MASE,ATLANTIC
,,,,
31,26,CRUSH,JENNIFER PAIGE,EDEL AMERICA
32,25,TO THE MOON AND BACK,SAVAGE GARDEN,COLUMBIA
33,28,RELAX,DEETAH,FFRR
34,24,FINALLY FOUND,HONEYZ,MERCURY
35,16,"ONE, TWO, THREE",DINA CARROLL,MERCURY
36,22,YOU AIN'T SEEN NOTHIN' YET,BUS STOP FT RANDY BACHMAN,ALL AROUND THE WORLD
37,27,COME BACK DARLING,UB40,DEP INTERNATIONAL
38,32,ONE FOR SORROW,STEPS,JIVE
39,30,SPECIAL,GARBAGE,MUSHROOM
40,33,I WANT YOU BACK,MELANIE B FT MISSY ELLIOTT,VIRGIN
41,29,CRUEL SUMMER,ACE OF BASE,LONDON
42,38,SOMEONE LOVES YOU HONEY,LUTRICIA MCNEAL,WILDSTAR
43,34,THE MAGIC IS THERE,DANIEL O'DONNELL,RITZ
44,35,CONCRETE SCHOOLYARD,JURASSIC 5,PAN
45,40,YOU DON'T CARE ABOUT US,PLACEBO,HUT
46,31,TRULY,HINDA HICKS,ISLAND
47,55,IF YOU TOLERATE THIS YOUR CHILDREN...,MANIC STREET PREACHERS,EPIC
48,39,GOT TO GET UP,AFRIKA BAMBAATAA VS CARPE DIEM,MULTIPLY
49,46,QUESTION OF FAITH,LIGHTHOUSE FAMILY,WILD CARD
50,48,ON A DAY LIKE TODAY,BRYAN ADAMS,MERCURY
51,New,TRUE TO YOUR HEART,98 DEGREES FT STEVIE WONDER,MOTOWN
52,New,ALL THAT I AM,JOE,JIVE
53,53,EVERYBODY GET UP,FIVE,RCA
54,New,CHA CHA CHA,FLIPMODE SQUAD,ELEKTRA
55,37,HOUSE MUSIC,EDDIE AMADOR,PUKKA
56,36,MEMORY,ELAINE PAIGE,WEA
57,60,BOOTIE CALL,ALL SAINTS,LONDON
58,59,WHAT CAN I DO,CORRS,ATLANTIC
59,67,MYSTERIOUS TIMES,SASH! FT TINA COUSINS,MULTIPLY
60,64,EVERYTHING'S GONNA BE ALRIGHT,SWEETBOX,RCA
,,,,
61,50,ADIA,SARAH MCLACHLAN,ARISTA
62,54,THE INCIDENTALS,ALISHA'S ATTIC,MERCURY
63,New,GBI,TOWA TEI FT KYLIE MINOGUE,ARTHROB
64,44,BOZOS,LEVELLERS,CHINA
65,42,DISCO COP,BLUE ADONIS,SERIOUS
66,New,20 DEGREES,JONNY L FT SILVAH BULLET,XL RECORDINGS
67,57,BEACHBALL,NALIN & KANE,FFRR
68,New,GOTTA BE...MOVIN' ON UP,PM.DAWN FT KY-MANI,GEE STREET
69,New,MADAGASGA,ART OF TRANCE,PLATIPUS
70,52,THE WAY,FASTBALL,POLYDOR
71,43,IF I WAS A RIVER,TINA ARENA,COLUMBIA
72,Re,HOW DO I LIVE,LEANN RIMES,CURB/THE HIT LABEL
73,58,DESTINY,DEM 2,LOCKED ON
74,Re,THE RIGHT TIME,ULTRA,EAST WEST
75,51,SHAME,RUFF DRIVERZ,INFERNO
76,41,I'M A MESSAGE,IDLEWILD,FOOD
77,49,STEP-TWO-THREE-FOUR,STRICT INSTRUCTOR,ALL AROUND THE WORLD
78,45,SHEFFIELD SONG (I LOVE HER MORE THAN...),SUPERNATURALS,FOOD
79,47,RISING SIGN,HURRICANE 1,CREATION
80,84,FOR AN ANGEL,PAUL VAN DYK,DEVIANT
81,62,I'M GONNA GET YA BABY,BLACK CONNECTION,XTRAVAGANZA
82,74,THE ENERGY (FEEL THE VIBE),ASTRO TRAX,SATELLITE
83,78,THE AIR THAT I BREATHE,SIMPLY RED,EAST WEST
84,63,FEELIN' YOU,ALI,WILD CARD
85,85,TELETUBBIES SAY EH-OH!,TELETUBBIES,BBC WORLDWIDE MUSIC
86,71,YOU DON'T KNOW,MASS SYNDICATE FT SU SU BOBIEN,FFRR
87,99,MY WEAKNESS IS NONE OF YOUR BUSINESS,EMBRACE,HUT
88,New,A.M.180,GRANDADDY,BIG CAT
89,66,MY OH MY,AQUA,UNIVERSAL
90,70,DELICIOUS,PURE SUGAR,GEFFEN
,,,,
91,93,STORM,STORM,POSITIVA
92,New,REAL WORLD,MATCHBOX 20,ATLANTIC
93,Re,BECAUSE WE WANT TO,BILLIE,INNOCENT
94,New,JUMPIN' & PUMPIN',SON,DUTY FREE
95,72,SUMMER ON THE UNDERGROUND,A,TYCOON
96,New,SMALL CHANGE,LODGER,ISLAND
97,Re,LET THE MUSIC HEAL YOUR SOUL,BRAVO ALL STARS,EDEL
98,Re,ANGELS,ROBBIE WILLIAMS,CHRYSALIS
99,79,OK,TALVIN SINGH,ISLAND
100,89,THE ROCKAFELLER SKANK,FATBOY SLIM,SKINT
