position,lastWeek,title,artist,label
1,1,LAY DOWN YOUR ARMS,ANNE SHELTON,PHILIPS
2,2,WHATEVER WILL BE WILL BE (QUE SERA SERA),DORIS DAY,PHILIPS
3,4,THE YING TONG SONG/BLOODNOK'S ROCK 'N' ROLL CALL,GOONS,DECCA
4,3,ROCKIN' THROUGH THE RYE,BILL HALEY AND HIS COMETS,BRUNSWICK
5,13,HOUND DOG,ELVIS PRESLEY,HMV
6,5,THE GREAT PRETENDER/ONLY YOU,PLATTERS,MERCURY
7,9,BRING A LITTLE WATER SYLVIE/DEAD OR ALIVE,LONNIE DONEGAN,PYE NIXA
8,12,A WOMAN IN LOVE,FRANKIE LAINE,PHILIPS
9,6,WALK HAND IN HAND,TONY MARTIN,HMV
10,6,SWEET OLD-FASHIONED GIRL,TERESA BREWER,VOGUE CORAL
11,11,THE SAINTS ROCK 'N' ROLL,BILL HALEY AND HIS COMETS,BRUNSWICK
12,10,MOUNTAIN GREENERY,MEL TORME,VOGUE CORAL
13,17,ROCK AROUND THE CLOCK,BILL HALEY AND HIS COMETS,BRUNSWICK
14,6,WHY DO FOOLS FALL IN LOVE FT FRANKIE LYMON,TEENAGERS FEATURING FRANKIE LYMON,COLUMBIA
15,15,BORN TO BE WITH YOU,THE CHORDETTES,LONDON
16,New,GIDDY-UP-A-DING-DONG,FREDDIE BELL AND THE BELLBOYS,MERCURY
17,28,RAZZLE DAZZLE,BILL HALEY AND HIS COMETS,BRUNSWICK
18,14,SERENADE,SLIM WHITMAN,LONDON
19,17,BY THE FOUNTAINS OF ROME,EDMUND HOCKRIDGE,PYE NIXA
19,21,SEE YOU LATER ALLIGATOR,BILL HALEY AND HIS COMETS,BRUNSWICK
21,16,I WANT YOU I NEED YOU I LOVE YOU,ELVIS PRESLEY,HMV
22,24,HEARTBREAK HOTEL,ELVIS PRESLEY,HMV
23,New,WHEN MEXICO GAVE UP THE RHUMBA,MITCHELL TOROK,BRUNSWICK
24,Re,BE BOP A LULA,GENE VINCENT,CAPITOL
25,New,GLENDORA,PERRY COMO,HMV
26,New,MORE,JIMMY YOUNG,DECCA
26,29,MORE,PERRY COMO,HMV
28,New,GLENDORA,GLEN MASON,PARLOPHONE
29,22,I'M IN LOVE AGAIN,FATS DOMINO,LONDON
30,19,I ALMOST LOST MY MIND,PAT BOONE,LONDON
