position,lastWeek,title,artist,label
1,1,RED RED WINE,UB40,DEP INTERNATIONAL
2,4,WINGS OF A DOVE,MADNESS,STIFF
3,8,WHAT AM I GONNA DO,ROD STEWART,WARNER BROTHERS
4,2,GIVE IT UP,KC AND THE SUNSHINE BAND,EPIC
5,20,MAMA,GENESIS,VIRGIN/CHARISMA
6,3,GOLD,SPANDAU BALLET,REFORMATION
7,16,TONIGHT I CELEBRATE MY LOVE,PEABO BRYSON AND ROBERTA FLACK,CAPITOL
8,5,I'M STILL STANDING,ELTON JOHN,ROCKET
9,9,WALKING IN THE RAIN,MODERN ROMANCE,WEA
10,11,THE SUN GOES DOWN (LIVING IT UP),LEVEL 42,POLYDOR
11,6,CLUB TROPICANA,WHAM!,INNERVISION
12,17,CONFUSION,NEW ORDER,FACTORY
13,7,LONG HOT SUMMER/PARIS MATCH,THE STYLE COUNCIL,POLYDOR
14,10,"WATCHING YOU, WATCHING ME",DAVID GRANT,CHRYSALIS
15,22,CHANCE,BIG COUNTRY,MERCURY
16,15,BAD DAY,CARMEL,LONDON
17,12,ROCKIT,HERBIE HANCOCK,CBS
18,13,COME DANCING,THE KINKS,ARISTA
19,18,DISAPPEARING ACT,SHALAMAR,SOLAR
20,30,WARRIORS,GARY NUMAN,BEGGARS BANQUET
21,45,DOLCE VITA,RYAN PARIS,CARRERE
22,14,EVERYTHING COUNTS,DEPECHE MODE,MUTE
23,36,NEVER SAY DIE (GIVE A LITTLE BIT MORE),CLIFF RICHARD,EMI
24,New,OL' RAG BLUES,STATUS QUO,VERTIGO
25,23,TOUR DE FRANCE,KRAFTWERK,EMI
26,25,I.O.U.,FREEEZ,BEGGARS BANQUET
27,New,COME BACK AND STAY,PAUL YOUNG,CBS
28,New,CRUSHED BY THE WHEELS OF INDUSTRY,HEAVEN 17,VIRGIN
29,32,(SHE'S) SEXY AND 17,THE STRAY CATS,ARISTA
30,19,DOUBLE DUTCH,MALCOLM MCLAREN,CHARISMA
,,,,
31,21,THE FIRST PICTURE OF YOU,LOTUS EATERS,SYLVAN
32,24,BIG LOG,ROBERT PLANT,WEA
33,26,THE CROWN,GARY BYRD AND THE GB EXPERIENCE,MOTOWN
34,40,RIDERS ON THE STORM,ANNABEL LAMB,A&M
35,37,JOHNNY FRIENDLY,JO BOXERS,RCA
36,31,WHEREVER I LAY MY HAT (THAT'S MY HOME),PAUL YOUNG,CBS
37,44,A STEP IN THE RIGHT DIRECTION,TRUTH,FORMATION
38,27,LOVE BLONDE,KIM WILDE,RAK
39,35,MOONLIGHT SHADOW,MIKE OLDFIELD,VIRGIN
40,29,WAIT UNTIL TONIGHT (MY LOVE) FT PHIL FEARON,GALAXY FEATURING PHIL FEARON,ENSIGN
41,61,TAHITI,DAVID ESSEX,MERCURY
42,28,RIGHT NOW,CREATURES,WONDERLAND
43,50,MANIAC,MICHAEL SEMBELLO,CASABLANCA
44,53,BLUE MONDAY,NEW ORDER,FACTORY
45,47,SHE LOVES YOU {1983},THE BEATLES,PARLOPHONE
46,38,JUST OUTSIDE OF HEAVEN,H2O,RCA
47,57,YOU'RE LOOKIN' HOT TONIGHT,BARRY MANILOW,ARISTA
48,59,SECRET MESSAGES,ELECTRIC LIGHT ORCHESTRA,JET
49,41,ROCK OF AGES,DEF LEPPARD,VERTIGO
50,49,IF YOU COULD SEE ME NOW,SHAKATAK,POLYDOR
51,34,WHO'S THAT GIRL?,EURYTHMICS,RCA
52,80,DR HECKYLL AND MR JIVE,MEN AT WORK,EPIC
53,88,GO DEH YAKA (GO TO THE TOP),MONYAKA,POLYDOR
54,33,GIVE IT SOME EMOTION,TRACIE,RESPOND
55,39,BLUE WORLD,THE MOODY BLUES,THRESHOLD
56,76,"ONE MIND, TWO HEARTS",PARADISE,PRIORITY
57,51,BALLERINA (PRIMA DONNA),STEVE HARLEY AND COCKNEY REBEL,STILETTO
58,67,JAM ON (REVENGE),NEWCLEUS,BECKETT
59,77,WHAT I GOT IS WHAT YOU NEED,UNIQUE,PRELUDE
60,48,YOU CAN'T STOP ROCK 'N' ROLL,TWISTED SISTER,ATLANTIC
,,,,
61,68,GIMME ALL YOUR LOVIN',ZZ TOP,WARNER BROTHERS
