position,lastWeek,title,artist,label
1,2,GOOD LUCK CHARM,ELVIS PRESLEY,RCA
2,1,NUT ROCKER,B. BUMBLE AND THE STINGERS,TOP RANK
3,4,DO YOU WANT TO DANCE/I'M LOOKING OUT THE WINDOW,CLIFF RICHARD,COLUMBIA
4,6,LOVE LETTERS,KETTY LESTER,LONDON
5,7,AS YOU LIKE IT,ADAM FAITH,PARLOPHONE
6,3,WONDERFUL LAND,THE SHADOWS,COLUMBIA
7,5,SPEAK TO ME PRETTY,BRENDA LEE,BRUNSWICK
8,8,HEY! LITTLE GIRL,DEL SHANNON,LONDON
9,9,WHEN MY LITTLE GIRL IS SMILING,JIMMY JUSTICE,PYE
10,19,GINNY COME LATELY,BRIAN HYLAND,HMV
11,15,LAST NIGHT WAS MADE FOR LOVE,BILLY FURY,DECCA
12,13,STRANGER ON THE SHORE,MR. ACKER BILK,COLUMBIA
13,12,WONDERFUL WORLD OF THE YOUNG,DANNY WILLIAMS,HMV
14,10,HEY! BABY,BRUCE CHANNEL,MERCURY
15,11,NEVER GOODBYE,KARL DENVER,DECCA
16,16,CAN'T HELP FALLING IN LOVE/ROCK-A-HULA BABY,ELVIS PRESLEY,RCA
17,29,COME OUTSIDE,MIKE SARNE WITH WENDY RICHARD,PARLOPHONE
18,28,I DON'T KNOW WHY,EDEN KANE,DECCA
19,17,THE PARTY'S OVER,LONNIE DONEGAN,PYE
20,25,LONELY CITY,JOHN LEYTON,HMV
21,20,WHEN MY LITTLE GIRL IS SMILING,CRAIG DOUGLAS,TOP RANK
22,14,DREAM BABY,ROY ORBISON,LONDON
23,26,LET'S TALK ABOUT LOVE,HELEN SHAPIRO,COLUMBIA
24,47,GREEN LEAVES OF SUMMER,KENNY BALL AND HIS JAZZMEN,PYE JAZZ
25,41,HOW CAN I MEET HER,THE EVERLY BROTHERS,WARNER BROTHERS
26,21,YOUNG WORLD,RICKY NELSON,LONDON
27,49,A PICTURE OF YOU,JOE BROWN,PICCADILLY
28,18,TWISTIN' THE NIGHT AWAY,SAM COOKE,RCA
29,22,EVERYBODY'S TWISTING,FRANK SINATRA,REPRISE
30,23,KING OF CLOWNS,NEIL SEDAKA,RCA
,,,,
31,36,UNSQUARE DANCE,DAVE BRUBECK,CBS
32,34,LOVER PLEASE/YOU KNOW WHAT I MEAN,VERNONS GIRLS,DECCA
33,44,FUNNY WAY OF LAUGHIN',BURL IVES,BRUNSWICK
34,24,THEME FROM 'Z CARS',JOHNNY KEATING,PICCADILLY
35,New,BESAME MUCHO,JET HARRIS,DECCA
36,New,JEZEBEL,MARTY WILDE,PHILIPS
37,40,CLOWN SHOES,JOHNNY BURNETTE,LIBERTY
38,32,LOVE ME WARM AND TENDER,PAUL ANKA,RCA
39,37,JOHNNY ANGEL,PATTI LYNN,FONTANA
40,27,LET'S TWIST AGAIN,CHUBBY CHECKER,COLUMBIA
41,42,SWINGING IN THE RAIN,NORMAN VAUGHAN,PYE
42,31,THEME FROM 'MAIGRET',JOE LOSS,HMV
43,30,THEME FROM 'DR KILDARE',JOHNNY SPENCE,PARLOPHONE
44,33,TELL ME WHAT HE SAID,HELEN SHAPIRO,COLUMBIA
45,New,QUANDO QUANDO QUANDO,PAT BOONE,LONDON
46,38,SOFTLY AS I LEAVE YOU,MATT MONRO,PARLOPHONE
47,New,DEEP IN THE HEART OF TEXAS,DUANE EDDY,RCA
48,35,THE YOUNG ONES,CLIFF RICHARD,COLUMBIA
49,43,SLOW TWISTIN',CHUBBY CHECKER,COLUMBIA
50,50,CATERINA,PERRY COMO,RCA
