position,lastWeek,title,artist,label
1,1,ROSE MARIE,SLIM WHITMAN,LONDON
2,5,THE MAN FROM LARAMIE,JIMMY YOUNG,DECCA
3,2,COOL WATER,FRANKIE LAINE WITH THE MELLOMEN,PHILIPS
4,3,LEARNIN' THE BLUES,FRANK SINATRA,CAPITOL
5,4,EV'RYWHERE,DAVID WHITFIELD,DECCA
6,9,BLUE STAR (THE MEDIC THEME),CYRIL STAPLETON ORCHESTRA WITH JULIE DAWN,DECCA
7,7,THE BREEZE AND I,CATERINA VALENTE,POLYDOR
8,6,CLOSE THE DOOR,STARGAZERS,DECCA
9,New,THE YELLOW ROSE OF TEXAS,MITCH MILLER,PHILIPS
10,11,INDIAN LOVE CALL,SLIM WHITMAN,LONDON
11,New,HERNANDO'S HIDEAWAY,JOHNSTON BROTHERS,DECCA
12,13,EVERY DAY OF MY LIFE,MALCOLM VAUGHAN,HMV
13,14,LOVE ME OR LEAVE ME,SAMMY DAVIS JR,BRUNSWICK
14,8,EVERMORE,RUBY MURRAY,COLUMBIA
15,10,STRANGE LADY IN TOWN,FRANKIE LAINE,PHILIPS
16,12,JOHN AND JULIE,EDDIE CALVERT,COLUMBIA
17,New,HEY THERE,LITA ROZA,DECCA
18,17,HEY THERE,ROSEMARY CLOONEY,PHILIPS
19,New,HEY THERE,SAMMY DAVIS JR,BRUNSWICK
20,15,STARS SHINE IN YOUR EYES,RONNIE HILTON,HMV
20,New,HERNANDO'S HIDEAWAY,JOHNNIE RAY,PHILIPS
