position,lastWeek,title,artist,label
1,2,OUTSIDE OF HEAVEN,EDDIE FISHER,HMV
2,1,COMES A-LONG A-LOVE,KAY STARR,CAPITOL
3,8,DON'T LET THE STARS GET IN YOUR EYES,PERRY COMO AND THE RAMBLERS,HMV
4,4,BECAUSE YOU'RE MINE,MARIO LANZA,HMV
5,2,YOU BELONG TO ME,JO STAFFORD,COLUMBIA
6,3,HERE IN MY HEART,AL MARTINO,CAPITOL
7,6,TAKES TWO TO TANGO,LOUIS ARMSTRONG,BRUNSWICK
8,5,BRITANNIA RAG,WINIFRED ATWELL,DECCA
9,6,COWPUNCHER'S CANTATA,MAX BYGRAVES,HMV
10,New,NOW,AL MARTINO,CAPITOL
11,7,THE ISLE OF INNISFREE,BING CROSBY,BRUNSWICK
12,11,WALKIN' TO MISSOURI,TONY BRENT,COLUMBIA
