position,lastWeek,title,artist,label
1,New,DON'T STAND SO CLOSE TO ME,THE POLICE,A&M
2,2,ONE DAY I'LL FLY AWAY,RANDY CRAWFORD,WARNER BROTHERS
3,4,MASTERBLASTER (JAMMIN'),STEVIE WONDER,MOTOWN
4,1,FEELS LIKE I'M IN LOVE,KELLY MARIE,CALIBRE PLUS
5,21,BAGGY TROUSERS,MADNESS,STIFF
6,3,IT'S ONLY LOVE/BEYOND THE REEF,ELVIS PRESLEY,RCA
7,10,ANOTHER ONE BITES THE DUST,QUEEN,EMI
8,28,D.I.S.C.O.,OTTAWAN,CARRERE
9,8,MODERN GIRL,SHEENA EASTON,EMI
10,6,EIGHTH DAY,HAZEL O'CONNOR,A&M
11,5,START,THE JAM,POLYDOR
12,9,DREAMIN',CLIFF RICHARD,EMI
13,36,MY OLD PIANO,DIANA ROSS,MOTOWN
14,15,IT'S STILL ROCK AND ROLL TO ME,BILLY JOEL,CBS
15,7,ASHES TO ASHES,DAVID BOWIE,RCA
16,23,I OWE YOU ONE,SHALAMAR,SOLAR
17,11,9 TO 5,SHEENA EASTON,EMI
18,12,THE SUNSHINE OF YOUR SMILE,MIKE BERRY,POLYDOR
19,14,PARANOID {1980},BLACK SABBATH,NEMS
20,20,A WALK IN THE PARK,NICK STRAKER BAND,CBS
21,19,MARIE MARIE,SHAKIN' STEVENS,EPIC
22,25,I GOT YOU,SPLIT ENZ,A&M
23,13,CAN'T STOP THE MUSIC,THE VILLAGE PEOPLE,MERCURY
24,27,SEARCHING,CHANGE,WEA
25,35,THREE LITTLE BIRDS,BOB MARLEY & THE WAILERS,ISLAND
26,16,BANKROBBER,THE CLASH,CBS
27,26,TWO LITTLE BOYS/HORSE,SPLODGENESSABOUNDS,DERAM
28,22,I WANT TO BE STRAIGHT,IAN DURY AND THE BLOCKHEADS,STIFF
29,34,IF YOU'RE LOOKIN' FOR A WAY OUT,ODYSSEY,RCA
30,24,BEST FRIEND/STAND DOWN MARGARET,THE BEAT,GO FEET
,,,,
31,50,STEREOTYPE/INTERNATIONAL JET SET,THE SPECIALS,2 TONE
32,17,TOM HARK,THE PIRANHAS,SIRE
33,32,GENERALS AND MAJORS/DON'T LOSE YOUR TEMPER,XTC,VIRGIN
34,18,I DIE: YOU DIE,GARY NUMAN,BEGGARS BANQUET
35,52,AMIGO,BLACK SLATE,ENSIGN
36,31,OOPS UPSIDE YOUR HEAD,THE GAP BAND,MERCURY
37,New,KILLER ON THE LOOSE,THIN LIZZY,VERTIGO
38,39,YOU SHOOK ME ALL NIGHT LONG,AC/DC,ATLANTIC
39,29,UNITED,JUDAS PRIEST,CBS
40,43,GOTTA PULL MYSELF TOGETHER,THE NOLANS,EPIC
41,30,THE WINNER TAKES IT ALL,ABBA,EPIC
42,42,MISUNDERSTANDING,GENESIS,CHARISMA
43,71,YOU'RE LYING,LINX,CHRYSALIS
44,45,JOHNNY AND MARY,ROBERT PALMER,ISLAND
45,37,TASTE OF BITTER LOVE,GLADYS KNIGHT AND THE PIPS,CBS
46,62,BE THANKFUL FOR WHAT YOU'VE GOT (1980),WILLIAM DEVAUGHN,EMI
47,33,UPSIDE DOWN,DIANA ROSS,MOTOWN
48,41,BIG TIME,RICK JAMES,MOTOWN
49,49,CRAZY TRAIN,OZZY OSBOURNE'S BLIZZARD OF OZZ,JET
50,44,DON'T MAKE ME WAIT TOO LONG,ROBERTA FLACK,ATLANTIC
51,60,MAGIC,OLIVIA NEWTON-JOHN,JET
52,40,CIRCUS GAMES,SKIDS,VIRGIN
53,46,BODY LANGUAGE,THE DOOLEYS,GTO
54,47,YEARS FROM NOW,DR HOOK,CAPITOL
55,65,YOU'VE LOST THAT LOVIN' FEELIN',HALL AND OATES,RCA
56,38,GIVE ME THE NIGHT,GEORGE BENSON,WARNER BROTHERS
57,73,I'M THE LEADER OF THE GANG (EP),GARY GLITTER,GTO
58,New,SPECIAL BREW,BAD MANNERS,MAGNET
59,53,ARMED AND READY,MICHAEL SCHENKER GROUP,CHRYSALIS
60,New,WHEN YOU ASK ABOUT LOVE,MATCHBOX,MAGNET
,,,,
61,New,WHAT'S IN A KISS,GILBERT O'SULLIVAN,CBS
62,New,WHY DO LOVERS BREAK EACH OTHERS' HEARTS,SHOWADDYWADDY,ARISTA
63,69,YOUR EARS SHOULD BE BURNING NOW,MARTI WEBB,POLYDOR
64,58,LATE IN THE EVENING,PAUL SIMON,WARNER BROTHERS
65,57,BACKSTROKIN',THE FATBACK BAND,SPRING
65,New,WHEN I DREAM,THE TEARDROP EXPLODES,MERCURY
67,55,THE QUARTER MOON,V.I.P.'S,GEM
68,New,PARTY LIGHTS,THE GAP BAND,MERCURY
69,New,THE WANDERER,DONNA SUMMER,GEFFEN
70,51,FUNKIN' FOR JAMAICA (N.Y.),TOM BROWNE,ARISTA
71,54,UNLOCK THE FUNK,LOCKSMITH,ARISTA
72,New,LET'S GO,VARDIS,LOGO
73,New,LA-DI-DA,SAD CAFE,RCA
74,New,CASANOVA,COFFEE,DE-LITE
75,New,ALL OUT OF LOVE,AIR SUPPLY,ARISTA
