position,lastWeek,title,artist,label
1,New,ROYALS,LORDE,VIRGIN
2,New,YOU'RE NOBODY 'TIL SOMEBODY LOVES YOU,JAMES ARTHUR,SYCO MUSIC
3,1,COUNTING STARS,ONEREPUBLIC,INTERSCOPE
4,6,ROAR,KATY PERRY,VIRGIN
5,New,BOOYAH,SHOWTEK/WE ARE LOUD/WILSON,POLYDOR
6,2,WRECKING BALL,MILEY CYRUS,RCA
7,4,BONFIRE HEART,JAMES BLUNT,ATLANTIC
8,New,BEAUTIFUL LIFE,UNION J,RCA
9,8,AFTERGLOW,WILKINSON,RAM/VIRGIN
10,12,HOLD ON WE'RE GOING HOME,DRAKE FT MAJID JORDAN,CASH MONEY/REPUBLIC RECORDS
11,9,R U CRAZY,CONOR MAYNARD,PARLOPHONE
12,16,WHAT I MIGHT DO,BEN PEARCE,MERCURY
13,3,JULIET,LAWSON,GLOBAL TALENT
14,13,CAN WE DANCE,VAMPS,EMI
15,28,GIVE IT 2 U,ROBIN THICKE/KENDRICK LAMAR,INTERSCOPE
16,11,TALK DIRTY,JASON DERULO FT 2 CHAINZ,WARNER BROS
17,23,THE FOX,YLVIS,WM NORWAY
18,5,RAP GOD,EMINEM,INTERSCOPE
19,15,YOU MAKE ME,AVICII,POSITIVA/PRMD
20,21,WAKE ME UP,AVICII,POSITIVA/PRMD
21,7,BERZERK,EMINEM,INTERSCOPE
22,New,SURVIVAL,EMINEM,INTERSCOPE
23,17,BURN,ELLIE GOULDING,POLYDOR
24,18,SAME LOVE,MACKLEMORE/LEWIS/LAMBERT,MACKLEMORE
25,24,LET HER GO,PASSENGER,NETTWERK
26,33,BLURRED LINES,ROBIN THICKE/TI/PHARRELL,INTERSCOPE
27,10,CHANGE YOUR LIFE,IGGY AZALEA FT TI,EMI
28,New,HOLD TIGHT,JUSTIN BIEBER,DEF JAM
29,34,I WON'T GIVE UP,JASON MRAZ,ELEKTRA
30,14,DISCO LOVE,SATURDAYS,POLYDOR
,,,,
31,New,ALL NIGHT,ICONA POP,ATLANTIC
32,19,COUNT ON ME,CHASE & STATUS FT MOKO,EMI
33,New,TIME OF OUR LIVES,RECONNECTED,BANNATYNE MUSIC
34,44,SKIP TO THE GOOD BIT,RIZZLE KICKS,ISLAND
35,New,TURN IT UP,SEAN PAUL,ATLANTIC
36,25,I HOPE YOU FIND IT,CHER,WARNER BROS
37,29,SONNENTANZ (SUN DON'T SHINE),KLANGKARUSSELL FT WILL HEARD,ISLAND
38,22,CHEATING,JOHN NEWMAN,ISLAND
39,27,SUMMERTIME SADNESS,LANA DEL REY VS CEDRIC GERVAIS,POLYDOR
40,30,WE CAN'T STOP,MILEY CYRUS,RCA
41,New,WAIT FOR A MINUTE,TYGA & JUSTIN BIEBER,CASH MONEY/REPUBLIC RECORDS
42,26,LOVE ME AGAIN,JOHN NEWMAN,ISLAND
43,New,LOVE THIS TOWN,DIZZEE RASCAL FT TEDDY SKY,DIRTEE STANK
44,New,NO SLEEP,SWAY/KSI/TIGGER DA AUTHOR,3 BEAT/AATW
45,New,SWEETER THAN FICTION,TAYLOR SWIFT,BIG MACHINE
46,31,A THOUSAND YEARS,CHRISTINA PERRI,ATLANTIC
47,40,STRONG,LONDON GRAMMAR,METAL & DUST RECORDINGS
48,32,SKYSCRAPER,DEMI LOVATO,HOLLYWOOD
49,35,IT'S MY PARTY,JESSIE J,LAVA/REPUBLIC RECORDS
50,41,APPLAUSE,LADY GAGA,INTERSCOPE
51,46,DO I WANNA KNOW,ARCTIC MONKEYS,DOMINO RECORDINGS
52,38,HOLY GRAIL,JAY-Z FT JUSTIN TIMBERLAKE,ROC NATION
53,New,LITTLE NIKKI SAYS,LITTLE NIKKI,DECONSTRUCTION
54,73,SAIL,AWOLNATION,RED BULL
55,49,LA LA LA,NAUGHTY BOY FT SAM SMITH,VIRGIN
56,45,GET LUCKY,DAFT PUNK FT PHARRELL WILLIAMS,COLUMBIA
57,54,WHY'D YOU ONLY CALL ME WHEN YOU'RE HIGH,ARCTIC MONKEYS,DOMINO RECORDINGS
58,52,WHAT DOESN'T KILL YOU,JAKE BUGG,EMI
59,51,BEST SONG EVER,ONE DIRECTION,SYCO MUSIC
60,New,UNCONDITIONALLY,KATY PERRY,VIRGIN
,,,,
61,91,NO DIGGITY,BLACKSTREET FT DR DRE,INTERSCOPE
62,New,CLOUD 9,MS DYNAMITE & SHY FX,DIGITAL SOUNDBOY
63,56,CAN'T HOLD US,MACKLEMORE/RYAN LEWIS/DALTON,MACKLEMORE
64,37,GET LIKE ME,NELLY/NICKI MINAJ/PHARRELL,REPUBLIC RECORDS
65,36,SOMETHING REALLY BAD,DIZZEE RASCAL FT WILL I AM,DIRTEE STANK
66,43,POUR IT UP,RIHANNA,DEF JAM
67,48,EARTHQUAKE,DJ FRESH/DIPLO/DOMINIQUE YOUNG,MINISTRY OF SOUND
68,100,DARK HORSE,KATY PERRY FT JUICY J,VIRGIN
69,68,I LOVE IT,ICONA POP FT CHARLI XCX,ATLANTIC
70,47,THE WIRE,HAIM,POLYDOR
71,New,WHOLE LOT OF WATER,ANDY JORDAN,AMJ
72,New,BOY OH BOY,DIPLO & GTA,MAD DECENT
73,50,POMPEII,BASTILLE,VIRGIN
74,59,DEAR DARLIN',OLLY MURS,EPIC
75,42,AIN'T NOBODY,JASMINE THOMPSON,NOWEVER
76,87,HO HEY,LUMINEERS,DUALTONE
77,61,RADIOACTIVE,IMAGINE DRAGONS,INTERSCOPE
78,New,TENNIS COURT,LORDE,VIRGIN
79,79,HELP ME LOSE MY MIND,DISCLOSURE FT LONDON GRAMMAR,PMR
80,New,WALKING ON AIR,KATY PERRY,VIRGIN
81,New,SLUMVILLE SUNRISE,JAKE BUGG,EMI
82,88,IF I DIE YOUNG,GLEE CAST,EPIC
83,20,ALL THAT MATTERS,JUSTIN BIEBER,DEF JAM
84,65,JUST GIVE ME A REASON,PINK FT NATE RUESS,RCA
85,63,TREASURE,BRUNO MARS,ATLANTIC
86,57,LOST GENERATION,RIZZLE KICKS,ISLAND
87,Re,ANGEL,SARAH MCLACHLAN,ARISTA
88,53,MY N***A,YG/JEEZY/RICH HOMIE QUAN,DEF JAM
89,Re,EVERYBODY'S CHANGING,KEANE,ISLAND
90,77,WAITING ALL NIGHT,RUDIMENTAL FT ELLA EYRE,ASYLUM
,,,,
91,69,COOL,LE YOUTH,SIGN OF THE TIMES
92,78,SHE WILL BE LOVED,MAROON 5,A&M/OCTONE
93,82,ANTENNA,FUSE ODG,3 BEAT/AATW
94,62,THE OTHER SIDE,JASON DERULO,WARNER BROS
95,Re,GIRLS,1975,DIRTY HIT/POLYDOR
96,98,WHEN I WAS YOUR MAN,BRUNO MARS,ATLANTIC
97,New,WRECKING BALL,ALONZO HOLT FT JAMES ARTHUR,SONY MUSIC
