position,lastWeek,title,artist,label
1,1,ONLY SIXTEEN,CRAIG DOUGLAS,TOP RANK
2,3,HERE COMES SUMMER,JERRY KELLER,LONDON
3,2,LIVING DOLL,CLIFF RICHARD AND THE DRIFTERS,COLUMBIA
4,7,('TIL) I KISSED YOU,THE EVERLY BROTHERS,LONDON
5,24,MACK THE KNIFE,BOBBY DARIN,LONDON
6,9,SOMEONE,JOHNNY MATHIS,FONTANA
7,4,LONELY BOY,PAUL ANKA,COLUMBIA
8,6,CHINA TEA,RUSS CONWAY,COLUMBIA
9,5,MONA LISA,CONWAY TWITTY,MGM
10,11,THE THREE BELLS,BROWNS,RCA
11,13,JUST A LITTLE TOO MUCH,RICKY NELSON,LONDON
12,15,HIGH HOPES,FRANK SINATRA,CAPITOL
13,22,PEGGY SUE GOT MARRIED,BUDDY HOLLY,CORAL
14,8,THE HEART OF A MAN,FRANKIE VAUGHAN,PHILIPS
15,15,BROKEN HEARTED MELODY,SARAH VAUGHAN,MERCURY
16,10,LIPSTICK ON YOUR COLLAR,CONNIE FRANCIS,MGM
16,21,SEA OF LOVE,MARTY WILDE,PHILIPS
18,11,FORTY MILES OF BAD ROAD,DUANE EDDY AND THE REBELS,LONDON
19,18,I KNOW,PERRY COMO,RCA
20,18,PLENTY GOOD LOVIN',CONNIE FRANCIS,MGM
21,14,BATTLE OF NEW ORLEANS,LONNIE DONEGAN,PYE
22,17,SAL'S GOT A SUGAR LIP,LONNIE DONEGAN,PYE
23,27,THE HONEYMOON SONG,MANUEL AND THE MUSIC OF THE MOUNTAINS,COLUMBIA
24,23,I'M GONNA GET MARRIED,LLOYD PRICE,HMV
25,18,DREAM LOVER,BOBBY DARIN,LONDON
26,New,HOLD BACK TOMORROW,MIKI AND GRIFF,PYE
26,New,JUST KEEP IT UP (AND SEE WHAT HAPPENS),DEE CLARK,LONDON
28,26,MIDNIGHT FLYER,NAT 'KING' COLE,CAPITOL
29,29,TALLAHASSEE LASSIE,FREDDIE CANNON,TOP RANK
29,Re,WALKIN' TALL,FRANKIE VAUGHAN,PHILIPS
