position,lastWeek,title,artist,label
1,1,STAR TREKKIN',THE FIRM,BARK
2,2,I WANNA DANCE WITH SOMEBODY (WHO LOVES ME),WHITNEY HOUSTON,ARISTA
3,6,UNDER THE BOARDWALK,BRUCE WILLIS,MOTOWN
4,3,I WANT YOUR SEX,GEORGE MICHAEL,EPIC
5,New,IT'S A SIN,PET SHOP BOYS,PARLOPHONE
6,4,HOLD ME NOW,JOHNNY LOGAN,EPIC
7,9,YOU'RE THE VOICE,JOHN FARNHAM,WHEATLEY
8,8,NOTHING'S GONNA STOP ME NOW,SAMANTHA FOX,JIVE
9,21,MISFIT {1987},CURIOSITY KILLED THE CAT,MERCURY
10,5,NOTHING'S GONNA STOP US NOW,STARSHIP,GRUNT
11,16,IS THIS LOVE,WHITESNAKE,EMI
12,14,WHEN SMOKEY SINGS,ABC,NEUTRON
13,7,I STILL HAVEN'T FOUND WHAT I'M LOOKING FOR,U2,ISLAND
14,31,WISHING WELL,TERENCE TRENT D'ARBY,CBS
15,10,VICTIM OF LOVE,ERASURE,MUTE
16,13,LOOKING FOR A NEW LOVE,JODY WATLEY,MCA
17,20,IT'S NOT UNUSUAL {1987},TOM JONES,DECCA
18,25,LET'S DANCE,CHRIS REA,MAGNET
19,12,GOODBYE STRANGER,PEPSI AND SHIRLIE,POLYDOR
20,11,JACK MIX II/III,MIRAGE,DEBUT
21,26,COMIN' ON STRONG,BROKEN ENGLISH,EMI
22,30,PROMISED YOU A MIRACLE (LIVE),SIMPLE MINDS,VIRGIN
23,32,IF I WAS YOUR GIRLFRIEND,PRINCE,PAISLEY PARK
24,17,IT'S TRICKY,RUN-DMC,PROFILE
25,39,ALWAYS,ATLANTIC STARR,WARNER BROTHERS
26,44,MY PRETTY ONE,CLIFF RICHARD,EMI
27,29,DON'T DREAM IT'S OVER,CROWDED HOUSE,CAPITOL
28,24,THE PLEASURE PRINCIPLE,JANET JACKSON,BREAKOUT
29,19,NO SLEEP TILL BROOKLYN,BEASTIE BOYS,DEF JAM
30,34,SCALES OF JUSTICE,LIVING IN A BOX,CHRYSALIS
,,,,
31,18,SHATTERED DREAMS,JOHNNY HATES JAZZ,VIRGIN
32,27,DIAMONDS {1987},HERB ALPERT,BREAKOUT
33,15,WISHING I WAS LUCKY,WET WET WET,PRECIOUS ORGANISATION
34,37,LIFETIME LOVE,JOYCE SIMS,LONDON
35,41,SWEET SIXTEEN,BILLY IDOL,CHRYSALIS
36,23,LUKA,SUZANNE VEGA,A&M
37,46,THROWING IT ALL AWAY,GENESIS,VIRGIN
38,28,THE GAME,ECHO & THE BUNNYMEN,WEA
39,22,SERIOUS,DONNA ALLEN,PORTRAIT
40,New,TIME WILL CRAWL,DAVID BOWIE,EMI AMERICA
41,33,FAKE,ALEXANDER O'NEAL,TABU
42,36,A BOY FROM NOWHERE,TOM JONES,EPIC
43,35,CAN'T BE WITH YOU TONIGHT,JUDY BOUCHER,ORBITONE
44,New,INDIANS,ANTHRAX,ISLAND
45,66,ALONE,HEART,CAPITOL
46,New,SWEETEST SMILE,BLACK,A&M
47,61,LABOUR OF LOVE,HUE AND CRY,CIRCA
48,59,HOOVERVILLE (AND THEY PROMISED US THE WORLD),THE CHRISTIANS,ISLAND
49,43,BREAK EVERY RULE,TINA TURNER,CAPITOL
50,55,RIGHT NEXT DOOR,ROBERT CRAY BAND,MERCURY
51,New,A LITTLE BOOGIE WOOGIE (IN THE BACK OF MY MIND),SHAKIN' STEVENS,EPIC
52,53,WHEN YOUR OLD WEDDING RING WAS NEW {1987},JIMMY ROSELLI,FIRST NIGHT
53,38,KEEP ME IN MIND,BOY GEORGE,VIRGIN
54,47,NO WAY BACK/DO IT PROPERLY,2 PUERTO RICANS A BLACKMAN AND A DOMINICAN,LONDON
55,42,ROCK STEADY,THE WHISPERS,SOLAR
56,58,TEARING US APART,ERIC CLAPTON WITH TINA TURNER,DUCK
57,57,HEARTS ON FIRE,BRYAN ADAMS,A&M
58,48,THE JACK THAT HOUSE BUILT,JACK 'N' CHILL,OVAL
59,70,FLAMES OF PARADISE,JENNIFER RUSH AND ELTON JOHN,COLUMBIA
60,63,RED HOT,PRINCESS,POLYDOR
,,,,
61,49,DIRTY LOOKS,DIANA ROSS,EMI
62,91,MURPHY AND THE BRICKS,NOEL MURPHY,MURPHY'S
63,95,JUST DON'T WANT TO BE LONELY,FREDDIE MCGREGOR,GERMAIN
64,75,DON'T LOOK ANY FURTHER,DENNIS EDWARDS AND SIEDAH GARRETT,GORDY
65,80,MOTORTOWN,THE KANE GANG,KITCHENWARE
66,40,FIVE GET OVER EXCITED,THE HOUSEMARTINS,GO! DISCS
67,45,(SOMETHING INSIDE) SO STRONG,LABI SIFFRE,CHINA
68,79,RIGHT ON TRACK,BREAKFAST CLUB,MCA
69,56,GET READY,CAROL HITCHCOCK,A&M
70,New,WOMAN OF PRINCIPLE,TROUBLE FUNK,4TH & BROADWAY
71,60,EVERY KINDA PEOPLE,MINT JULEPS,STIFF
72,51,LIVING IN A BOX,LIVING IN A BOX,CHRYSALIS
73,62,THIS BRUTAL HOUSE,NITRO DELUXE,COOLTEMPO
74,72,I BELIEVE IN MIRACLES,JACKSON SISTERS,URBAN
75,71,LET LOVE BE THE LEADER,FM,PORTRAIT
76,New,SCREAM,MANTRONIX,10
77,82,I'M BAD,LL COOL J,DEF JAM
78,76,I KNOW YOU GOT SOUL,ERIC B AND RAKIM,COOLTEMPO
79,65,CAN'T TAKE NO MORE,SOUP DRAGONS,RAW
80,New,SHE'S SO FAR AWAY,JM SILK,NO-LABEL
81,New,PERSONAL TOUCH,ERROL BROWN,WEA
82,78,DO IT PROPERLY,2 PUERTO RICANS A BLACKMAN AND A DOMINICAN,NO-LABEL
83,97,WOMAN IN YOU,MAXI PRIEST,NO-LABEL
84,85,GONE FOREVER,CRY BEFORE DAWN,NO-LABEL
85,67,YEARS GO BY,STAN CAMPBELL,WEA
86,87,CAN'T SAY 'BYE,STONEFREE,ENSIGN
87,74,THAT'S THE WAY IT FEELS,TWO NATIONS,10
88,New,SAVE THE LAST DANCE FOR ME,BEN E KING,MANHATTAN
89,77,CAN U DANCE,KENNY JASON AND EDDIE SMITH,CHAMPION
90,Re,(CELEBRATE) THE DAY AFTER YOU,BLOW MONKEYS WITH CURTIS MAYFIELD,RCA
,,,,
91,New,HEY LOVE,KING SUN-D MOET,FLAME
92,Re,SNOBBERY AND DECAY,ACT,ZTT
93,89,MOMENTS IN LOVE,THE ART OF NOISE,NO-LABEL
94,New,DANCING IN THE NIGHT,LAINER AND CO,NO-LABEL
95,94,I FOUND LOVIN' {1987},THE FATBACK BAND,MASTER MIX
96,84,IT'S SO EASY,GUNS N' ROSES,NO-LABEL
97,New,I REALLY DIDN'T MEAN IT,LUTHER VANDROSS,EPIC
98,New,GENTLE TUESDAY,PRIMAL SCREAM,NO-LABEL
99,New,DEAR GOD,XTC,NO-LABEL
100,88,ALL IN ONE DAY,ULTRAVOX,NO-LABEL
