position,lastWeek,title,artist,label
1,18,THE OFFICIAL BBC CHILDREN IN NEED MEDLEY,PETER KAY'S ANIMATED ALL STAR,EPIC
2,1,YOU ARE NOT ALONE,X FACTOR FINALISTS 2009,SYCO MUSIC
3,3,WHATCHA SAY,JASON DERULO,WARNER BROS
4,2,MEET ME HALFWAY,BLACK EYED PEAS,INTERSCOPE
5,8,BAD ROMANCE,LADY GAGA,INTERSCOPE
6,New,RUSSIAN ROULETTE,RIHANNA,DEF JAM
7,7,TIK TOK,KESHA,COLUMBIA
8,5,FIGHT FOR THIS LOVE,CHERYL COLE,FASCINATION
9,New,WILD HORSES,SUSAN BOYLE,SYCO MUSIC
10,4,HAPPY,LEONA LEWIS,SYCO MUSIC
11,6,EVERYBODY IN LOVE,JLS,EPIC
12,12,DOWN,JAY SEAN FT LIL WAYNE,ISLAND
13,9,I NEED YOU,N-DUBZ,AATW/UMTV
14,10,3,BRITNEY SPEARS,JIVE
15,24,HAVEN'T MET YOU YET,MICHAEL BUBLE,REPRISE
16,20,CRY ME OUT,PIXIE LOTT,MERCURY
17,14,I GOTTA FEELING,BLACK EYED PEAS,INTERSCOPE
18,11,BAD BOYS,ALEXANDRA BURKE FT FLO RIDA,SYCO MUSIC
19,New,I WANT TO KNOW WHAT LOVE IS,MARIAH CAREY,DEF JAM
20,16,YOU'VE GOT THE LOVE,FLORENCE & THE MACHINE,ISLAND
21,19,WHAT ABOUT NOW,WESTLIFE,S
22,17,EMPIRE STATE OF MIND,JAY-Z FT ALICIA KEYS,ROC NATION
23,13,ABOUT A GIRL,SUGABABES,ISLAND
24,22,YOU KNOW ME,ROBBIE WILLIAMS,VIRGIN
25,23,BABY BY ME,50 CENT FT NE-YO,INTERSCOPE
26,15,TO LOVE AGAIN,ALESHA DIXON,ASYLUM
27,25,PENCIL FULL OF LEAD,PAOLO NUTINI,ATLANTIC
28,28,MILLION DOLLAR BILL,WHITNEY HOUSTON,ARISTA
29,27,I CAN TRANSFORM YA,CHRIS BROWN FT LIL WAYNE,ZOMBA
30,New,TELEPHONE,LADY GAGA,INTERSCOPE
,,,,
31,21,END CREDITS,CHASE & STATUS FT PLAN B,VERTIGO
32,33,BREAK YOUR HEART,TAIO CRUZ,ISLAND
33,38,SWEET CHILD O' MINE,TAKEN BY TREES,ROUGH TRADE
34,26,DID IT AGAIN,SHAKIRA,EPIC
35,36,SEXY CHICK,DAVID GUETTA FT AKON,POSITIVA/VIRGIN
36,44,LOOK FOR ME,CHIPMUNK FT TALAY RILEY,JIVE
37,New,I DREAMED A DREAM,SUSAN BOYLE,SYCO MUSIC
38,31,DIRTEE CASH,DIZZEE RASCAL,DIRTEE STANK
39,32,OOPSY DAISY,CHIPMUNK,JIVE
40,29,JUST SAY YES,SNOW PATROL,FICTION
41,43,3 WORDS,CHERYL COLE FT WILL I AM,FASCINATION
42,62,PLAYING WITH FIRE,N-DUBZ FT MR HUDSON,AATW/UMTV
43,30,PARTY IN THE USA,MILEY CYRUS,HOLLYWOOD
44,39,DON'T STOP BELIEVIN',JOURNEY,COLUMBIA
45,New,WAIT YOUR TURN,RIHANNA,DEF JAM
46,75,ONE LOVE,DAVID GUETTA FT ESTELLE,POSITIVA
47,41,BEAT AGAIN,JLS,EPIC
48,34,SHE WOLF,SHAKIRA,EPIC
49,64,WHO'D HAVE KNOWN,LILY ALLEN,PARLOPHONE
50,46,HOTEL ROOM SERVICE,PITBULL,J
51,77,ALL I WANT FOR CHRISTMAS IS YOU,MARIAH CAREY,COLUMBIA
52,42,DOMINOS,BIG PINK,4AD
53,45,SEX ON FIRE,KINGS OF LEON,HAND ME DOWN
54,35,FLASHBACK,CALVIN HARRIS,COLUMBIA
55,52,BOYS & GIRLS,PIXIE LOTT,MERCURY
56,65,SET THE FIRE TO THE THIRD BAR,SNOW PATROL/MARTHA WAINWRIGHT,FICTION
57,37,BODIES,ROBBIE WILLIAMS,VIRGIN
58,85,FAIRYTALE OF NEW YORK,POGUES FT KIRSTY MACCOLL,WARNER BROS
59,48,BROKEN-HEARTED GIRL,BEYONCE,COLUMBIA
60,51,UNDISCLOSED DESIRES,MUSE,WARNER BROS
,,,,
61,50,SWEET DISPOSITION,TEMPER TRAP,INFECTIOUS MUSIC
62,Re,OBSESSED,MARIAH CAREY,DEF JAM
63,78,NO OTHER ONE,TAIO CRUZ,4TH & BROADWAY
64,57,SWEET DREAMS,BEYONCE,COLUMBIA
65,49,FOREVER IS OVER,SATURDAYS,FASCINATION/GEFFEN
66,81,PAPARAZZI,LADY GAGA,INTERSCOPE
67,40,I NEED YOU NOW,AGNES,3 BEAT/AATW
68,New,MONSTER,LADY GAGA,INTERSCOPE
69,Re,BULLETPROOF,LA ROUX,POLYDOR
70,56,CHASING CARS,SNOW PATROL,FICTION
71,61,BOOM BOOM POW,BLACK EYED PEAS,INTERSCOPE
72,New,RAIN,MIKA,CASABLANCA/ISLAND
73,67,RULE THE WORLD,TAKE THAT,POLYDOR
74,70,POKER FACE,LADY GAGA,INTERSCOPE
75,New,ALEJANDRO,LADY GAGA,INTERSCOPE
76,86,UPRISING,MUSE,HELIUM 3/WARNER BROS
77,Re,GET SHAKY,IAN CAREY PROJECT,3 BEAT/AATW
78,88,LOVE STORY,TAYLOR SWIFT,MERCURY
79,47,YOU'RE NOT ALONE,TINCHY STRYDER,4TH & BROADWAY
80,99,REMEDY,LITTLE BOOTS,679/ATLANTIC
81,Re,WONDERFUL TONIGHT,ERIC CLAPTON,POLYDOR
82,55,STOP CRYING YOUR HEART OUT,LEONA LEWIS,SYCO MUSIC
