position,lastWeek,title,artist,label
1,New,PROMISES,NERO,MTA
2,2,SHE MAKES ME WANNA,JLS FT DEV,EPIC
3,1,SWAGGER JAGGER,CHER LLOYD,SYCO MUSIC
4,6,LITTLE BAD GIRL,DAVID GUETTA/CRUZ/LUDACRIS,POSITIVA/VIRGIN
5,17,JAR OF HEARTS,CHRISTINA PERRI,ATLANTIC
6,3,GLAD YOU CAME,WANTED,GLOBAL TALENT
7,4,THE A TEAM,ED SHEERAN,ASYLUM
8,9,DOWN WITH THE TRUMPETS,RIZZLE KICKS,ISLAND
9,5,LOUDER,DJ FRESH FT SIAN EVANS,MINISTRY OF SOUND
10,7,BEST THING I NEVER HAD,BEYONCE,COLUMBIA/PARKWOOD ENT
11,8,SUPER BASS,NICKI MINAJ,CASH MONEY/ISLAND
12,11,GIVE ME EVERYTHING,PITBULL/NE-YO/AFROJACK/NAYER,J
13,13,SET FIRE TO THE RAIN,ADELE,XL RECORDINGS
14,15,NEXT 2 YOU,CHRIS BROWN FT JUSTIN BIEBER,SONY MUSIC
15,12,LAST FRIDAY NIGHT (T.G.I.F.),KATY PERRY,VIRGIN
16,New,TITANIUM,DAVID GUETTA FT SIA,POSITIVA/VIRGIN
17,10,HOW WE ROLL,LOICK ESSIEN FT TANYA LACEY,RCA
18,22,PUMPED UP KICKS,FOSTER THE PEOPLE,COLUMBIA
19,14,BOUNCE,CALVIN HARRIS FT KELIS,COLUMBIA
20,24,CINEMA,BENNY BENASSI FT GARY GO,ALL AROUND THE WORLD
21,19,WHERE THEM GIRLS AT,DAVID GUETTA/FLO RIDA/MINAJ,POSITIVA/VIRGIN
22,16,MR SAXOBEAT,ALEXANDRA STAN,3 BEAT/AATW
23,21,CHANGED THE WAY YOU KISS ME,EXAMPLE,MINISTRY OF SOUND
24,25,TILL I'M GONE,TINIE TEMPAH FT WIZ KHALIFA,PARLOPHONE
25,26,PARTY ROCK ANTHEM,LMFAO/LAUREN BENNETT/GOONROCK,INTERSCOPE
26,20,I NEED A DOLLAR,ALOE BLACC,STONES THROW
27,23,DON'T WANNA GO HOME,JASON DERULO,WARNER BROS
28,68,MARRY YOU,BRUNO MARS,ELEKTRA
29,18,LET ME GO,MAVERICK SABRE,MERCURY
30,28,THE EDGE OF GLORY,LADY GAGA,INTERSCOPE
,,,,
31,27,BEAUTIFUL PEOPLE,CHRIS BROWN FT BENNY BENASSI,SONY MUSIC
32,41,RAIN OVER ME,PITBULL FT MARC ANTHONY,J
33,29,ON THE FLOOR,JENNIFER LOPEZ FT PITBULL,DEF JAM
34,36,SPACE BOUND,EMINEM,INTERSCOPE
35,33,SOMEONE LIKE YOU,ADELE,XL RECORDINGS
36,30,THE LAZY SONG,BRUNO MARS,ELEKTRA
37,New,WHO'S LAUGHING NOW,JESSIE J,ISLAND/LAVA
38,New,WET,NICOLE SCHERZINGER,INTERSCOPE
39,34,CALIFORNIA KING BED,RIHANNA,DEF JAM
40,38,OTIS,JAY-Z/KANYE WEST/OTIS REDDING,ROC-A-FELLA
41,35,LOVE HOW IT HURTS,SCOUTING FOR GIRLS,EPIC
42,46,SWEAT,SNOOP DOGG,CAPITOL
43,31,EVERY TEARDROP IS A WATERFALL,COLDPLAY,PARLOPHONE
44,New,PARACHUTES,CHARLIE SIMPSON,NUSIC SOUNDS
45,44,ROLLING IN THE DEEP,ADELE,XL RECORDINGS
46,49,DIRTY TALK,WYNTER GORDON,ASYLUM/BIG BEAT
47,65,TONIGHT (I'M F**KIN' YOU),ENRIQUE IGLESIAS FT LUDACRIS,POLYDOR
48,New,LIFT OFF,JAY-Z/KANYE WEST/BEYONCE,DEF JAM
49,45,PRICE TAG,JESSIE J FT BOB,ISLAND/LAVA
50,52,DON'T STOP THE PARTY,BLACK EYED PEAS,POLYDOR
51,43,NOBODY'S PERFECT,JESSIE J,ISLAND/LAVA
52,42,CHAMPAGNE SHOWERS,LMFAO/NATALIA KILLS,INTERSCOPE
53,40,RIGHT THERE,NICOLE SCHERZINGER,INTERSCOPE
54,58,ONLY GIRL (IN THE WORLD),RIHANNA,MERCURY
55,39,BADMAN RIDDIM (JUMP),VATO GONZALEZ/FOREIGN BEGGARS,LEVELS/MINISTRY OF SOUND
56,32,BACK TO BLACK,AMY WINEHOUSE,ISLAND
57,New,HEADLINES,DRAKE,CASH MONEY/ISLAND
58,83,POT OF GOLD,GAME FT CHRIS BROWN,GEFFEN
59,80,BRIGHT LIGHTS BIGGER CITY,CEE LO GREEN,WARNER BROS
60,48,SAVE THE WORLD,SWEDISH HOUSE MAFIA,VIRGIN
,,,,
61,54,CHASING CARS,SNOW PATROL,FICTION
62,57,I'M INTO YOU,JENNIFER LOPEZ FT LIL WAYNE,DEF JAM
63,95,WHEN LOVE TAKES OVER,DAVID GUETTA FT KELLY ROWLAND,POSITIVA/VIRGIN
64,72,RHYTHM OF LOVE,PLAIN WHITE T'S,ISLAND
65,81,HOLD ON,WILSON PHILLIPS,CAPITOL
66,62,BORN THIS WAY,LADY GAGA,INTERSCOPE
67,77,MAKE YOU FEEL MY LOVE,ADELE,XL RECORDINGS
68,37,MASTERCHEF SYNESTHESIA,SWEDE MASON,DENTAL RECORDS SHINE TV
69,50,HITZ,CHASE & STATUS FT TINIE TEMPAH,MERCURY
70,55,CALL YOUR GIRLFRIEND,ROBYN,KONICHIWA
71,67,FIREWORK,KATY PERRY,VIRGIN
72,Re,LOVE YOU LIKE A LOVE SONG,SELENA GOMEZ & THE SCENE,HOLLYWOOD
73,70,DON'T HOLD YOUR BREATH,NICOLE SCHERZINGER,INTERSCOPE
74,79,S&M,RIHANNA,MERCURY
75,75,SINGLE LADIES (PUT A RING ON IT),BEYONCE,COLUMBIA
76,Re,SHUFFLE,BOMBAY BICYCLE CLUB,ISLAND
77,89,JUST THE WAY YOU ARE (AMAZING),BRUNO MARS,ELEKTRA
78,99,I'M ON ONE,DJ KHALED/DRAKE/RICK ROSS,CASH MONEY/ISLAND
79,66,BASS DOWN LOW,DEV FT THE CATARACS,UNIVERSAL REPUBLIC
80,New,STRONGER,MORILLO/THONEICK/TAYLOR,3 BEAT/AATW
81,85,GUILT,NERO,MTA
82,87,GRENADE,BRUNO MARS,ELEKTRA
83,73,SPACESHIP,TINCHY STRYDER & DAPPY,4TH & BROADWAY/AATW
84,47,TEARS DRY ON THEIR OWN,AMY WINEHOUSE,ISLAND
85,61,NOTORIOUS,SATURDAYS,POLYDOR
86,Re,MAN DOWN,RIHANNA,DEF JAM
87,69,LIGHTERS,BAD MEETS EVIL FT BRUNO MARS,INTERSCOPE
88,88,BLIND FAITH,CHASE & STATUS FT LIAM BAILEY,MERCURY
89,82,SKINNY LOVE,BIRDY,WARNER BROS
90,84,RUN THE WORLD (GIRLS),BEYONCE,COLUMBIA
,,,,
91,100,FAST CAR,TRACY CHAPMAN,ELEKTRA
92,Re,MONSTER,PARAMORE,FUELED BY RAMEN
93,64,LOVE IS A LOSING GAME,AMY WINEHOUSE,ISLAND
94,56,REHAB,AMY WINEHOUSE,ISLAND
95,76,SUN IS UP,INNA,3 BEAT/AATW
96,Re,NASTY GIRL,NOTORIOUS BIG/DIDDY/NELLY,ATLANTIC
97,Re,WAKA WAKA (THIS TIME FOR AFRICA),SHAKIRA FT FRESHLYGROUND,EPIC
98,Re,I GOTTA FEELING,BLACK EYED PEAS,INTERSCOPE
