position,lastWeek,title,artist,label
1,1,BRASS IN POCKET,THE PRETENDERS,REAL
2,2,WITH YOU I'M BORN AGAIN,BILLY PRESTON AND SYREETA,MOTOWN
3,4,MY GIRL,MADNESS,STIFF
4,6,I'M IN THE MOOD FOR DANCING,THE NOLANS,EPIC
5,3,PLEASE DON'T GO,KC AND THE SUNSHINE BAND,TK
6,17,BABE,STYX,A&M
7,12,GREEN ONIONS,BOOKER T & THE MG'S,ATLANTIC
8,14,BETTER LOVE NEXT TIME,DR. HOOK,CAPITOL
9,19,I WANNA HOLD YOUR HAND,DOLLAR,CARRERE
10,5,ANOTHER BRICK IN THE WALL,PINK FLOYD,HARVEST
11,8,TEARS OF A CLOWN/RANKING FULL STOP,THE BEAT,2 TONE
12,27,IT'S DIFFERENT FOR GIRLS,JOE JACKSON,A&M
13,7,I HAVE A DREAM,ABBA,EPIC
14,11,LONDON CALLING,THE CLASH,CBS
15,New,TOO MUCH TOO YOUNG (THE SPECIAL AKA LIVE! EP),THE SPECIALS,2 TONE
16,26,SPIRITS (HAVING FLOWN),THE BEE GEES,RSO
17,25,I HEAR YOU NOW,JON AND VANGELIS,POLYDOR
18,32,WE GOT THE FUNK,POSITIVE FORCE,SUGARHILL
19,13,IS IT LOVE YOU'RE AFTER,ROSE ROYCE,WHITFIELD
20,22,SPACER,SHEILA AND B DEVOTION,CARRERE
21,30,JAZZ CARNIVAL,AZYMUTH,MILESTONE
22,31,7 TEEN,REGENTS,RIALTO
23,15,RAPPER'S DELIGHT,THE SUGARHILL GANG,SUGARHILL
24,9,DAY TRIP TO BANGOR,FIDDLER'S DRAM,DINGLES
25,10,I ONLY WANT TO BE WITH YOU,TOURISTS,LOGO
26,52,LIVING BY NUMBERS,NEW MUSIK,GTO
27,38,ESCAPE (THE PINA COLADA SONG),RUPERT HOLMES,INFINITY
28,20,WORKING FOR THE YANKEE DOLLAR,SKIDS,VIRGIN
29,41,TOO HOT,KOOL AND THE GANG,MERCURY
30,50,BUZZ BUZZ A DIDDLE IT,MATCHBOX,MAGNET
,,,,
31,21,MY FEET KEEP DANCING,CHIC,ATLANTIC
32,24,BLUE PETER,MIKE OLDFIELD,VIRGIN
33,New,COWARD OF THE COUNTY,KENNY ROGERS,UNITED ARTISTS
34,47,GOT TO LOVE SOMEBODY,SISTER SLEDGE,COTILLION
35,53,STRANGE LITTLE GIRL,SAD CAFE,RCA
36,36,YOUNG BLOOD,UFO,CHRYSALIS
37,37,SARA,FLEETWOOD MAC,WARNER BROTHERS
38,16,MY SIMPLE HEART,THE THREE DEGREES,ARIOLA
39,58,PARADISE BIRD/THE LETTER,AMII STEWART,ATLANTIC/HANSA
40,54,WONDERLAND,THE COMMODORES,MOTOWN
41,44,I WANNA BE YOUR LOVER,PRINCE,WARNER BROTHERS
42,28,LIVING ON AN ISLAND,STATUS QUO,VERTIGO
43,18,JOHN I'M ONLY DANCING (AGAIN),DAVID BOWIE,RCA
44,60,DANCE STANCE,DEXY'S MIDNIGHT RUNNERS,ODDBALL PRODUCTIONS
45,New,SOMEONE'S LOOKING AT YOU,THE BOOMTOWN RATS,ENSIGN
46,57,ROTATION,HERB ALPERT,A&M
47,39,MOONLIGHT AND MUZAK,M,MCA
48,43,FREE BIRD EP,LYNYRD SKYNYRD,MCA
49,New,JANE,JEFFERSON STARSHIP,GRUNT
50,64,MAMA'S BOY,SUZI QUATRO,RAK
51,34,ONE STEP BEYOND...,MADNESS,STIFF
52,23,QUE SERA MI VIDA,GIBSON BROTHERS,ISLAND
53,70,CARAVAN SONG,BARBARA DICKSON,EPIC
54,New,THE PLASTIC AGE,THE BUGGLES,ISLAND
55,61,ARE YOU READY,BILLY OCEAN,GTO
56,40,THE WALK,THE INMATES,RADAR
57,29,OFF THE WALL,MICHAEL JACKSON,EPIC
58,33,WALKING ON THE MOON,THE POLICE,A&M
59,35,UNION CITY BLUE,BLONDIE,CHRYSALIS
60,New,BABY I LOVE YOU,THE RAMONES,SIRE
,,,,
61,49,IT'S MY HOUSE,DIANA ROSS,MOTOWN
62,45,I'M BORN AGAIN,BONEY M,ATLANTIC/HANSA
63,New,RIDERS IN THE SKY,THE SHADOWS,EMI
64,56,WHAT'S YOUR SIGN GIRL,BARRY BIGGS,DYNAMIC
65,46,NIGHTS IN WHITE SATIN,THE MOODY BLUES,DERAM
66,48,NO MORE TEARS (ENOUGH IS ENOUGH),DONNA SUMMER AND BARBRA STREISAND,CASABLANCA
67,New,UNDERPASS,JOHN FOXX,VIRGIN
68,New,MUSIC MAKES YOU FEEL LIKE DANCING,BRASS CONSTRUCTION,UNITED ARTISTS
69,59,ONE DAY AT A TIME,LENA MARTELL,PYE
70,New,LOVE ON THE LINE,BARCLAY JAMES HARVEST,POLYDOR
71,New,MOTORBIKE BEAT,REVILLOS,DINDISC
72,New,BLACK ORCHID,STEVIE WONDER,MOTOWN
73,62,CAN'T LET GO,"EARTH, WIND AND FIRE",CBS
74,69,A MESSAGE TO YOU RUDY/NITE KLUB FT RICO+,SPECIALS FEATURING RICO+,2 TONE
75,New,CAPTAIN BEAKY/WILFRED THE WEASEL,CAPTAIN BEAKY,POLYDOR
