position,lastWeek,title,artist,label
1,3,GET DOWN,GILBERT O'SULLIVAN,MAM
2,1,THE TWELFTH OF NEVER,DONNY OSMOND,MGM
3,7,TIE A YELLOW RIBBON ROUND THE OLD OAK TREE FT TONY ORLANDO,DAWN FEATURING TONY ORLANDO,BELL
4,4,POWER TO ALL OUR FRIENDS,CLIFF RICHARD,EMI
5,8,I'M A CLOWN/SOME KIND OF SUMMER,DAVID CASSIDY,BELL
6,30,TWEEDLE DEE,LITTLE JIMMY OSMOND,MGM
7,2,CUM ON FEEL THE NOIZE,SLADE,POLYDOR
8,10,NEVER NEVER NEVER,SHIRLEY BASSEY,UNITED ARTISTS
9,13,LOVE TRAIN,THE O'JAYS,CBS
10,9,KILLING ME SOFTLY WITH HIS SONG,ROBERTA FLACK,ATLANTIC
11,6,FEEL THE NEED IN ME,DETROIT EMERALDS,JANUS
12,11,HEART OF STONE,TONY KENNY,RAK
13,17,PYJAMARAMA,ROXY MUSIC,ISLAND
14,12,WHY CAN'T WE LIVE TOGETHER,TIMMY THOMAS,MOJO
15,5,20TH CENTURY BOY,T. REX,EMI
16,16,NICE ONE CYRIL,COCKEREL CHORUS,YOUNG BLOOD
17,New,HELLO! HELLO! I'M BACK AGAIN,GARY GLITTER,BELL
18,23,CRAZY,MUD,RAK
19,15,HELLO HURRAY,ALICE COOPER,WARNER BROTHERS
20,39,AMANDA,STUART GILLIES,PHILIPS
21,27,ALL BECAUSE OF YOU,GEORDIE,EMI
22,36,DUELLING BANJOS,'DELIVERANCE' SOUNDTRACK,WARNER BROTHERS
23,21,LOOK OF LOVE,GLADYS KNIGHT AND THE PIPS,TAMLA MOTOWN
24,14,GONNA MAKE YOU AN OFFER YOU CAN'T REFUSE,JIMMY HELMS,CUBE
25,24,THAT'S WHEN THE MUSIC TAKES ME,NEIL SEDAKA,RCA
26,25,LONG HAIRED LOVER FROM LIVERPOOL,LITTLE JIMMY OSMOND,MGM
27,28,BY THE DEVIL,BLUE MINK,EMI
28,40,GOD GAVE ROCK AND ROLL TO YOU,ARGENT,EPIC
29,20,BABY I LOVE YOU,DAVE EDMUNDS,ROCKFIELD
30,22,DOCTOR MY EYES,THE JACKSON 5,TAMLA MOTOWN
,,,,
31,18,CINDY INCIDENTALLY,THE FACES,WARNER BROTHERS
32,49,GOOD GRIEF CHRISTINA,CHICORY TIP,CBS
33,19,PINBALL WIZARD/SEE ME FEEL ME (MEDLEY),THE NEW SEEKERS,POLYDOR
34,44,HEAVEN IS MY WOMAN'S LOVE,VAL DOONICAN,PHILIPS
35,37,TAKE ME HOME COUNTRY ROADS,OLIVIA NEWTON-JOHN,PYE INTERNATIONAL
36,34,BREAK UP TO MAKE UP,THE STYLISTICS,AVCO
37,35,WHISKY IN THE JAR,THIN LIZZY,DECCA
38,47,THE RIGHT THING TO DO,CARLY SIMON,ELEKTRA
39,46,I DON'T KNOW WHY,ANDY AND DAVID WILLIAMS,MCA
40,50,SWEET DREAMS,ROY BUCHANAN,POLYDOR
41,31,BLOCKBUSTER,THE SWEET,RCA
42,29,STEP INTO A DREAM,WHITE PLAINS,DERAM
43,New,MY LOVE,WINGS,APPLE
44,New,WAM BAM,HANDLEY FAMILY,GL
45,33,SYLVIA,FOCUS,POLYDOR
46,Re,THE LOVE IN YOUR EYES,VICKY LEANDROS,PHILIPS
47,32,PART OF THE UNION,STRAWBS,A&M
48,41,YOU ARE EVERYTHING,PEARLS,BELL
49,New,NEVERTHELESS (I'M IN LOVE WITH YOU),EVE GRAHAM AND THE NEW SEEKERS,POLYDOR
50,43,BIG SEVEN,JUDGE DREAD,BIG SHOT
