position,lastWeek,title,artist,label
1,1,NEVER GONNA GIVE YOU UP,RICK ASTLEY,RCA
2,2,WHAT HAVE I DONE TO DESERVE THIS,THE PET SHOP BOYS AND DUSTY SPRINGFIELD,PARLOPHONE
3,19,WIPEOUT,THE FAT BOYS AND THE BEACH BOYS,URBAN
4,4,TOY BOY,SINITTA,FANFARE
5,6,SWEET LITTLE MYSTERY,WET WET WET,PRECIOUS ORGANISATION
6,5,CALL ME,SPAGNA,CBS
7,3,I JUST CAN'T STOP LOVING YOU,MICHAEL JACKSON WITH SIEDAH GARRETT,EPIC
8,18,WONDERFUL LIFE {1987},BLACK,A&M
9,28,HEART AND SOUL,T'PAU,SIREN
10,8,FUNKY TOWN,PSEUDO ECHO,RCA
11,13,U GOT THE LOOK,PRINCE,PAISLEY PARK
12,12,BRIDGE TO YOUR HEART,WAX,RCA
13,11,WHENEVER YOU'RE READY,FIVE STAR,TENT
14,14,DIDN'T WE ALMOST HAVE IT ALL,WHITNEY HOUSTON,ARISTA
15,22,SOME PEOPLE,CLIFF RICHARD,EMI
16,10,SOMEWHERE OUT THERE,LINDA RONSTADT AND JAMES INGRAM,MCA
17,9,ANIMAL,DEF LEPPARD,BLUDGEON RIFFOLA
18,23,THE MOTIVE,THEN JERICO,LONDON
19,7,TRUE FAITH,NEW ORDER,FACTORY
20,34,CASANOVA,LEVERT,ATLANTIC
21,35,HOURGLASS,SQUEEZE,A&M
22,New,NEVER LET ME DOWN AGAIN,DEPECHE MODE,MUTE
23,15,LA BAMBA,LOS LOBOS,SLASH
24,17,LABOUR OF LOVE,HUE AND CRY,CIRCA
25,16,GIRLFRIEND IN A COMA,THE SMITHS,ROUGH TRADE
26,20,WHO'S THAT GIRL,MADONNA,SIRE
27,New,ME AND THE FARMER,THE HOUSEMARTINS,GO! DISCS
28,25,JUST CALL,SHERRICK,WARNER BROTHERS
29,26,NEVER SAY GOODBYE,BON JOVI,VERTIGO
30,93,WILD FLOWER,THE CULT,BEGGARS BANQUET
,,,,
31,24,ALONE,HEART,CAPITOL
32,31,PAPA WAS A ROLLING STONE,THE TEMPTATIONS,MOTOWN
33,21,ROADBLOCK,STOCK AITKEN WATERMAN,BREAKOUT
34,50,I DON'T WANT TO BE A HERO,JOHNNY HATES JAZZ,VIRGIN
35,New,PUMP UP THE VOLUME/ANITINA (THE FIRST TIME I SEE SHE DANCE),M/A/R/R/S,4AD
36,27,ALWAYS,ATLANTIC STARR,WARNER BROTHERS
37,33,HAPPY WHEN IT RAINS,THE JESUS AND MARY CHAIN,BLANCO
38,46,LIES,JONATHAN BUTLER,JIVE
39,29,THE $5.98 EP-GARAGE DAYS REVISITED,METALLICA,VERTIGO
