position,lastWeek,title,artist,label
1,2,I WANNA SEX YOU UP,COLOR ME BADD,GIANT
2,1,THE SHOOP SHOOP SONG (IT'S IN HIS KISS),CHER,EPIC
3,5,BABY BABY,AMY GRANT,A&M
4,4,PROMISE ME,BEVERLEY CRAVEN,EPIC
5,3,GYPSY WOMAN (LA DA DEE),CRYSTAL WATERS,A&M
6,10,SHOCKED,KYLIE MINOGUE,PWL
7,6,TAINTED LOVE FT MARC ALMOND,SOFT CELL FEATURING MARC ALMOND,MERCURY
8,9,SHINY HAPPY PEOPLE,R.E.M.,WARNER BROTHERS
9,7,LAST TRAIN TO TRANCENTRAL FT THE CHILDREN OF THE REVOLUTION,KLF FEATURING THE CHILDREN OF THE REVOLUTION,KLF COMMUNICATIONS
10,29,LIGHT MY FIRE {1991},THE DOORS,ELEKTRA
11,11,SUCCESS,DANNII MINOGUE,MCA
12,New,HOLIDAY {1991},MADONNA,SIRE
13,8,TOUCH ME (ALL NIGHT LONG),CATHY DENNIS,POLYDOR
14,12,MOVE THAT BODY,TECHNOTRONIC,ARS
15,28,ONLY FOOLS (NEVER FALL IN LOVE),SONIA,IQ
16,21,YO! SWEETNESS,MC HAMMER,CAPITOL
17,New,JEALOUSY,PET SHOP BOYS,PARLOPHONE
18,17,CALL IT WHAT YOU WANT,NEW KIDS ON THE BLOCK,COLUMBIA
19,13,SAILING ON THE SEVEN SEAS,ORCHESTRAL MANOEUVRES IN THE DARK,VIRGIN
20,27,THE ROBOTS,KRAFTWERK,EMI
21,16,WHENEVER YOU NEED ME,T'PAU,SIREN
22,36,THINKING ABOUT YOUR LOVE,KENNY THOMAS,COOLTEMPO
23,25,92 DEGREES,POP WILL EAT ITSELF,RCA
24,14,HEADLONG,QUEEN,PARLOPHONE
25,37,DO YOU WANT ME,SALT-N-PEPA,FFRR
26,19,FADING LIKE A FLOWER,ROXETTE,EMI
27,New,PLANET OF SOUND,PIXIES,4AD
28,15,SENZA UNA DONNA (WITHOUT A WOMAN) FT PAUL YOUNG,ZUCCHERO FEATURING PAUL YOUNG,LONDON
29,22,RSVP,JASON DONOVAN,PWL
30,39,WALKING DOWN MADISON,KIRSTY MACCOLL,VIRGIN
,,,,
31,20,SEE THE LIGHTS,SIMPLE MINDS,VIRGIN
32,32,KISS THEM FOR ME,SIOUXSIE AND THE BANSHEES,WONDERLAND
33,26,THERE'S NO OTHER WAY,BLUR,FOOD
34,44,I TOUCH MYSELF,DIVINYLS,VIRGIN AMERICA
35,35,RECIPE FOR LOVE/IT HAD TO BE YOU,"HARRY CONNICK, JR.",COLUMBIA
36,24,ANASTHASIA,T99,XL RECORDINGS
37,23,YOUR SWAYING ARMS,DEACON BLUE,COLUMBIA
38,New,REMEMBER ME WITH LOVE,GLORIA ESTEFAN,EPIC
39,New,SPACE,NEW MODEL ARMY,EMI
40,52,SOLACE OF YOU,LIVING COLOUR,EPIC
41,47,TAKE 5,NORTHSIDE,FACTORY
42,New,COVER MY EYES (PAIN AND HEAVEN),MARILLION,EMI
43,New,GET THE FUNK OUT,EXTREME,A&M
44,42,HIGHWAY 5,BLESSING,MCA
45,New,PEOPLE ARE STILL HAVING SEX,LATOUR,POLYDOR
46,57,NOW IS TOMORROW {1991},DEFINITION OF SOUND,CIRCA
47,18,CAUGHT IN MY SHADOW,THE WONDER STUFF,POLYDOR
48,33,GET THE MESSAGE,ELECTRONIC,FACTORY
49,30,FOOTSTEPS FOLLOWING ME,FRANCES NERO,DEBUT
50,New,ESCAPE,GARY CLAIL ON-U SOUND SYSTEM,PERFECTO
51,New,SAFE FROM HARM,MASSIVE ATTACK,WILD BUNCH
52,43,THE ONE AND ONLY,CHESNEY HAWKES,CHRYSALIS
53,31,FUTURE LOVE (EP),SEAL,ZTT
54,55,I LIKE THE WAY,HI-FIVE,JIVE
55,40,LOVE IS A WONDERFUL THING,MICHAEL BOLTON,COLUMBIA
56,New,MY SPECIAL CHILD,SINEAD O'CONNOR,ENSIGN
57,54,THERE'S GOT TO BE A WAY,MARIAH CAREY,COLUMBIA
58,New,RUBBERBANDMAN,YELLO,MERCURY
59,45,COAST IS CLEAR,CURVE,ANXIOUS
60,46,RING RING RING (HA HA HEY),DE LA SOUL,BIG LIFE
,,,,
61,38,JUST A GROOVE,NOMAD,RUMOUR
62,New,A WATCHER'S POINT OF VIEW,PM DAWN,GEE STREET
63,34,YOUNG GODS,LITTLE ANGELS,POLYDOR
64,53,WIND OF CHANGE,THE SCORPIONS,VERTIGO
65,64,CROCKETT'S THEME {1991},JAN HAMMER,MCA
66,41,YOU'RE IN LOVE,WILSON PHILLIPS,SBK
67,Re,GENERATIONS OF LOVE {1991},JESUS LOVES YOU,MORE PROTEIN
68,59,RUBY TUESDAY (LIVE),THE ROLLING STONES,ROLLING STONES
69,51,LOVESICK,GANG STARR,COOLTEMPO
70,50,MY SALT HEART,HUE AND CRY,CIRCA
71,49,QUADROPHONIA,QUADROPHONIA,ARS
72,66,WALKING IN MEMPHIS,MARC COHN,ATLANTIC
73,New,CHILL TO THE PANIC,DEEP C,M&G
74,New,LONDON CALLING {1991},THE CLASH,COLUMBIA
75,New,FISHERMAN'S BLUES {1991},THE WATERBOYS,ENSIGN
