position,lastWeek,title,artist,label
1,12,THE POWER,SNAP!,ARISTA
2,2,LOVE SHACK,THE B-52S,REPRISE
3,6,STRAWBERRY FIELDS FOREVER,CANDY FLIP,DEBUT
4,3,BLUE SAVANNAH,ERASURE,MUTE
5,1,DUB BE GOOD TO ME FT LINDY LAYTON,BEATS INTERNATIONAL FEATURING LINDY LAYTON,GO! BEAT
6,7,LILY WAS HERE FT CANDY DULFER,DAVID A STEWART FEATURING CANDY DULFER,RCA
7,5,I'LL BE LOVING YOU (FOREVER),NEW KIDS ON THE BLOCK,CBS
8,17,BIRDHOUSE IN YOUR SOUL,THEY MIGHT BE GIANTS,ELEKTRA
9,4,THAT SOUNDS GOOD TO ME,JIVE BUNNY AND THE MASTERMIXERS,MUSIC FACTORY DANCE
10,8,HOW AM I SUPPOSED TO LIVE WITHOUT YOU,MICHAEL BOLTON,CBS
11,10,INFINITY (1990'S TIME FOR THE GURU),GURU JOSH,DECONSTRUCTION
12,14,DON'T YOU LOVE ME,49ERS,4TH & BROADWAY
13,11,MOMENTS IN SOUL,JT AND THE BIG FAMILY,CHAMPION
14,15,THIS IS HOW IT FEELS,INSPIRAL CARPETS,COW
15,19,EVERYTHING STARTS WITH AN 'E' {1990},E-ZEE POSSEE,MORE PROTEIN
16,16,LOADED,PRIMAL SCREAM,CREATION
17,28,CHIME,ORBITAL,FFRR
18,34,MAMMA GAVE BIRTH TO THE SOUL CHILDREN,QUEEN LATIFAH AND DE LA SOUL,GEE STREET
19,9,THE BRITS 1990,VARIOUS ARTISTS,RCA
20,13,NOTHING COMPARES 2 U,SINEAD O'CONNOR,ENSIGN
21,36,ANOTHER DAY IN PARADISE,JAM TRONIK,DEBUT
22,New,DON'T MISS THE PARTYLINE,BIZZ NIZZ,COOLTEMPO
23,33,ALL I WANNA DO IS MAKE LOVE TO YOU,HEART,CAPITOL
24,New,GHETTO HEAVEN,FAMILY STAND,EAST WEST
25,21,HANDFUL OF PROMISES,BIG FUN,JIVE
26,32,READ MY LIPS (ENOUGH IS ENOUGH),JIMMY SOMERVILLE,LONDON
27,New,BETTER WORLD,REBEL MC,DESIRE
28,New,PICTURES OF YOU,THE CURE,FICTION
29,18,NATURAL THING,INNOCENCE,COOLTEMPO
30,New,KINGSTON TOWN,UB40,DEP INTERNATIONAL
,,,,
31,New,ESCAPADE,JANET JACKSON,BREAKOUT
32,20,ENJOY THE SILENCE,DEPECHE MODE,MUTE
33,48,BLACK VELVET,ALANNAH MYLES,EAST WEST
34,Re,SHE BANGS THE DRUMS,THE STONE ROSES,SILVERTONE
35,New,WHAT U WAITIN' 4,THE JUNGLE BROTHERS,ETERNAL
36,New,I REMEMBER YOU,SKID ROW,EAST WEST
37,22,I DON'T KNOW ANYBODY ELSE,BLACK BOX,DECONSTRUCTION
38,29,HERE WE ARE,GLORIA ESTEFAN,EPIC
39,40,YOUR LOVE TAKES ME HIGHER {1990},THE BELOVED,EAST WEST
40,38,TOO LATE TO SAY GOODBYE,RICHARD MARX,EMI-USA
41,24,BLACK BETTY (BEN LIEBRAND REMIX),RAM JAM,EPIC
42,23,I MIGHT,SHAKIN' STEVENS,EPIC
43,46,KISS THIS THING GOODBYE {1990},DEL AMITRI,A&M
44,43,BABY,HALO JAMES,EPIC
45,26,GET UP (BEFORE THE NIGHT IS OVER) FT YA KID K,TECHNOTRONIC FEATURING YA KID K,SWANYARD
46,35,DOWNTOWN TRAIN,ROD STEWART,WARNER BROTHERS
47,49,DEVOTION,KICKING BACK,10
48,58,OH PRETTY WOMAN,GARY MOORE AND ALBERT KING,VIRGIN
49,25,MADE OF STONE,THE STONE ROSES,SILVERTONE
50,New,I'D RATHER GO BLIND,SYDNEY YOUNGBLOOD,CIRCA
51,39,ELEPHANT STONE,THE STONE ROSES,SILVERTONE
52,30,MADLY IN LOVE,BROS,CBS
53,41,ROK THE NATION FT LEILA K,ROB 'N' RAZ FEATURING LEILA K,ARISTA
54,31,A GENTLEMAN'S EXCUSE ME,FISH,EMI
55,27,DELIVERANCE,THE MISSION,MERCURY
56,New,THE EXTENDED PLEASURE OF DANCE EP,808 STATE,ZTT
57,52,RHYTHM OF LIFE,OLETA ADAMS,FONTANA
58,37,HOLD BACK THE RIVER,WET WET WET,PRECIOUS ORGANISATION
59,New,SWEET AND LOW,DEBORAH HARRY,CHRYSALIS
60,55,SATURDAY LOVE {1990},CHERRELLE WITH ALEXANDER O'NEAL,TABU
,,,,
61,53,BAKER STREET {1990},GERRY RAFFERTY,EMI
62,New,SHAKE,ANDREW RIDGELEY,EPIC
63,60,RAINBOW CHILD,DAN REED NETWORK,MERCURY
64,63,ALL NIGHT LONG,JAY MONDI AND THE LIVIN' BASS,10
65,New,FOREVER,KISS,VERTIGO
66,New,LET'S HANG ON,SHOOTING PARTY,LISSON
67,New,"SECRET GARDEN FT AL B SURE, JAMES INGRAM, EL DEBARGE AND BARRY WHITE","QUINCY JONES FEATURING AL B SURE, JAMES INGRAM, EL DEBARGE AND BARRY WHITE",QWEST
68,74,EVERY BEAT OF THE HEART,RAILWAY CHILDREN,VIRGIN
69,79,DIRTY DEEDS,JOAN JETT,CHRYSALIS
70,50,BRING FORTH THE GUILLOTINE {1990},SILVER BULLET,TAM TAM
71,44,ROOM AT THE TOP,ADAM ANT,MCA
72,59,WATER,MARTIKA,CBS
73,78,ABANDON,THAT PETROL EMOTION,VIRGIN
74,47,HAPPENIN' ALL OVER AGAIN,LONNIE GORDON,SUPREME
75,42,SWEET SOUL SISTER,THE CULT,BEGGARS BANQUET
