position,lastWeek,title,artist,label
1,1,EVERY LOSER WINS,NICK BERRY,BBC
2,4,IN THE ARMY NOW,STATUS QUO,VERTIGO
3,3,ALL I ASK OF YOU,CLIFF RICHARD AND SARAH BRIGHTMAN,POLYDOR
4,6,WALK LIKE AN EGYPTIAN,THE BANGLES,CBS
5,2,TRUE BLUE,MADONNA,SIRE
6,5,YOU CAN CALL ME AL,PAUL SIMON,WARNER BROTHERS
7,37,TAKE MY BREATH AWAY (LOVE THEME FROM 'TOP GUN'),BERLIN,CBS
8,10,MIDAS TOUCH,MIDNIGHT STAR,SOLAR
9,8,SUBURBIA,PET SHOP BOYS,PARLOPHONE
10,14,DON'T GET ME WRONG,THE PRETENDERS,REAL
11,11,YOU'RE EVERYTHING TO ME,BORIS GARDINER,REVUE
12,12,TRUE COLORS,CYNDI LAUPER,PORTRAIT
13,7,RAIN OR SHINE,FIVE STAR,TENT
14,New,NOTORIOUS,DURAN DURAN,EMI
15,36,YOU KEEP ME HANGIN' ON,KIM WILDE,MCA
16,New,ASK,THE SMITHS,ROUGH TRADE
17,26,TO HAVE AND TO HOLD,CATHERINE STOCK,SIERRA
18,22,THINK FOR A MINUTE,THE HOUSEMARTINS,GO! DISCS
19,15,THE WIZARD,PAUL HARDCASTLE,CHRYSALIS
20,13,ALWAYS THERE,MARTI WEBB AND THE SIMON MAY ORCHESTRA,BBC
21,9,DON'T LEAVE ME THIS WAY,THE COMMUNARDS,LONDON
22,27,TO BE A LOVER,BILLY IDOL,CHRYSALIS
23,21,GIRLS AIN'T NOTHING BUT TROUBLE,DJ JAZZY JEFF AND THE FRESH PRINCE,CHAMPION
24,38,SHOWING OUT (GET FRESH AT THE WEEKEND),MEL AND KIM,SUPREME
25,29,(THEY LONG TO BE) CLOSE TO YOU,GWEN GUTHRIE,BOILING POINT
26,67,SOMETHING OUTTA NOTHING,LETITIA DEAN AND PAUL MEDFORD,BBC
27,40,LIVIN' ON A PRAYER,BON JOVI,VERTIGO
28,19,WORLD SHUT YOUR MOUTH,JULIAN COPE,ISLAND
29,16,I'VE BEEN LOSING YOU,A-HA,WARNER BROTHERS
30,34,ALWAYS THE SUN,THE STRANGLERS,EPIC
,,,,
31,New,DON'T GIVE UP,PETER GABRIEL AND KATE BUSH,VIRGIN
32,17,THORN IN MY SIDE,EURYTHMICS,RCA
33,49,FOR AMERICA,RED BOX,SIRE
34,New,THIS IS THE WORLD CALLING,BOB GELDOF,MERCURY
35,18,WORD UP,CAMEO,CLUB
36,57,BREAKOUT,SWING OUT SISTER,MERCURY
37,24,STUCK WITH YOU,HUEY LEWIS AND THE NEWS,CHRYSALIS
38,30,STAY WITH ME,THE MISSION,MERCURY
39,New,BECAUSE I LOVE YOU,SHAKIN' STEVENS,EPIC
40,New,ANOTHERLOVERHOLENYOHEAD,PRINCE AND THE REVOLUTION,PAISLEY PARK
41,23,MONTEGO BAY,AMAZULU,ISLAND
42,20,(FOREVER) LIVE AND DIE,ORCHESTRAL MANOEUVRES IN THE DARK,VIRGIN
43,61,GOIN' TO THE BANK,THE COMMODORES,POLYDOR
44,25,DON'T STAND SO CLOSE TO ME '86,THE POLICE,A&M
45,50,LOVE WILL CONQUER ALL,LIONEL RICHIE,MOTOWN
46,51,DON'T FORGET ME (WHEN I'M GONE),GLASS TIGER,MANHATTAN
