position,lastWeek,title,artist,label
1,1,MIRRORS,JUSTIN TIMBERLAKE,RCA
2,6,ONE WAY OR ANOTHER (TEENAGE KICKS),ONE DIRECTION,SYCO MUSIC
3,4,JUST GIVE ME A REASON,PINK FT NATE RUESS,RCA
4,2,WHEN I WAS YOUR MAN,BRUNO MARS,ATLANTIC
5,3,POMPEII,BASTILLE,VIRGIN
6,New,BOOMERANG,NICOLE SCHERZINGER,INTERSCOPE
7,5,THRIFT SHOP,MACKLEMORE/RYAN LEWIS/WANZ,MACKLEMORE
8,7,READY OR NOT,BRIDGIT MENDLER,HOLLYWOOD
9,8,I COULD BE THE ONE,AVICII VS NICKY ROMERO,POSITIVA/VIRGIN
10,11,WHITE NOISE,DISCLOSURE/ALUNAGEORGE,ISLAND
11,9,HARLEM SHAKE,BAAUER,MAD DECENT
12,13,ARMY OF TWO,OLLY MURS,EPIC
13,17,CLOWN,EMELI SANDE,VIRGIN
14,10,I KNEW YOU WERE TROUBLE,TAYLOR SWIFT,MERCURY
15,14,STAY,RIHANNA FT MIKKY EKKO,DEF JAM
16,18,HO HEY,LUMINEERS,DUALTONE
17,New,HEY PORSCHE,NELLY,UNIVERSAL
18,New,LAY DOWN YOUR WEAPONS,K KOKE FT RITA ORA,RCA
19,12,RELOAD,WILEY FT CHIP,WARNER BROS
20,19,SUIT & TIE,JUSTIN TIMBERLAKE FT JAY Z,RCA
21,24,CHOCOLATE,1975,DIRTY HIT
22,20,IF YOU COULD SEE ME NOW,SCRIPT,EPIC/PHONOGENIC
23,16,EXPLOSIONS,ELLIE GOULDING,POLYDOR
24,21,LOCKED OUT OF HEAVEN,BRUNO MARS,ELEKTRA
25,25,SCREAM & SHOUT,WILL I AM FT BRITNEY SPEARS,INTERSCOPE
26,66,22,TAYLOR SWIFT,MERCURY
27,Re,A THOUSAND YEARS,CHRISTINA PERRI,ATLANTIC
28,26,DRINKING FROM THE BOTTLE,CALVIN HARRIS FT TINIE TEMPAH,COLUMBIA
29,15,EVERYWHERE,FLEETWOOD MAC,WEA
30,29,STARTED FROM THE BOTTOM,DRAKE,CASH MONEY/ISLAND
,,,,
31,32,MY SONGS KNOW WHAT YOU DID IN THE DARK,FALL OUT BOY,DEF JAM
