state	statecode	statenumber	votes1788	votes1792	votes1796	votes1800	votes1804	votes1808	votes1812	votes1816	votes1820	votes1824	votes1828	votes1832	votes1836	votes1840	votes1844	votes1848	votes1852	votes1856	votes1860	votes1864	votes1868	votes1872	votes1876	votes1880	votes1884	votes1888	votes1892	votes1896	votes1900	votes1904	votes1908	votes1912	votes1916	votes1920	votes1924	votes1928	votes1932	votes1936	votes1940	votes1944	votes1948	votes1952	votes1956	votes1960	votes1964	votes1968	votes1972	votes1976	votes1980	votes1984	votes1988	votes1992	votes1996	votes2000	votes2004	votes2008	votes2012	votes2016	votes2020
Nebraska 	NE	37																					3	3	3	3	5	5	8	8	8	8	8	8	8	8	8	8	7	7	7	6	6	6	6	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
New Hampshire 	NH	9	5	6	6	6	7	7	8	8	8	8	8	7	7	7	6	6	5	5	5	5	5	5	5	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
New Jersey 	NJ	3	6	7	7	7	8	8	8	8	8	8	8	8	8	8	7	7	7	7	7	7	7	9	9	9	9	9	10	10	10	12	12	14	14	14	14	14	16	16	16	16	16	16	16	16	17	17	17	17	17	16	16	15	15	15	15	15	14	14	14
New Mexico 	NM	47																																3	3	3	3	3	3	3	3	4	4	4	4	4	4	4	4	4	4	5	5	5	5	5	5	5	5	5	5
Nevada 	NV	36																				3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	4	4	4	5	5	6	6	6
New York 	NY	11	8	12	12	12	19	19	29	29	29	36	36	42	42	42	36	36	35	35	35	33	33	35	35	35	36	36	36	36	36	39	39	45	45	45	45	45	47	47	47	47	47	45	45	45	43	43	41	41	41	36	36	33	33	33	31	31	29	29	29
Ohio 	OH	17					3	3	8	8	8	16	16	21	21	21	23	23	23	23	23	21	21	22	22	22	23	23	23	23	23	23	23	24	24	24	24	24	26	26	26	25	25	25	25	25	26	26	25	25	25	23	23	21	21	21	20	20	18	18	18
Oklahoma 	OK	46																															7	10	10	10	10	10	11	11	11	10	10	8	8	8	8	8	8	8	8	8	8	8	8	8	7	7	7	7	7
Oregon 	OR	33																			3	3	3	3	3	3	3	3	4	4	4	4	4	5	5	5	5	5	5	5	5	6	6	6	6	6	6	6	6	6	6	7	7	7	7	7	7	7	7	7	7
Pennsylvania 	PA	2	10	15	15	15	20	20	25	25	25	28	28	30	30	30	26	26	27	27	27	26	26	29	29	29	30	30	32	32	32	34	34	38	38	38	38	38	36	36	36	35	35	32	32	32	29	29	27	27	27	25	25	23	23	23	21	21	20	20	20
Rhode Island 	RI	13		4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	5	5	5	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
South Carolina 	SC	8	7	8	8	8	10	10	11	11	11	11	11	11	11	11	9	9	8	8	8	0	6	7	7	7	9	9	9	9	9	9	9	9	9	9	9	9	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	9	9	9
South Dakota 	SD	40																											4	4	4	4	4	5	5	5	5	5	4	4	4	4	4	4	4	4	4	4	4	4	4	3	3	3	3	3	3	3	3	3	3
Tennessee 	TN	16			3	3	5	5	8	8	8	11	11	15	15	15	13	13	12	12	12	0	10	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	11	11	11	12	12	11	11	11	11	11	10	10	10	11	11	11	11	11	11	11	11	11	11
Texas 	TX	28																4	4	4	4	0	0	8	8	8	13	13	15	15	15	18	18	20	20	20	20	20	23	23	23	23	23	24	24	24	25	25	26	26	26	29	29	32	32	32	34	34	38	38	38
Utah 	UT	45																												3	3	3	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	5	5	5	5	5	5	6	6	6
Virginia 	VA	10	12	21	21	21	24	24	25	25	25	24	24	23	23	23	17	17	15	15	15	0	0	11	11	11	12	12	12	12	12	12	12	12	12	12	12	12	11	11	11	11	11	12	12	12	12	12	12	12	12	12	12	13	13	13	13	13	13	13	13
Vermont 	VT	14		4	4	4	6	6	8	8	8	7	7	7	7	7	6	6	5	5	5	5	5	5	5	5	4	4	4	4	4	4	4	4	4	4	4	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Washington 	WA	42																											4	4	4	5	5	7	7	7	7	7	8	8	8	8	8	9	9	9	9	9	9	9	9	10	10	11	11	11	11	11	12	12	12
Wisconsin 	WI	30																4	5	5	5	8	8	10	10	10	11	11	12	12	12	13	13	13	13	13	13	13	12	12	12	12	12	12	12	12	12	12	11	11	11	11	11	11	11	11	10	10	10	10	10
West Virginia 	WV	35																				5	5	5	5	5	6	6	6	6	6	7	7	8	8	8	8	8	8	8	8	8	8	8	8	8	7	7	6	6	6	6	6	5	5	5	5	5	5	5	5
Wyoming 	WY	44																											3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
